cluster,地區數量,地區列表,就醫人數年平均,year
0,10,"0101,0102,0110,0111,0118,1200,3101,3102,3104,3201",66.5566037735849,2016
1,9,"0109,0117,0119,0701,0732,3105,3106,3202,3701",37.48846960167715,2016
2,20,"0112,0115,0116,0120,0324,0327,0329,0736,2200,3107,3111,3113,3205,3207,3210,3305,3401,3901,4301,4501",24.053773584905663,2016
3,34,"0301,0309,0310,0319,0320,0326,0328,0501,0505,0531,0532,0534,0535,0706,0730,0731,0735,0738,1104,3103,3108,3110,3114,3115,3204,3206,3208,3209,3303,3402,3504,3702,3801,4601",14.648168701442842,2016
4,93,"0302,0303,0304,0305,0306,0308,0315,0316,0317,0318,0322,0323,0325,0506,0507,0510,0520,0527,0528,0533,0537,0538,0702,0705,0708,0710,0729,0733,0734,1101,1102,1106,1107,3109,3112,3116,3117,3203,3211,3212,3306,3403,3404,3405,3406,3407,3408,3409,3410,3501,3502,3503,3505,3506,3703,3705,3706,3707,3708,3710,3712,3713,3715,3802,3803,3804,3806,3812,3813,3903,3904,3906,3911,3913,3917,3918,3920,4001,4002,4003,4004,4012,4013,4014,4304,4306,4311,4312,4313,4316,4503,4504,4505",6.255021302495435,2016
6,145,"0307,0311,0312,0313,0314,0321,0502,0503,0504,0508,0509,0511,0512,0513,0514,0515,0516,0517,0518,0521,0522,0525,0529,0703,0704,0707,0709,0711,0712,0713,0714,0715,0716,0717,0718,0719,0720,0721,0722,0724,0728,1103,1105,3118,3121,3122,3123,3127,3128,3129,3213,3301,3302,3307,3308,3309,3310,3311,3312,3313,3507,3508,3509,3510,3511,3513,3515,3516,3517,3704,3709,3711,3714,3716,3717,3718,3719,3720,3721,3722,3723,3724,3725,3726,3805,3807,3808,3809,3810,3811,3902,3905,3907,3908,3909,3910,3912,3914,3915,3916,3919,4005,4006,4007,4008,4010,4011,4015,4016,4018,4302,4303,4305,4307,4308,4309,4310,4314,4315,4317,4319,4321,4322,4323,4324,4325,4326,4332,4333,4502,4506,4507,4509,4510,4511,4513,4602,4603,4604,4605,4606,4607,4608,4609,4610",3.5134574558676563,2016
0,10,"0101,0102,0110,0111,0118,1200,3101,3102,3104,3201",69.91698113207548,2017
1,6,"0117,0119,3105,3106,3202,3701",40.61006289308176,2017
2,20,"0109,0112,0115,0116,0324,0327,0701,0732,0736,2200,3107,3111,3113,3205,3207,3210,3305,3401,4301,4501",26.935849056603775,2017
3,35,"0120,0301,0309,0310,0319,0320,0326,0328,0329,0501,0531,0532,0534,0535,0706,0730,0731,0735,0738,1104,3103,3110,3114,3115,3204,3206,3208,3209,3303,3402,3702,3801,3803,3901,4601",15.709433962264152,2017
4,96,"0302,0303,0304,0305,0306,0307,0308,0315,0316,0317,0318,0322,0323,0325,0505,0506,0507,0510,0527,0528,0533,0537,0538,0702,0705,0708,0710,0729,0733,0734,1101,1102,1106,1107,3108,3109,3112,3116,3117,3203,3211,3212,3302,3306,3307,3309,3403,3404,3405,3407,3408,3409,3501,3502,3503,3504,3505,3508,3703,3705,3706,3707,3708,3710,3711,3712,3713,3715,3717,3722,3802,3804,3813,3903,3904,3906,3913,3917,3918,3920,4001,4002,4003,4004,4006,4007,4013,4302,4306,4311,4312,4313,4316,4503,4504,4505",6.24253144654088,2017
6,141,"0311,0312,0313,0321,0502,0503,0504,0508,0509,0511,0512,0513,0514,0516,0520,0521,0522,0525,0529,0703,0704,0707,0709,0711,0712,0713,0714,0715,0716,0717,0718,0719,0720,0721,0724,0728,1103,1105,3118,3121,3122,3123,3124,3126,3127,3128,3213,3301,3308,3310,3311,3312,3313,3406,3410,3411,3506,3507,3509,3510,3512,3513,3515,3516,3518,3704,3709,3714,3716,3718,3719,3720,3721,3723,3724,3725,3726,3805,3806,3807,3808,3809,3810,3811,3812,3902,3905,3907,3908,3909,3910,3911,3912,3914,3915,3916,3919,4005,4008,4009,4010,4011,4012,4014,4016,4018,4303,4304,4305,4308,4309,4310,4314,4315,4317,4318,4319,4321,4322,4323,4324,4325,4326,4327,4332,4333,4502,4506,4507,4509,4510,4511,4513,4602,4603,4604,4606,4607,4608,4609,4610",3.424193707312544,2017
0,6,"0102,0110,0111,0118,1200,3101",77.79245283018868,2018
1,6,"0101,0117,3102,3104,3201,3202",56.31761006289309,2018
2,20,"0109,0112,0115,0116,0119,0327,0701,0732,0736,2200,3105,3106,3107,3111,3207,3210,3401,3701,4301,4501",30.970754716981133,2018
3,35,"0120,0301,0310,0319,0320,0324,0326,0328,0329,0501,0531,0532,0534,0706,0730,0731,0735,0738,1104,3103,3110,3113,3114,3115,3204,3205,3206,3208,3209,3303,3305,3702,3801,3901,4601",17.540161725067385,2018
4,100,"0302,0303,0304,0305,0306,0307,0308,0309,0315,0316,0317,0318,0322,0323,0325,0505,0506,0507,0527,0528,0533,0535,0537,0538,0702,0703,0704,0705,0708,0710,0712,0720,0729,0733,0734,1101,1102,1106,1107,3108,3109,3112,3116,3117,3203,3211,3212,3213,3302,3306,3307,3402,3403,3404,3405,3407,3408,3409,3410,3501,3502,3503,3504,3505,3508,3703,3705,3706,3707,3708,3710,3711,3712,3713,3715,3802,3803,3804,3806,3813,3903,3906,3913,3917,3918,3920,4001,4002,4003,4004,4006,4013,4302,4312,4313,4316,4503,4504,4505,4606",6.722264150943396,2018
6,139,"0311,0312,0313,0314,0321,0502,0503,0504,0508,0509,0510,0511,0512,0514,0515,0516,0520,0521,0529,0707,0709,0711,0713,0714,0715,0716,0717,0718,0719,0721,0722,0723,0724,0728,1103,1105,3118,3121,3123,3124,3126,3127,3128,3301,3308,3309,3310,3311,3313,3314,3406,3411,3506,3507,3509,3510,3511,3512,3513,3516,3704,3709,3714,3716,3717,3718,3719,3720,3721,3722,3723,3724,3725,3726,3805,3807,3808,3809,3810,3811,3812,3902,3904,3905,3907,3908,3909,3910,3911,3912,3914,3916,3919,4005,4007,4008,4009,4010,4011,4012,4014,4015,4016,4018,4303,4304,4305,4306,4308,4309,4310,4311,4314,4315,4317,4318,4319,4320,4321,4322,4323,4324,4325,4331,4332,4502,4506,4507,4509,4510,4511,4513,4602,4603,4604,4607,4608,4609,4610",3.560666220449781,2018
0,10,"0101,0102,0110,0111,0118,1200,3101,3102,3104,3201",75.81132075471699,2019
1,10,"0109,0115,0117,0119,0327,0701,3105,3106,3202,3701",40.47735849056604,2019
2,18,"0112,0116,0326,0329,0531,0732,0736,2200,3107,3111,3113,3205,3207,3210,3305,3401,4301,4501",27.02620545073375,2019
3,35,"0120,0301,0309,0310,0319,0320,0324,0328,0501,0532,0534,0537,0706,0729,0730,0731,0733,0735,0738,1104,3103,3110,3114,3115,3204,3206,3208,3209,3303,3306,3501,3702,3801,3901,4601",16.497035040431268,2019
4,102,"0302,0303,0304,0305,0306,0307,0308,0315,0316,0317,0318,0322,0323,0325,0505,0507,0511,0527,0528,0533,0535,0538,0702,0703,0705,0708,0710,0715,0734,1101,1102,1106,1107,3108,3109,3112,3116,3117,3123,3203,3211,3212,3213,3309,3402,3403,3404,3405,3407,3408,3409,3410,3502,3503,3504,3505,3508,3509,3703,3705,3706,3707,3708,3710,3711,3712,3713,3715,3723,3726,3802,3803,3804,3806,3810,3812,3813,3903,3904,3906,3913,3917,3918,3920,4001,4002,4003,4004,4006,4007,4012,4013,4302,4303,4312,4313,4316,4503,4504,4505,4507,4606",6.513133555308916,2019
6,135,"0311,0312,0313,0314,0321,0502,0503,0504,0506,0508,0509,0510,0512,0513,0514,0515,0516,0520,0521,0522,0523,0524,0529,0530,0704,0707,0709,0711,0712,0713,0714,0716,0717,0719,0720,0721,0722,0723,0724,0728,1103,1105,3118,3121,3124,3126,3127,3128,3129,3301,3302,3307,3308,3310,3312,3313,3406,3411,3412,3506,3507,3510,3511,3513,3515,3516,3704,3709,3714,3716,3717,3718,3719,3720,3721,3722,3724,3725,3805,3807,3808,3809,3811,3902,3905,3907,3908,3909,3911,3912,3914,3915,3916,3919,4005,4009,4010,4011,4014,4015,4016,4018,4304,4305,4306,4308,4309,4310,4311,4314,4315,4317,4318,4319,4321,4322,4323,4328,4329,4330,4502,4506,4509,4510,4511,4512,4513,4602,4603,4604,4607,4608,4609,4610,4612",3.4586104401902773,2019
