ID1_CITY,year,month,case_c
0101,2016,1,46
0101,2016,2,52
0101,2016,3,65
0101,2016,4,34
0101,2016,5,27
0101,2016,6,28
0101,2016,7,25
0101,2016,8,42
0101,2016,9,25
0101,2016,10,29
0101,2016,11,39
0101,2016,12,33
0101,2017,1,53
0101,2017,2,60
0101,2017,3,53
0101,2017,4,53
0101,2017,5,38
0101,2017,6,33
0101,2017,7,34
0101,2017,8,26
0101,2017,9,25
0101,2017,10,32
0101,2017,11,35
0101,2017,12,38
0101,2018,1,58
0101,2018,2,52
0101,2018,3,68
0101,2018,4,50
0101,2018,5,37
0101,2018,6,41
0101,2018,7,33
0101,2018,8,36
0101,2018,9,25
0101,2018,10,50
0101,2018,11,36
0101,2018,12,42
0101,2019,1,62
0101,2019,2,46
0101,2019,3,47
0101,2019,4,28
0101,2019,5,39
0101,2019,6,37
0101,2019,7,33
0101,2019,8,26
0101,2019,9,24
0101,2019,10,40
0101,2019,11,57
0101,2019,12,52
0102,2016,1,66
0102,2016,2,54
0102,2016,3,74
0102,2016,4,40
0102,2016,5,44
0102,2016,6,41
0102,2016,7,22
0102,2016,8,28
0102,2016,9,25
0102,2016,10,33
0102,2016,11,36
0102,2016,12,58
0102,2017,1,51
0102,2017,2,77
0102,2017,3,58
0102,2017,4,40
0102,2017,5,44
0102,2017,6,30
0102,2017,7,41
0102,2017,8,35
0102,2017,9,29
0102,2017,10,41
0102,2017,11,32
0102,2017,12,62
0102,2018,1,75
0102,2018,2,77
0102,2018,3,78
0102,2018,4,55
0102,2018,5,57
0102,2018,6,47
0102,2018,7,36
0102,2018,8,45
0102,2018,9,41
0102,2018,10,55
0102,2018,11,42
0102,2018,12,62
0102,2019,1,67
0102,2019,2,50
0102,2019,3,47
0102,2019,4,44
0102,2019,5,44
0102,2019,6,36
0102,2019,7,36
0102,2019,8,36
0102,2019,9,38
0102,2019,10,48
0102,2019,11,44
0102,2019,12,53
0109,2016,1,23
0109,2016,2,32
0109,2016,3,34
0109,2016,4,27
0109,2016,5,14
0109,2016,6,11
0109,2016,7,16
0109,2016,8,18
0109,2016,9,14
0109,2016,10,18
