ID1_CITY,year,month,case_c
0101,2016,1,39
0101,2016,2,58
0101,2016,3,60
0101,2016,4,44
0101,2016,5,53
0101,2016,6,38
0101,2016,7,37
0101,2016,8,38
0101,2016,9,36
0101,2016,10,47
0101,2016,11,53
0101,2016,12,49
0101,2017,1,55
0101,2017,2,49
0101,2017,3,53
0101,2017,4,59
0101,2017,5,73
0101,2017,6,55
0101,2017,7,51
0101,2017,8,57
0101,2017,9,68
0101,2017,10,75
0101,2017,11,61
0101,2017,12,74
0101,2018,1,76
0101,2018,2,43
0101,2018,3,85
0101,2018,4,83
0101,2018,5,59
0101,2018,6,42
0101,2018,7,60
0101,2018,8,45
0101,2018,9,57
0101,2018,10,68
0101,2018,11,59
0101,2018,12,55
0101,2019,1,79
0101,2019,2,63
0101,2019,3,72
0101,2019,4,64
0101,2019,5,62
0101,2019,6,62
0101,2019,7,59
0101,2019,8,66
0101,2019,9,58
0101,2019,10,63
0101,2019,11,60
0101,2019,12,47
0102,2016,1,48
0102,2016,2,44
0102,2016,3,57
0102,2016,4,60
0102,2016,5,54
0102,2016,6,45
0102,2016,7,47
0102,2016,8,59
0102,2016,9,45
0102,2016,10,51
0102,2016,11,53
0102,2016,12,58
0102,2017,1,55
0102,2017,2,62
0102,2017,3,72
0102,2017,4,57
0102,2017,5,72
0102,2017,6,68
0102,2017,7,70
0102,2017,8,67
0102,2017,9,62
0102,2017,10,66
0102,2017,11,77
0102,2017,12,85
0102,2018,1,78
0102,2018,2,72
0102,2018,3,75
0102,2018,4,86
0102,2018,5,86
0102,2018,6,80
0102,2018,7,75
0102,2018,8,82
0102,2018,9,63
0102,2018,10,74
0102,2018,11,87
0102,2018,12,74
0102,2019,1,92
0102,2019,2,56
0102,2019,3,87
0102,2019,4,92
0102,2019,5,97
0102,2019,6,73
0102,2019,7,79
0102,2019,8,71
0102,2019,9,68
0102,2019,10,72
0102,2019,11,69
0102,2019,12,90
0109,2016,1,21
0109,2016,2,23
0109,2016,3,35
0109,2016,4,20
0109,2016,5,18
0109,2016,6,22
0109,2016,7,22
0109,2016,8,21
0109,2016,9,28
0109,2016,10,28
0109,2016,11,20
0109,2016,12,26
0109,2017,1,19
0109,2017,2,19
0109,2017,3,22
0109,2017,4,32
0109,2017,5,23
0109,2017,6,18
0109,2017,7,25
0109,2017,8,19
0109,2017,9,18
0109,2017,10,18
0109,2017,11,20
0109,2017,12,26
0109,2018,1,39
0109,2018,2,25
0109,2018,3,37
0109,2018,4,29
0109,2018,5,36
0109,2018,6,25
0109,2018,7,31
0109,2018,8,41
0109,2018,9,24
0109,2018,10,36
0109,2018,11,32
0109,2018,12,33
0109,2019,1,34
0109,2019,2,28
0109,2019,3,33
0109,2019,4,26
0109,2019,5,28
0109,2019,6,32
0109,2019,7,30
0109,2019,8,32
0109,2019,9,26
0109,2019,10,27
0109,2019,11,30
0109,2019,12,32
0110,2016,1,69
0110,2016,2,79
0110,2016,3,75
0110,2016,4,68
0110,2016,5,91
0110,2016,6,72
0110,2016,7,79
0110,2016,8,78
0110,2016,9,75
0110,2016,10,78
0110,2016,11,80
0110,2016,12,101
0110,2017,1,83
0110,2017,2,91
0110,2017,3,98
0110,2017,4,75
0110,2017,5,89
0110,2017,6,88
0110,2017,7,71
0110,2017,8,74
0110,2017,9,83
0110,2017,10,83
0110,2017,11,84
0110,2017,12,84
0110,2018,1,106
0110,2018,2,80
0110,2018,3,111
0110,2018,4,96
0110,2018,5,101
0110,2018,6,92
0110,2018,7,84
0110,2018,8,100
0110,2018,9,79
0110,2018,10,91
0110,2018,11,101
