ID1_CITY,year,month,case_c
0101,2016,1,224
0101,2016,2,229
0101,2016,3,226
0101,2016,4,230
0101,2016,5,212
0101,2016,6,182
0101,2016,7,165
0101,2016,8,194
0101,2016,9,152
0101,2016,10,169
0101,2016,11,229
0101,2016,12,199
0101,2017,1,221
0101,2017,2,201
0101,2017,3,249
0101,2017,4,218
0101,2017,5,227
0101,2017,6,231
0101,2017,7,196
0101,2017,8,192
0101,2017,9,210
0101,2017,10,221
0101,2017,11,221
0101,2017,12,275
0101,2018,1,259
0101,2018,2,233
0101,2018,3,275
0101,2018,4,237
0101,2018,5,206
0101,2018,6,186
0101,2018,7,192
0101,2018,8,192
0101,2018,9,174
0101,2018,10,234
0101,2018,11,224
0101,2018,12,251
0101,2019,1,294
0101,2019,2,235
0101,2019,3,259
0101,2019,4,244
0101,2019,5,262
0101,2019,6,226
0101,2019,7,231
0101,2019,8,196
0101,2019,9,189
0101,2019,10,234
0101,2019,11,248
0101,2019,12,287
0102,2016,1,269
0102,2016,2,298
0102,2016,3,284
0102,2016,4,264
0102,2016,5,239
0102,2016,6,195
0102,2016,7,215
0102,2016,8,221
0102,2016,9,200
0102,2016,10,222
0102,2016,11,252
0102,2016,12,292
0102,2017,1,252
0102,2017,2,255
0102,2017,3,319
0102,2017,4,226
0102,2017,5,238
0102,2017,6,236
0102,2017,7,211
0102,2017,8,214
0102,2017,9,213
0102,2017,10,254
0102,2017,11,234
0102,2017,12,272
0102,2018,1,289
0102,2018,2,265
0102,2018,3,325
0102,2018,4,276
0102,2018,5,280
0102,2018,6,244
0102,2018,7,234
0102,2018,8,251
0102,2018,9,218
0102,2018,10,270
0102,2018,11,292
0102,2018,12,290
0102,2019,1,344
0102,2019,2,261
0102,2019,3,322
0102,2019,4,307
0102,2019,5,297
0102,2019,6,255
0102,2019,7,278
0102,2019,8,269
0102,2019,9,259
0102,2019,10,302
0102,2019,11,285
0102,2019,12,329
0109,2016,1,124
0109,2016,2,119
0109,2016,3,135
0109,2016,4,143
0109,2016,5,106
0109,2016,6,110
0109,2016,7,83
0109,2016,8,89
0109,2016,9,94
0109,2016,10,106
0109,2016,11,124
0109,2016,12,125
0109,2017,1,123
0109,2017,2,121
0109,2017,3,130
0109,2017,4,119
0109,2017,5,118
0109,2017,6,116
0109,2017,7,98
0109,2017,8,87
0109,2017,9,110
0109,2017,10,105
0109,2017,11,104
0109,2017,12,141
0109,2018,1,126
0109,2018,2,126
0109,2018,3,131
0109,2018,4,114
0109,2018,5,111
0109,2018,6,98
0109,2018,7,94
0109,2018,8,105
0109,2018,9,84
0109,2018,10,104
0109,2018,11,130
0109,2018,12,115
0109,2019,1,140
0109,2019,2,112
0109,2019,3,139
0109,2019,4,133
0109,2019,5,125
0109,2019,6,120
0109,2019,7,113
0109,2019,8,109
0109,2019,9,127
0109,2019,10,114
0109,2019,11,138
0109,2019,12,135
0110,2016,1,341
0110,2016,2,365
0110,2016,3,403
0110,2016,4,326
0110,2016,5,326
0110,2016,6,265
0110,2016,7,256
0110,2016,8,244
0110,2016,9,248
0110,2016,10,288
0110,2016,11,316
0110,2016,12,388
0110,2017,1,326
0110,2017,2,328
0110,2017,3,381
0110,2017,4,366
0110,2017,5,309
