ID1_CITY,year,month,case_c
0101,2016,1,5717
0101,2016,2,6788
0101,2016,3,6540
0101,2016,4,4852
0101,2016,5,4324
0101,2016,6,3614
0101,2016,7,3349
0101,2016,8,3845
0101,2016,9,3760
0101,2016,10,4011
0101,2016,11,4806
0101,2016,12,4990
0101,2017,1,5234
0101,2017,2,5028
0101,2017,3,5421
0101,2017,4,4654
0101,2017,5,4621
0101,2017,6,4275
0101,2017,7,4086
0101,2017,8,3493
0101,2017,9,3570
0101,2017,10,4294
0101,2017,11,4760
0101,2017,12,5679
0101,2018,1,5911
0101,2018,2,5254
0101,2018,3,5661
0101,2018,4,4674
0101,2018,5,3945
0101,2018,6,3505
0101,2018,7,3493
0101,2018,8,3855
0101,2018,9,3982
0101,2018,10,4665
0101,2018,11,4387
0101,2018,12,5216
0101,2019,1,6135
0101,2019,2,4981
0101,2019,3,5267
0101,2019,4,4724
0101,2019,5,4578
0101,2019,6,3889
0101,2019,7,3754
0101,2019,8,3615
0101,2019,9,3896
0101,2019,10,4600
0101,2019,11,4848
0101,2019,12,5450
0102,2016,1,6166
0102,2016,2,7469
0102,2016,3,7109
0102,2016,4,5412
0102,2016,5,4808
0102,2016,6,4023
0102,2016,7,3769
0102,2016,8,4248
0102,2016,9,4174
0102,2016,10,4463
0102,2016,11,5310
0102,2016,12,5652
0102,2017,1,5512
0102,2017,2,5309
0102,2017,3,5709
0102,2017,4,5039
0102,2017,5,4940
0102,2017,6,4596
0102,2017,7,4383
0102,2017,8,3710
0102,2017,9,3944
0102,2017,10,4586
0102,2017,11,5049
0102,2017,12,6083
0102,2018,1,6630
0102,2018,2,6041
0102,2018,3,6264
0102,2018,4,5213
0102,2018,5,4494
0102,2018,6,3917
0102,2018,7,3914
0102,2018,8,4211
0102,2018,9,4393
0102,2018,10,5062
0102,2018,11,4951
0102,2018,12,5769
0102,2019,1,6749
0102,2019,2,5574
0102,2019,3,5693
0102,2019,4,5197
0102,2019,5,5017
0102,2019,6,4286
0102,2019,7,4272
0102,2019,8,4021
0102,2019,9,4322
0102,2019,10,5105
0102,2019,11,5392
0102,2019,12,5961
0109,2016,1,2748
0109,2016,2,3215
0109,2016,3,3036
0109,2016,4,2313
0109,2016,5,1971
0109,2016,6,1659
0109,2016,7,1595
0109,2016,8,1748
0109,2016,9,1750
0109,2016,10,1863
0109,2016,11,2291
0109,2016,12,2425
0109,2017,1,2278
0109,2017,2,2244
0109,2017,3,2323
0109,2017,4,2143
0109,2017,5,2087
0109,2017,6,1907
0109,2017,7,1842
0109,2017,8,1503
0109,2017,9,1572
0109,2017,10,1852
0109,2017,11,2122
0109,2017,12,2505
0109,2018,1,2670
0109,2018,2,2430
0109,2018,3,2612
0109,2018,4,2109
0109,2018,5,1865
0109,2018,6,1601
0109,2018,7,1590
0109,2018,8,1692
