ID1_CITY,year,week,case_c,case_per_capita(‰)
0101,2016,1,12,0.32
0101,2016,2,65,1.732
0101,2016,3,59,1.572
0101,2016,4,62,1.652
0101,2016,5,82,2.186
0101,2016,6,82,2.186
0101,2016,7,25,0.666
0101,2016,8,89,2.372
0101,2016,9,70,1.866
0101,2016,10,69,1.839
0101,2016,11,78,2.079
0101,2016,12,55,1.466
0101,2016,13,65,1.732
0101,2016,14,71,1.892
0101,2016,15,55,1.466
0101,2016,16,75,1.999
0101,2016,17,84,2.239
0101,2016,18,66,1.759
0101,2016,19,74,1.972
0101,2016,20,60,1.599
0101,2016,21,69,1.839
0101,2016,22,59,1.572
0101,2016,23,52,1.386
0101,2016,24,49,1.306
0101,2016,25,59,1.572
0101,2016,26,53,1.413
0101,2016,27,44,1.173
0101,2016,28,55,1.466
0101,2016,29,53,1.413
0101,2016,30,52,1.386
0101,2016,31,37,0.986
0101,2016,32,64,1.706
0101,2016,33,58,1.546
0101,2016,34,47,1.253
0101,2016,35,57,1.519
0101,2016,36,44,1.173
0101,2016,37,45,1.199
0101,2016,38,47,1.253
0101,2016,39,49,1.306
0101,2016,40,34,0.906
0101,2016,41,62,1.652
0101,2016,42,50,1.333
0101,2016,43,47,1.253
0101,2016,44,43,1.146
0101,2016,45,71,1.892
0101,2016,46,64,1.706
0101,2016,47,69,1.839
0101,2016,48,66,1.759
0101,2016,49,58,1.546
0101,2016,50,57,1.519
0101,2016,51,56,1.493
0101,2016,52,61,1.626
0101,2016,53,69,1.839
0101,2018,1,78,1.91
0101,2018,2,82,2.008
0101,2018,3,72,1.763
0101,2018,4,65,1.591
0101,2018,5,70,1.714
0101,2018,6,85,2.081
0101,2018,7,62,1.518
0101,2018,8,72,1.763
0101,2018,9,72,1.763
0101,2018,10,77,1.885
0101,2018,11,74,1.812
0101,2018,12,85,2.081
0101,2018,13,68,1.665
0101,2018,14,74,1.812
0101,2018,15,76,1.861
0101,2018,16,70,1.714
0101,2018,17,66,1.616
0101,2018,18,49,1.2
0101,2018,19,52,1.273
0101,2018,20,65,1.591
0101,2018,21,52,1.273
0101,2018,22,60,1.469
0101,2018,23,60,1.469
0101,2018,24,52,1.273
0101,2018,25,45,1.102
0101,2018,26,50,1.224
0101,2018,27,51,1.249
0101,2018,28,51,1.249
0101,2018,29,60,1.469
0101,2018,30,54,1.322
0101,2018,31,52,1.273
0101,2018,32,56,1.371
0101,2018,33,58,1.42
0101,2018,34,55,1.347
0101,2018,35,55,1.347
0101,2018,36,52,1.273
0101,2018,37,55,1.347
0101,2018,38,54,1.322
0101,2018,39,50,1.224
0101,2018,40,68,1.665
0101,2018,41,48,1.175
0101,2018,42,57,1.396
0101,2018,43,69,1.689
0101,2018,44,68,1.665
0101,2018,45,59,1.445
0101,2018,46,56,1.371
0101,2018,47,50,1.224
0101,2018,48,83,2.032
0101,2018,49,70,1.714
0101,2018,50,77,1.885
0101,2018,51,67,1.64
0101,2018,52,74,1.812
0101,2018,53,13,0.318
0101,2019,1,45,1.097
0101,2019,2,78,1.902
0101,2019,3,72,1.755
0101,2019,4,100,2.438
0101,2019,5,116,2.828
0101,2019,6,32,0.78
0101,2019,7,89,2.17
0101,2019,8,81,1.975
0101,2019,9,65,1.585
0101,2019,10,72,1.755
0101,2019,11,74,1.804
0101,2019,12,80,1.95
0101,2019,13,82,1.999
0101,2019,14,54,1.316
0101,2019,15,77,1.877
0101,2019,16,71,1.731
0101,2019,17,69,1.682
0101,2019,18,53,1.292
0101,2019,19,76,1.853
0101,2019,20,69,1.682
0101,2019,21,80,1.95
0101,2019,22,72,1.755
0101,2019,23,58,1.414
0101,2019,24,74,1.804
0101,2019,25,67,1.633
0101,2019,26,77,1.877
0101,2019,27,53,1.292
0101,2019,28,80,1.95
0101,2019,29,62,1.512
0101,2019,30,55,1.341
0101,2019,31,49,1.195
0101,2019,32,49,1.195
0101,2019,33,62,1.512
0101,2019,34,54,1.316
0101,2019,35,55,1.341
0101,2019,36,51,1.243
0101,2019,37,44,1.073
0101,2019,38,57,1.39
0101,2019,39,68,1.658
0101,2019,40,50,1.219
0101,2019,41,58,1.414
0101,2019,42,57,1.39
0101,2019,43,67,1.633
0101,2019,44,75,1.828
0101,2019,45,80,1.95
0101,2019,46,69,1.682
0101,2019,47,61,1.487
0101,2019,48,72,1.755
0101,2019,49,76,1.853
0101,2019,50,97,2.365
0101,2019,51,79,1.926
0101,2019,52,88,2.145
0101,2019,53,27,0.658
0102,2016,1,10,0.228
0102,2016,2,79,1.799
0102,2016,3,82,1.867
0102,2016,4,76,1.731
0102,2016,5,91,2.072
0102,2016,6,114,2.596
0102,2016,7,39,0.888
0102,2016,8,106,2.414
0102,2016,9,91,2.072
0102,2016,10,90,2.049
0102,2016,11,86,1.958
0102,2016,12,83,1.89
0102,2016,13,54,1.23
0102,2016,14,96,2.186
0102,2016,15,57,1.298
0102,2016,16,85,1.936
0102,2016,17,79,1.799
0102,2016,18,78,1.776
0102,2016,19,64,1.457
0102,2016,20,68,1.548
0102,2016,21,73,1.662
0102,2016,22,64,1.457
0102,2016,23,62,1.412
0102,2016,24,45,1.025
0102,2016,25,64,1.457
0102,2016,26,66,1.503
0102,2016,27,63,1.435
0102,2016,28,49,1.116
0102,2016,29,74,1.685
0102,2016,30,62,1.412
0102,2016,31,51,1.161
0102,2016,32,50,1.139
0102,2016,33,55,1.252
0102,2016,34,64,1.457
0102,2016,35,64,1.457
0102,2016,36,74,1.685
0102,2016,37,48,1.093
0102,2016,38,54,1.23
0102,2016,39,60,1.366
0102,2016,40,55,1.252
0102,2016,41,69,1.571
0102,2016,42,61,1.389
0102,2016,43,65,1.48
0102,2016,44,57,1.298
0102,2016,45,67,1.526
0102,2016,46,75,1.708
0102,2016,47,62,1.412
0102,2016,48,85,1.936
0102,2016,49,77,1.753
0102,2016,50,83,1.89
0102,2016,51,85,1.936
0102,2016,52,96,2.186
0102,2016,53,73,1.662
0102,2018,1,82,1.688
0102,2018,2,75,1.544
0102,2018,3,71,1.461
0102,2018,4,83,1.708
0102,2018,5,76,1.564
0102,2018,6,111,2.285
0102,2018,7,72,1.482
0102,2018,8,65,1.338
0102,2018,9,74,1.523
0102,2018,10,102,2.1
0102,2018,11,86,1.77
0102,2018,12,94,1.935
0102,2018,13,100,2.058
0102,2018,14,65,1.338
0102,2018,15,91,1.873
0102,2018,16,83,1.708
0102,2018,17,81,1.667
0102,2018,18,84,1.729
0102,2018,19,92,1.894
0102,2018,20,64,1.317
0102,2018,21,65,1.338
0102,2018,22,63,1.297
0102,2018,23,87,1.791
0102,2018,24,72,1.482
0102,2018,25,58,1.194
0102,2018,26,60,1.235
0102,2018,27,72,1.482
0102,2018,28,56,1.153
0102,2018,29,60,1.235
0102,2018,30,78,1.606
0102,2018,31,55,1.132
0102,2018,32,71,1.461
0102,2018,33,57,1.173
0102,2018,34,59,1.214
0102,2018,35,83,1.708
0102,2018,36,59,1.214
0102,2018,37,83,1.708
0102,2018,38,68,1.4
0102,2018,39,51,1.05
0102,2018,40,72,1.482
0102,2018,41,62,1.276
0102,2018,42,76,1.564
0102,2018,43,74,1.523
0102,2018,44,84,1.729
0102,2018,45,88,1.811
0102,2018,46,81,1.667
0102,2018,47,79,1.626
0102,2018,48,86,1.77
0102,2018,49,86,1.77
0102,2018,50,84,1.729
0102,2018,51,83,1.708
0102,2018,52,81,1.667
0102,2018,53,11,0.226
0102,2019,1,45,0.924
0102,2019,2,108,2.218
0102,2019,3,98,2.013
0102,2019,4,91,1.869
0102,2019,5,124,2.546
0102,2019,6,23,0.472
0102,2019,7,113,2.321
0102,2019,8,82,1.684
0102,2019,9,82,1.684
0102,2019,10,86,1.766
0102,2019,11,114,2.341
0102,2019,12,94,1.93
0102,2019,13,92,1.889
0102,2019,14,76,1.561
0102,2019,15,101,2.074
0102,2019,16,85,1.746
0102,2019,17,90,1.848
0102,2019,18,79,1.622
0102,2019,19,93,1.91
0102,2019,20,79,1.622
0102,2019,21,71,1.458
0102,2019,22,74,1.52
0102,2019,23,74,1.52
0102,2019,24,83,1.704
0102,2019,25,81,1.663
0102,2019,26,73,1.499
0102,2019,27,79,1.622
0102,2019,28,78,1.602
0102,2019,29,72,1.479
0102,2019,30,68,1.396
0102,2019,31,84,1.725
0102,2019,32,77,1.581
0102,2019,33,77,1.581
0102,2019,34,67,1.376
0102,2019,35,82,1.684
0102,2019,36,84,1.725
0102,2019,37,67,1.376
0102,2019,38,74,1.52
0102,2019,39,85,1.746
0102,2019,40,68,1.396
0102,2019,41,76,1.561
0102,2019,42,77,1.581
0102,2019,43,74,1.52
0102,2019,44,83,1.704
0102,2019,45,69,1.417
0102,2019,46,83,1.704
0102,2019,47,76,1.561
0102,2019,48,97,1.992
0102,2019,49,74,1.52
0102,2019,50,93,1.91
0102,2019,51,92,1.889
0102,2019,52,99,2.033
0102,2019,53,39,0.801
0109,2016,1,7,0.387
0109,2016,2,35,1.935
0109,2016,3,30,1.658
0109,2016,4,39,2.156
0109,2016,5,40,2.211
0109,2016,6,58,3.206
0109,2016,7,16,0.885
0109,2016,8,47,2.598
0109,2016,9,32,1.769
0109,2016,10,41,2.267
0109,2016,11,33,1.824
0109,2016,12,45,2.488
0109,2016,13,43,2.377
0109,2016,14,36,1.99
0109,2016,15,41,2.267
0109,2016,16,49,2.709
0109,2016,17,40,2.211
0109,2016,18,43,2.377
0109,2016,19,30,1.658
0109,2016,20,35,1.935
0109,2016,21,34,1.88
0109,2016,22,35,1.935
0109,2016,23,39,2.156
0109,2016,24,31,1.714
0109,2016,25,35,1.935
0109,2016,26,33,1.824
0109,2016,27,34,1.88
0109,2016,28,24,1.327
0109,2016,29,34,1.88
0109,2016,30,26,1.437
0109,2016,31,23,1.271
0109,2016,32,26,1.437
0109,2016,33,30,1.658
0109,2016,34,26,1.437
0109,2016,35,25,1.382
0109,2016,36,20,1.106
0109,2016,37,31,1.714
0109,2016,38,21,1.161
0109,2016,39,37,2.045
0109,2016,40,21,1.161
0109,2016,41,33,1.824
0109,2016,42,28,1.548
0109,2016,43,35,1.935
0109,2016,44,28,1.548
0109,2016,45,36,1.99
0109,2016,46,40,2.211
0109,2016,47,40,2.211
0109,2016,48,37,2.045
0109,2016,49,37,2.045
0109,2016,50,31,1.714
0109,2016,51,41,2.267
0109,2016,52,42,2.322
0109,2016,53,31,1.714
0109,2018,1,35,1.786
0109,2018,2,38,1.939
0109,2018,3,40,2.041
0109,2018,4,35,1.786
0109,2018,5,28,1.428
0109,2018,6,49,2.5
0109,2018,7,33,1.684
0109,2018,8,31,1.582
0109,2018,9,40,2.041
0109,2018,10,55,2.806
0109,2018,11,31,1.582
0109,2018,12,38,1.939
0109,2018,13,40,2.041
0109,2018,14,25,1.275
0109,2018,15,45,2.296
0109,2018,16,36,1.837
0109,2018,17,31,1.582
0109,2018,18,28,1.428
0109,2018,19,33,1.684
0109,2018,20,34,1.735
0109,2018,21,27,1.377
0109,2018,22,32,1.633
0109,2018,23,25,1.275
0109,2018,24,32,1.633
0109,2018,25,30,1.531
0109,2018,26,25,1.275
0109,2018,27,19,0.969
0109,2018,28,22,1.122
0109,2018,29,26,1.326
0109,2018,30,34,1.735
0109,2018,31,23,1.173
0109,2018,32,27,1.377
0109,2018,33,24,1.224
0109,2018,34,27,1.377
0109,2018,35,33,1.684
0109,2018,36,23,1.173
0109,2018,37,28,1.428
0109,2018,38,28,1.428
0109,2018,39,30,1.531
0109,2018,40,27,1.377
0109,2018,41,24,1.224
0109,2018,42,31,1.582
0109,2018,43,32,1.633
0109,2018,44,29,1.48
0109,2018,45,44,2.245
0109,2018,46,41,2.092
0109,2018,47,29,1.48
0109,2018,48,39,1.99
0109,2018,49,28,1.428
0109,2018,50,32,1.633
0109,2018,51,37,1.888
0109,2018,52,36,1.837
0109,2018,53,6,0.306
0109,2019,1,33,1.728
0109,2019,2,29,1.519
0109,2019,3,30,1.571
0109,2019,4,42,2.2
0109,2019,5,49,2.567
0109,2019,6,15,0.786
0109,2019,7,43,2.252
0109,2019,8,39,2.043
0109,2019,9,30,1.571
0109,2019,10,35,1.833
0109,2019,11,39,2.043
0109,2019,12,40,2.095
0109,2019,13,46,2.409
0109,2019,14,34,1.781
0109,2019,15,50,2.619
0109,2019,16,38,1.99
0109,2019,17,33,1.728
0109,2019,18,27,1.414
0109,2019,19,39,2.043
0109,2019,20,39,2.043
0109,2019,21,36,1.886
0109,2019,22,36,1.886
0109,2019,23,37,1.938
0109,2019,24,34,1.781
0109,2019,25,30,1.571
0109,2019,26,32,1.676
0109,2019,27,35,1.833
0109,2019,28,39,2.043
0109,2019,29,35,1.833
0109,2019,30,32,1.676
0109,2019,31,19,0.995
0109,2019,32,36,1.886
0109,2019,33,26,1.362
0109,2019,34,38,1.99
0109,2019,35,26,1.362
0109,2019,36,43,2.252
0109,2019,37,30,1.571
0109,2019,38,42,2.2
0109,2019,39,37,1.938
0109,2019,40,24,1.257
0109,2019,41,34,1.781
0109,2019,42,38,1.99
0109,2019,43,28,1.467
0109,2019,44,38,1.99
0109,2019,45,41,2.147
0109,2019,46,41,2.147
0109,2019,47,39,2.043
0109,2019,48,44,2.305
0109,2019,49,40,2.095
0109,2019,50,41,2.147
0109,2019,51,38,1.99
0109,2019,52,34,1.781
0109,2019,53,12,0.629
0110,2016,1,14,0.238
0110,2016,2,108,1.833
0110,2016,3,98,1.663
0110,2016,4,101,1.714
0110,2016,5,94,1.595
0110,2016,6,141,2.393
0110,2016,7,49,0.832
0110,2016,8,128,2.172
0110,2016,9,105,1.782
0110,2016,10,117,1.985
0110,2016,11,111,1.884
0110,2016,12,119,2.019
0110,2016,13,98,1.663
0110,2016,14,114,1.935
0110,2016,15,77,1.307
0110,2016,16,100,1.697
0110,2016,17,107,1.816
0110,2016,18,78,1.324
0110,2016,19,84,1.425
0110,2016,20,108,1.833
0110,2016,21,91,1.544
0110,2016,22,86,1.459
0110,2016,23,78,1.324
0110,2016,24,71,1.205
0110,2016,25,83,1.408
0110,2016,26,80,1.358
0110,2016,27,67,1.137
0110,2016,28,70,1.188
0110,2016,29,71,1.205
0110,2016,30,81,1.375
0110,2016,31,77,1.307
0110,2016,32,68,1.154
0110,2016,33,68,1.154
0110,2016,34,78,1.324
0110,2016,35,62,1.052
0110,2016,36,55,0.933
0110,2016,37,86,1.459
0110,2016,38,59,1.001
0110,2016,39,88,1.493
0110,2016,40,64,1.086
0110,2016,41,87,1.476
0110,2016,42,68,1.154
0110,2016,43,84,1.425
0110,2016,44,81,1.375
0110,2016,45,88,1.493
0110,2016,46,95,1.612
0110,2016,47,92,1.561
0110,2016,48,106,1.799
0110,2016,49,94,1.595
0110,2016,50,97,1.646
0110,2016,51,100,1.697
0110,2016,52,116,1.969
0110,2016,53,113,1.918
0110,2018,1,86,1.36
0110,2018,2,120,1.898
0110,2018,3,102,1.614
0110,2018,4,104,1.645
0110,2018,5,99,1.566
0110,2018,6,135,2.136
0110,2018,7,91,1.44
0110,2018,8,97,1.534
0110,2018,9,109,1.724
0110,2018,10,115,1.819
0110,2018,11,121,1.914
0110,2018,12,124,1.962
0110,2018,13,111,1.756
0110,2018,14,67,1.06
0110,2018,15,93,1.471
0110,2018,16,89,1.408
0110,2018,17,109,1.724
0110,2018,18,102,1.614
0110,2018,19,116,1.835
0110,2018,20,104,1.645
0110,2018,21,97,1.534
0110,2018,22,82,1.297
0110,2018,23,93,1.471
0110,2018,24,75,1.186
0110,2018,25,77,1.218
0110,2018,26,82,1.297
0110,2018,27,78,1.234
0110,2018,28,70,1.107
0110,2018,29,71,1.123
0110,2018,30,66,1.044
0110,2018,31,83,1.313
0110,2018,32,74,1.171
0110,2018,33,83,1.313
0110,2018,34,73,1.155
0110,2018,35,82,1.297
0110,2018,36,98,1.55
0110,2018,37,80,1.266
0110,2018,38,84,1.329
0110,2018,39,71,1.123
0110,2018,40,87,1.376
0110,2018,41,64,1.012
0110,2018,42,84,1.329
0110,2018,43,88,1.392
0110,2018,44,102,1.614
0110,2018,45,98,1.55
0110,2018,46,88,1.392
0110,2018,47,101,1.598
0110,2018,48,88,1.392
0110,2018,49,105,1.661
0110,2018,50,101,1.598
0110,2018,51,104,1.645
0110,2018,52,118,1.867
0110,2018,53,11,0.174
0110,2019,1,77,1.201
0110,2019,2,110,1.715
0110,2019,3,103,1.606
0110,2019,4,135,2.105
0110,2019,5,122,1.902
0110,2019,6,39,0.608
0110,2019,7,122,1.902
0110,2019,8,125,1.949
0110,2019,9,89,1.388
0110,2019,10,107,1.668
0110,2019,11,113,1.762
0110,2019,12,102,1.59
0110,2019,13,118,1.84
0110,2019,14,94,1.466
0110,2019,15,120,1.871
0110,2019,16,116,1.809
0110,2019,17,121,1.887
0110,2019,18,104,1.622
0110,2019,19,111,1.731
0110,2019,20,106,1.653
0110,2019,21,119,1.855
0110,2019,22,99,1.544
0110,2019,23,106,1.653
0110,2019,24,127,1.98
0110,2019,25,103,1.606
0110,2019,26,101,1.575
0110,2019,27,105,1.637
0110,2019,28,78,1.216
0110,2019,29,115,1.793
0110,2019,30,87,1.357
0110,2019,31,91,1.419
0110,2019,32,109,1.7
0110,2019,33,93,1.45
0110,2019,34,89,1.388
0110,2019,35,86,1.341
0110,2019,36,94,1.466
0110,2019,37,82,1.279
0110,2019,38,105,1.637
0110,2019,39,112,1.746
0110,2019,40,86,1.341
0110,2019,41,90,1.403
0110,2019,42,112,1.746
0110,2019,43,105,1.637
0110,2019,44,94,1.466
0110,2019,45,117,1.824
0110,2019,46,88,1.372
0110,2019,47,115,1.793
0110,2019,48,103,1.606
0110,2019,49,119,1.855
0110,2019,50,143,2.23
0110,2019,51,125,1.949
0110,2019,52,125,1.949
0110,2019,53,49,0.764
0111,2016,1,4,0.102
0111,2016,2,65,1.65
0111,2016,3,66,1.675
0111,2016,4,64,1.624
0111,2016,5,71,1.802
0111,2016,6,92,2.335
0111,2016,7,28,0.711
0111,2016,8,87,2.208
0111,2016,9,93,2.36
0111,2016,10,79,2.005
0111,2016,11,71,1.802
0111,2016,12,85,2.157
0111,2016,13,66,1.675
0111,2016,14,62,1.574
0111,2016,15,64,1.624
0111,2016,16,62,1.574
0111,2016,17,67,1.701
0111,2016,18,56,1.421
0111,2016,19,57,1.447
0111,2016,20,62,1.574
0111,2016,21,59,1.497
0111,2016,22,71,1.802
0111,2016,23,39,0.99
0111,2016,24,35,0.888
0111,2016,25,58,1.472
0111,2016,26,53,1.345
0111,2016,27,50,1.269
0111,2016,28,55,1.396
0111,2016,29,58,1.472
0111,2016,30,46,1.168
0111,2016,31,43,1.091
0111,2016,32,50,1.269
0111,2016,33,63,1.599
0111,2016,34,64,1.624
0111,2016,35,53,1.345
0111,2016,36,45,1.142
0111,2016,37,60,1.523
0111,2016,38,43,1.091
0111,2016,39,56,1.421
0111,2016,40,48,1.218
0111,2016,41,49,1.244
0111,2016,42,43,1.091
0111,2016,43,55,1.396
0111,2016,44,57,1.447
0111,2016,45,60,1.523
0111,2016,46,64,1.624
0111,2016,47,58,1.472
0111,2016,48,56,1.421
