region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,35.138,697.63
中彰投,2016,2,48.786,853.74
中彰投,2016,3,45.9,976.35
中彰投,2016,4,35.477,959.01
中彰投,2016,5,29.47,620.66
中彰投,2016,6,22.377,348.59
中彰投,2016,7,20.445,444.52
中彰投,2016,8,23.225,603.23
中彰投,2016,9,23.568,486.02
中彰投,2016,10,25.826,848.17
中彰投,2016,11,28.926,799.58
中彰投,2016,12,32.348,859.4
中彰投,2017,1,32.006,849.25
中彰投,2017,2,31.903,882.57
中彰投,2017,3,33.486,996.47
中彰投,2017,4,30.596,821.77
中彰投,2017,5,28.464,641.86
中彰投,2017,6,26.149,333.59
中彰投,2017,7,26.521,429.25
中彰投,2017,8,21.828,488.89
中彰投,2017,9,21.551,695.03
中彰投,2017,10,24.765,668.35
中彰投,2017,11,27.455,659.1
中彰投,2017,12,33.214,803.17
中彰投,2018,1,36.222,678.86
中彰投,2018,2,34.648,830.3
中彰投,2018,3,35.909,896.59
中彰投,2018,4,29.46,862.46
中彰投,2018,5,23.082,562.28
中彰投,2018,6,18.864,447.66
中彰投,2018,7,20.408,477.04
中彰投,2018,8,21.317,376.53
中彰投,2018,9,22.291,558.32
中彰投,2018,10,24.529,638.71
中彰投,2018,11,24.906,723.68
中彰投,2018,12,30.294,583.29
中彰投,2019,1,34.112,703.2
中彰投,2019,2,31.111,742.46
中彰投,2019,3,30.991,782.07
中彰投,2019,4,28.73,672.84
中彰投,2019,5,27.196,534.7
中彰投,2019,6,23.01,274.22
中彰投,2019,7,21.296,330.63
中彰投,2019,8,21.478,418.92
中彰投,2019,9,23.379,533.8
中彰投,2019,10,26.111,738.77
中彰投,2019,11,27.76,610.51
中彰投,2019,12,31.433,517.9
北北基桃竹苗,2016,1,34.706,594.55
北北基桃竹苗,2016,2,45.676,615.9
北北基桃竹苗,2016,3,41.9,759.87
北北基桃竹苗,2016,4,32.275,883.01
北北基桃竹苗,2016,5,26.832,596.73
北北基桃竹苗,2016,6,21.043,359.42
北北基桃竹苗,2016,7,19.304,415.13
北北基桃竹苗,2016,8,21.412,433.33
北北基桃竹苗,2016,9,21.294,383.91
北北基桃竹苗,2016,10,22.858,450.71
北北基桃竹苗,2016,11,27.798,486.41
北北基桃竹苗,2016,12,30.343,546.86
北北基桃竹苗,2017,1,30.315,564.1
北北基桃竹苗,2017,2,30.352,626.35
北北基桃竹苗,2017,3,31.915,675.13
北北基桃竹苗,2017,4,29.424,698.27
北北基桃竹苗,2017,5,28.714,513.59
北北基桃竹苗,2017,6,25.539,370.13
北北基桃竹苗,2017,7,24.583,377.56
北北基桃竹苗,2017,8,19.245,439.94
北北基桃竹苗,2017,9,20.361,568.65
北北基桃竹苗,2017,10,23.364,473.27
北北基桃竹苗,2017,11,27.032,421.35
北北基桃竹苗,2017,12,33.95,544.1
北北基桃竹苗,2018,1,34.503,410.32
北北基桃竹苗,2018,2,32.542,677.44
北北基桃竹苗,2018,3,35.33,660.38
北北基桃竹苗,2018,4,29.05,743.08
北北基桃竹苗,2018,5,23.644,577.88
北北基桃竹苗,2018,6,19.963,394.68
北北基桃竹苗,2018,7,19.07,383.65
北北基桃竹苗,2018,8,20.234,394.29
北北基桃竹苗,2018,9,21.827,464.04
北北基桃竹苗,2018,10,25.033,445.26
北北基桃竹苗,2018,11,24.483,457.63
北北基桃竹苗,2018,12,29.642,420.32
北北基桃竹苗,2019,1,35.01,494.81
北北基桃竹苗,2019,2,31.361,505.45
北北基桃竹苗,2019,3,31.471,588.53
北北基桃竹苗,2019,4,28.878,566.41
北北基桃竹苗,2019,5,27.012,433.53
北北基桃竹苗,2019,6,22.816,316.47
北北基桃竹苗,2019,7,21.106,317.95
北北基桃竹苗,2019,8,19.776,334.62
北北基桃竹苗,2019,9,21.779,361.6
北北基桃竹苗,2019,10,25.312,513.53
北北基桃竹苗,2019,11,27.006,415.32
北北基桃竹苗,2019,12,31.593,384.42
宜花東,2016,1,34.797,408.25
宜花東,2016,2,45.561,513.03
宜花東,2016,3,41.923,528.68
宜花東,2016,4,30.929,559.18
宜花東,2016,5,26.39,358.85
宜花東,2016,6,23.446,252.4
宜花東,2016,7,19.745,288.17
宜花東,2016,8,21.728,332.45
宜花東,2016,9,21.771,307.36
宜花東,2016,10,22.386,281.47
宜花東,2016,11,29.288,373.2
宜花東,2016,12,30.578,455.62
宜花東,2017,1,30.06,444.74
宜花東,2017,2,31.726,510.58
宜花東,2017,3,33.511,528.53
宜花東,2017,4,29.044,496.66
宜花東,2017,5,28.814,343.85
宜花東,2017,6,27.616,277.28
宜花東,2017,7,25.384,243.53
宜花東,2017,8,19.297,355.6
宜花東,2017,9,20.009,370.53
宜花東,2017,10,22.933,394.69
宜花東,2017,11,26.226,355.1
宜花東,2017,12,34.299,474.01
宜花東,2018,1,32.78,399.59
宜花東,2018,2,29.619,434.71
宜花東,2018,3,31.236,451.01
宜花東,2018,4,26.135,447.26
宜花東,2018,5,23.094,356.75
宜花東,2018,6,18.554,282.4
宜花東,2018,7,19.131,265.24
宜花東,2018,8,18.47,259.33
宜花東,2018,9,19.439,270.94
宜花東,2018,10,23.792,381.92
宜花東,2018,11,22.351,314.64
宜花東,2018,12,26.706,310.31
宜花東,2019,1,30.119,374.64
宜花東,2019,2,27.9,348.61
宜花東,2019,3,27.826,438.68
宜花東,2019,4,26.283,390.07
宜花東,2019,5,23.807,329.86
宜花東,2019,6,21.93,263.65
宜花東,2019,7,20.068,254.5
宜花東,2019,8,20.233,248.58
宜花東,2019,9,20.986,270.94
宜花東,2019,10,22.927,433.92
宜花東,2019,11,22.778,366.35
宜花東,2019,12,28.931,299.93
雲嘉南,2016,1,32.992,931.97
雲嘉南,2016,2,45.876,1054.06
雲嘉南,2016,3,44.19,1177.21
雲嘉南,2016,4,32.866,958.1
雲嘉南,2016,5,25.862,617.95
雲嘉南,2016,6,20.592,318.41
雲嘉南,2016,7,20.936,389.67
雲嘉南,2016,8,22.503,572.55
雲嘉南,2016,9,21.83,510.85
