region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,158.813,697.63
中彰投,2016,2,197.555,853.74
中彰投,2016,3,192.251,976.35
中彰投,2016,4,147.202,959.01
中彰投,2016,5,127.522,620.66
中彰投,2016,6,104.208,348.59
中彰投,2016,7,99.889,444.52
中彰投,2016,8,113.074,603.23
中彰投,2016,9,114.068,486.02
中彰投,2016,10,125.344,848.17
中彰投,2016,11,138.564,799.58
中彰投,2016,12,146.828,859.4
中彰投,2017,1,144.701,849.25
中彰投,2017,2,143.806,882.57
中彰投,2017,3,150.918,996.47
中彰投,2017,4,133.044,821.77
中彰投,2017,5,125.008,641.86
中彰投,2017,6,116.541,333.59
中彰投,2017,7,115.33,429.25
中彰投,2017,8,100.316,488.89
中彰投,2017,9,101.345,695.03
中彰投,2017,10,119.616,668.35
中彰投,2017,11,127.259,659.1
中彰投,2017,12,150.644,803.17
中彰投,2018,1,147.822,678.86
中彰投,2018,2,136.646,830.3
中彰投,2018,3,143.689,896.59
中彰投,2018,4,119.4,862.46
中彰投,2018,5,99.131,562.28
中彰投,2018,6,84.497,447.66
中彰投,2018,7,90.748,477.04
中彰投,2018,8,96.716,376.53
中彰投,2018,9,99.263,558.32
中彰投,2018,10,112.13,638.71
中彰投,2018,11,111.473,723.68
中彰投,2018,12,130.782,583.29
中彰投,2019,1,143.707,703.2
中彰投,2019,2,123.422,742.46
中彰投,2019,3,128.178,782.07
中彰投,2019,4,116.672,672.84
中彰投,2019,5,109.959,534.7
中彰投,2019,6,94.973,274.22
中彰投,2019,7,92.213,330.63
中彰投,2019,8,92.322,418.92
中彰投,2019,9,100.07,533.8
中彰投,2019,10,111.083,738.77
中彰投,2019,11,117.323,610.51
中彰投,2019,12,131.073,517.9
北北基桃竹苗,2016,1,149.081,594.55
北北基桃竹苗,2016,2,178.237,615.9
北北基桃竹苗,2016,3,172.065,759.87
北北基桃竹苗,2016,4,130.985,883.01
北北基桃竹苗,2016,5,115.031,596.73
北北基桃竹苗,2016,6,94.587,359.42
北北基桃竹苗,2016,7,89.021,415.13
北北基桃竹苗,2016,8,100.248,433.33
北北基桃竹苗,2016,9,99.333,383.91
北北基桃竹苗,2016,10,106.319,450.71
北北基桃竹苗,2016,11,127.542,486.41
北北基桃竹苗,2016,12,133.45,546.86
北北基桃竹苗,2017,1,129.204,564.1
北北基桃竹苗,2017,2,127.523,626.35
北北基桃竹苗,2017,3,135.53,675.13
北北基桃竹苗,2017,4,121.008,698.27
北北基桃竹苗,2017,5,118.354,513.59
北北基桃竹苗,2017,6,107.637,370.13
北北基桃竹苗,2017,7,103.707,377.56
北北基桃竹苗,2017,8,86.128,439.94
北北基桃竹苗,2017,9,91.838,568.65
北北基桃竹苗,2017,10,106.74,473.27
北北基桃竹苗,2017,11,119.254,421.35
北北基桃竹苗,2017,12,142.472,544.1
北北基桃竹苗,2018,1,136.739,410.32
北北基桃竹苗,2018,2,123.448,677.44
北北基桃竹苗,2018,3,134.477,660.38
北北基桃竹苗,2018,4,110.615,743.08
北北基桃竹苗,2018,5,93.992,577.88
北北基桃竹苗,2018,6,81.42,394.68
北北基桃竹苗,2018,7,80.03,383.65
北北基桃竹苗,2018,8,87.008,394.29
北北基桃竹苗,2018,9,91.992,464.04
北北基桃竹苗,2018,10,107.521,445.26
北北基桃竹苗,2018,11,101.694,457.63
北北基桃竹苗,2018,12,119.83,420.32
北北基桃竹苗,2019,1,137.037,494.81
北北基桃竹苗,2019,2,115.471,505.45
北北基桃竹苗,2019,3,119.381,588.53
北北基桃竹苗,2019,4,108.141,566.41
北北基桃竹苗,2019,5,103.388,433.53
北北基桃竹苗,2019,6,88.631,316.47
北北基桃竹苗,2019,7,85.477,317.95
北北基桃竹苗,2019,8,81.795,334.62
北北基桃竹苗,2019,9,89.554,361.6
北北基桃竹苗,2019,10,103.992,513.53
北北基桃竹苗,2019,11,109.463,415.32
北北基桃竹苗,2019,12,123.822,384.42
宜花東,2016,1,134.31,408.25
宜花東,2016,2,165.679,513.03
宜花東,2016,3,162.891,528.68
宜花東,2016,4,115.412,559.18
