region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,5.497,697.63
中彰投,2016,2,7.698,853.74
中彰投,2016,3,7.274,976.35
中彰投,2016,4,5.978,959.01
中彰投,2016,5,5.166,620.66
中彰投,2016,6,4.046,348.59
中彰投,2016,7,3.899,444.52
中彰投,2016,8,4.153,603.23
中彰投,2016,9,3.966,486.02
中彰投,2016,10,4.453,848.17
中彰投,2016,11,4.389,799.58
中彰投,2016,12,4.744,859.4
中彰投,2017,1,5.165,849.25
中彰投,2017,2,5.041,882.57
中彰投,2017,3,5.539,996.47
中彰投,2017,4,5.026,821.77
中彰投,2017,5,5.176,641.86
中彰投,2017,6,4.956,333.59
中彰投,2017,7,5.028,429.25
中彰投,2017,8,4.31,488.89
中彰投,2017,9,3.97,695.03
中彰投,2017,10,4.28,668.35
中彰投,2017,11,4.185,659.1
中彰投,2017,12,4.865,803.17
中彰投,2018,1,5.232,678.86
中彰投,2018,2,5.523,830.3
中彰投,2018,3,5.808,896.59
中彰投,2018,4,4.995,862.46
中彰投,2018,5,4.521,562.28
中彰投,2018,6,3.914,447.66
中彰投,2018,7,4.329,477.04
中彰投,2018,8,4.295,376.53
中彰投,2018,9,4.021,558.32
中彰投,2018,10,4.249,638.71
中彰投,2018,11,4.131,723.68
中彰投,2018,12,4.648,583.29
中彰投,2019,1,5.165,703.2
中彰投,2019,2,5.053,742.46
中彰投,2019,3,5.053,782.07
中彰投,2019,4,5.08,672.84
中彰投,2019,5,4.973,534.7
中彰投,2019,6,4.403,274.22
中彰投,2019,7,4.234,330.63
中彰投,2019,8,4.134,418.92
中彰投,2019,9,4.419,533.8
中彰投,2019,10,4.652,738.77
中彰投,2019,11,4.495,610.51
中彰投,2019,12,4.877,517.9
北北基桃竹苗,2016,1,3.783,594.55
北北基桃竹苗,2016,2,5.135,615.9
北北基桃竹苗,2016,3,5.132,759.87
北北基桃竹苗,2016,4,4.262,883.01
北北基桃竹苗,2016,5,3.8,596.73
北北基桃竹苗,2016,6,3.26,359.42
北北基桃竹苗,2016,7,2.942,415.13
北北基桃竹苗,2016,8,3.03,433.33
北北基桃竹苗,2016,9,2.895,383.91
北北基桃竹苗,2016,10,3.023,450.71
北北基桃竹苗,2016,11,3.449,486.41
北北基桃竹苗,2016,12,3.576,546.86
北北基桃竹苗,2017,1,3.553,564.1
北北基桃竹苗,2017,2,3.562,626.35
北北基桃竹苗,2017,3,3.982,675.13
北北基桃竹苗,2017,4,3.64,698.27
北北基桃竹苗,2017,5,3.825,513.59
北北基桃竹苗,2017,6,3.932,370.13
北北基桃竹苗,2017,7,3.875,377.56
北北基桃竹苗,2017,8,3.18,439.94
北北基桃竹苗,2017,9,3.053,568.65
北北基桃竹苗,2017,10,3.1,473.27
北北基桃竹苗,2017,11,3.445,421.35
北北基桃竹苗,2017,12,3.804,544.1
北北基桃竹苗,2018,1,4.074,410.32
北北基桃竹苗,2018,2,3.923,677.44
北北基桃竹苗,2018,3,4.5,660.38
北北基桃竹苗,2018,4,3.82,743.08
北北基桃竹苗,2018,5,3.654,577.88
北北基桃竹苗,2018,6,3.118,394.68
北北基桃竹苗,2018,7,3.041,383.65
北北基桃竹苗,2018,8,3.091,394.29
北北基桃竹苗,2018,9,2.968,464.04
北北基桃竹苗,2018,10,3.216,445.26
北北基桃竹苗,2018,11,3.154,457.63
北北基桃竹苗,2018,12,3.51,420.32
北北基桃竹苗,2019,1,4.255,494.81
北北基桃竹苗,2019,2,3.852,505.45
北北基桃竹苗,2019,3,4.09,588.53
北北基桃竹苗,2019,4,4.158,566.41
北北基桃竹苗,2019,5,4.053,433.53
北北基桃竹苗,2019,6,3.684,316.47
北北基桃竹苗,2019,7,3.663,317.95
北北基桃竹苗,2019,8,3.384,334.62
北北基桃竹苗,2019,9,3.41,361.6
北北基桃竹苗,2019,10,3.774,513.53
北北基桃竹苗,2019,11,3.551,415.32
北北基桃竹苗,2019,12,3.815,384.42
宜花東,2016,1,5.746,408.25
宜花東,2016,2,7.461,513.03
宜花東,2016,3,7.314,528.68
宜花東,2016,4,6.227,559.18
宜花東,2016,5,6.14,358.85
宜花東,2016,6,5.086,252.4
宜花東,2016,7,4.619,288.17
宜花東,2016,8,4.957,332.45
宜花東,2016,9,4.486,307.36
宜花東,2016,10,4.773,281.47
宜花東,2016,11,5.883,373.2
宜花東,2016,12,6.498,455.62
宜花東,2017,1,5.675,444.74
宜花東,2017,2,6.619,510.58
宜花東,2017,3,6.654,528.53
宜花東,2017,4,6.039,496.66
宜花東,2017,5,6.402,343.85
宜花東,2017,6,6.73,277.28
宜花東,2017,7,6.54,243.53
宜花東,2017,8,5.151,355.6
宜花東,2017,9,4.92,370.53
宜花東,2017,10,5.645,394.69
宜花東,2017,11,6.072,355.1
宜花東,2017,12,6.671,474.01
宜花東,2018,1,6.545,399.59
宜花東,2018,2,6.197,434.71
宜花東,2018,3,6.976,451.01
宜花東,2018,4,6.481,447.26
宜花東,2018,5,6.046,356.75
宜花東,2018,6,5.556,282.4
宜花東,2018,7,5.168,265.24
宜花東,2018,8,4.665,259.33
宜花東,2018,9,4.627,270.94
宜花東,2018,10,5.49,381.92
宜花東,2018,11,5.359,314.64
宜花東,2018,12,5.468,310.31
宜花東,2019,1,6.388,374.64
宜花東,2019,2,6.488,348.61
宜花東,2019,3,6.839,438.68
宜花東,2019,4,7.017,390.07
宜花東,2019,5,6.329,329.86
宜花東,2019,6,5.859,263.65
宜花東,2019,7,6.286,254.5
宜花東,2019,8,6.464,248.58
宜花東,2019,9,5.768,270.94
宜花東,2019,10,6.768,433.92
宜花東,2019,11,5.508,366.35
宜花東,2019,12,6.243,299.93
雲嘉南,2016,1,5.607,931.97
雲嘉南,2016,2,8.318,1054.06
雲嘉南,2016,3,7.848,1177.21
雲嘉南,2016,4,6.119,958.1
雲嘉南,2016,5,5.787,617.95
雲嘉南,2016,6,4.568,318.41
雲嘉南,2016,7,4.698,389.67
雲嘉南,2016,8,4.565,572.55
雲嘉南,2016,9,4.095,510.85
雲嘉南,2016,10,4.858,835.55
雲嘉南,2016,11,5.179,987.9
雲嘉南,2016,12,5.085,1070.63
雲嘉南,2017,1,5.508,1046.99
雲嘉南,2017,2,5.699,1090.35
雲嘉南,2017,3,5.837,1137.05
雲嘉南,2017,4,5.594,865.55
雲嘉南,2017,5,5.71,703.76
雲嘉南,2017,6,5.286,313.23
雲嘉南,2017,7,5.74,433.03
雲嘉南,2017,8,5.281,427.4
雲嘉南,2017,9,4.801,679.85
雲嘉南,2017,10,4.838,730.09
雲嘉南,2017,11,5.098,835.94
雲嘉南,2017,12,5.548,950.83
雲嘉南,2018,1,6.03,844.26
雲嘉南,2018,2,6.048,1050.85
雲嘉南,2018,3,6.017,1002.64
雲嘉南,2018,4,5.037,859.13
雲嘉南,2018,5,4.982,521.72
雲嘉南,2018,6,3.864,444.1
雲嘉南,2018,7,4.699,411.42
雲嘉南,2018,8,4.713,327.64
雲嘉南,2018,9,4.39,566.4
雲嘉南,2018,10,4.487,862.01
雲嘉南,2018,11,4.41,930.59
雲嘉南,2018,12,4.911,773.52
雲嘉南,2019,1,5.76,1018.89
雲嘉南,2019,2,5.529,887.62
雲嘉南,2019,3,5.622,851.59
雲嘉南,2019,4,5.618,698.91
雲嘉南,2019,5,5.547,596.07
雲嘉南,2019,6,5.404,275.63
雲嘉南,2019,7,5.291,306.55
雲嘉南,2019,8,5.329,372.31
雲嘉南,2019,9,5.217,573.14
雲嘉南,2019,10,5.306,793.03
雲嘉南,2019,11,5.088,735.0
雲嘉南,2019,12,5.439,649.52
高屏,2016,1,3.567,920.09
高屏,2016,2,4.617,1052.14
高屏,2016,3,4.77,996.92
高屏,2016,4,3.636,679.06
高屏,2016,5,3.056,471.88
高屏,2016,6,3.066,241.11
高屏,2016,7,2.876,321.54
高屏,2016,8,3.045,404.44
高屏,2016,9,2.861,445.64
高屏,2016,10,2.869,672.74
高屏,2016,11,3.355,969.74
高屏,2016,12,3.384,1102.31
高屏,2017,1,3.425,1104.87
高屏,2017,2,3.433,1066.41
高屏,2017,3,3.349,1021.03
高屏,2017,4,3.254,676.15
高屏,2017,5,3.467,578.21
高屏,2017,6,3.812,285.73
高屏,2017,7,3.588,388.21
高屏,2017,8,3.188,419.06
高屏,2017,9,3.169,590.94
高屏,2017,10,2.991,732.48
高屏,2017,11,3.277,989.4
高屏,2017,12,3.621,1024.1
高屏,2018,1,3.447,973.08
高屏,2018,2,3.593,965.38
高屏,2018,3,3.72,819.83
高屏,2018,4,3.38,659.74
高屏,2018,5,3.12,403.42
高屏,2018,6,2.83,330.51
高屏,2018,7,2.998,315.56
高屏,2018,8,3.039,264.36
高屏,2018,9,3.168,471.11
高屏,2018,10,3.06,818.55
高屏,2018,11,2.854,877.95
高屏,2018,12,3.428,861.45
高屏,2019,1,3.749,1012.14
高屏,2019,2,3.464,735.9
高屏,2019,3,3.431,733.68
高屏,2019,4,3.493,630.85
高屏,2019,5,3.447,486.24
高屏,2019,6,3.237,253.59
高屏,2019,7,3.524,284.1
高屏,2019,8,3.725,322.56
高屏,2019,9,3.472,546.32
高屏,2019,10,3.364,746.58
高屏,2019,11,3.291,773.16
高屏,2019,12,3.274,676.84
