region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,6.254,697.63
中彰投,2016,2,7.122,853.74
中彰投,2016,3,7.962,976.35
中彰投,2016,4,6.869,959.01
中彰投,2016,5,6.393,620.66
中彰投,2016,6,5.655,348.59
中彰投,2016,7,5.055,444.52
中彰投,2016,8,5.76,603.23
中彰投,2016,9,5.313,486.02
中彰投,2016,10,5.676,848.17
中彰投,2016,11,5.821,799.58
中彰投,2016,12,6.275,859.4
中彰投,2017,1,6.065,849.25
中彰投,2017,2,6.159,882.57
中彰投,2017,3,6.591,996.47
中彰投,2017,4,5.838,821.77
中彰投,2017,5,6.087,641.86
中彰投,2017,6,5.722,333.59
中彰投,2017,7,5.738,429.25
中彰投,2017,8,5.375,488.89
中彰投,2017,9,5.3,695.03
中彰投,2017,10,5.35,668.35
中彰投,2017,11,5.753,659.1
中彰投,2017,12,6.204,803.17
中彰投,2018,1,6.226,678.86
中彰投,2018,2,5.777,830.3
中彰投,2018,3,6.395,896.59
中彰投,2018,4,5.676,862.46
中彰投,2018,5,5.345,562.28
中彰投,2018,6,4.524,447.66
中彰投,2018,7,4.662,477.04
中彰投,2018,8,4.674,376.53
中彰投,2018,9,4.801,558.32
中彰投,2018,10,4.971,638.71
中彰投,2018,11,5.176,723.68
中彰投,2018,12,5.231,583.29
中彰投,2019,1,6.002,703.2
中彰投,2019,2,4.926,742.46
中彰投,2019,3,5.652,782.07
中彰投,2019,4,5.674,672.84
中彰投,2019,5,5.573,534.7
中彰投,2019,6,5.282,274.22
中彰投,2019,7,5.149,330.63
中彰投,2019,8,5.023,418.92
中彰投,2019,9,4.835,533.8
中彰投,2019,10,5.35,738.77
中彰投,2019,11,5.3,610.51
中彰投,2019,12,5.597,517.9
北北基桃竹苗,2016,1,4.595,594.55
北北基桃竹苗,2016,2,5.292,615.9
北北基桃竹苗,2016,3,5.704,759.87
北北基桃竹苗,2016,4,4.925,883.01
北北基桃竹苗,2016,5,4.709,596.73
北北基桃竹苗,2016,6,4.022,359.42
北北基桃竹苗,2016,7,3.72,415.13
北北基桃竹苗,2016,8,3.925,433.33
北北基桃竹苗,2016,9,3.674,383.91
北北基桃竹苗,2016,10,3.93,450.71
北北基桃竹苗,2016,11,4.438,486.41
北北基桃竹苗,2016,12,4.584,546.86
北北基桃竹苗,2017,1,4.402,564.1
北北基桃竹苗,2017,2,4.337,626.35
北北基桃竹苗,2017,3,4.821,675.13
北北基桃竹苗,2017,4,4.409,698.27
北北基桃竹苗,2017,5,4.631,513.59
北北基桃竹苗,2017,6,4.598,370.13
北北基桃竹苗,2017,7,4.383,377.56
北北基桃竹苗,2017,8,4.175,439.94
北北基桃竹苗,2017,9,4.057,568.65
北北基桃竹苗,2017,10,4.156,473.27
北北基桃竹苗,2017,11,4.536,421.35
北北基桃竹苗,2017,12,4.717,544.1
北北基桃竹苗,2018,1,4.699,410.32
北北基桃竹苗,2018,2,4.171,677.44
北北基桃竹苗,2018,3,5.19,660.38
北北基桃竹苗,2018,4,4.648,743.08
北北基桃竹苗,2018,5,4.416,577.88
北北基桃竹苗,2018,6,3.924,394.68
北北基桃竹苗,2018,7,3.808,383.65
北北基桃竹苗,2018,8,3.824,394.29
北北基桃竹苗,2018,9,3.64,464.04
北北基桃竹苗,2018,10,4.112,445.26
北北基桃竹苗,2018,11,4.006,457.63
北北基桃竹苗,2018,12,4.216,420.32
北北基桃竹苗,2019,1,4.904,494.81
北北基桃竹苗,2019,2,3.988,505.45
北北基桃竹苗,2019,3,4.833,588.53
北北基桃竹苗,2019,4,4.645,566.41
北北基桃竹苗,2019,5,4.56,433.53
北北基桃竹苗,2019,6,4.105,316.47
北北基桃竹苗,2019,7,4.157,317.95
北北基桃竹苗,2019,8,3.745,334.62
北北基桃竹苗,2019,9,3.778,361.6
北北基桃竹苗,2019,10,4.314,513.53
北北基桃竹苗,2019,11,4.154,415.32
北北基桃竹苗,2019,12,4.474,384.42
宜花東,2016,1,7.276,408.25
宜花東,2016,2,6.883,513.03
宜花東,2016,3,8.543,528.68
宜花東,2016,4,7.093,559.18
宜花東,2016,5,6.873,358.85
宜花東,2016,6,6.193,252.4
宜花東,2016,7,6.094,288.17
宜花東,2016,8,6.309,332.45
宜花東,2016,9,5.625,307.36
宜花東,2016,10,6.391,281.47
宜花東,2016,11,6.759,373.2
宜花東,2016,12,6.627,455.62
宜花東,2017,1,6.651,444.74
宜花東,2017,2,7.056,510.58
宜花東,2017,3,8.083,528.53
宜花東,2017,4,7.506,496.66
宜花東,2017,5,7.174,343.85
宜花東,2017,6,7.646,277.28
宜花東,2017,7,7.376,243.53
宜花東,2017,8,6.518,355.6
宜花東,2017,9,6.51,370.53
宜花東,2017,10,6.392,394.69
