region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,6.984,697.63
中彰投,2016,2,16.823,853.74
中彰投,2016,3,16.319,976.35
中彰投,2016,4,8.167,959.01
中彰投,2016,5,3.87,620.66
中彰投,2016,6,2.544,348.59
中彰投,2016,7,2.307,444.52
中彰投,2016,8,2.859,603.23
中彰投,2016,9,2.96,486.02
中彰投,2016,10,3.887,848.17
中彰投,2016,11,4.716,799.58
中彰投,2016,12,4.969,859.4
中彰投,2017,1,5.151,849.25
中彰投,2017,2,4.576,882.57
中彰投,2017,3,4.818,996.47
中彰投,2017,4,4.121,821.77
中彰投,2017,5,5.296,641.86
中彰投,2017,6,10.738,333.59
中彰投,2017,7,11.928,429.25
中彰投,2017,8,5.839,488.89
中彰投,2017,9,3.493,695.03
中彰投,2017,10,3.467,668.35
中彰投,2017,11,3.431,659.1
中彰投,2017,12,4.667,803.17
中彰投,2018,1,8.56,678.86
中彰投,2018,2,9.517,830.3
中彰投,2018,3,7.596,896.59
中彰投,2018,4,3.729,862.46
中彰投,2018,5,2.555,562.28
中彰投,2018,6,2.501,447.66
中彰投,2018,7,3.294,477.04
中彰投,2018,8,3.377,376.53
中彰投,2018,9,3.08,558.32
中彰投,2018,10,2.923,638.71
中彰投,2018,11,3.268,723.68
中彰投,2018,12,4.42,583.29
中彰投,2019,1,7.075,703.2
中彰投,2019,2,6.49,742.46
中彰投,2019,3,5.407,782.07
中彰投,2019,4,3.911,672.84
中彰投,2019,5,4.545,534.7
中彰投,2019,6,4.767,274.22
中彰投,2019,7,4.662,330.63
中彰投,2019,8,4.415,418.92
中彰投,2019,9,4.625,533.8
中彰投,2019,10,4.284,738.77
中彰投,2019,11,4.1,610.51
中彰投,2019,12,6.366,517.9
北北基桃竹苗,2016,1,5.395,594.55
北北基桃竹苗,2016,2,11.453,615.9
北北基桃竹苗,2016,3,10.643,759.87
北北基桃竹苗,2016,4,5.352,883.01
北北基桃竹苗,2016,5,2.546,596.73
北北基桃竹苗,2016,6,1.632,359.42
北北基桃竹苗,2016,7,1.464,415.13
北北基桃竹苗,2016,8,1.68,433.33
北北基桃竹苗,2016,9,1.717,383.91
北北基桃竹苗,2016,10,2.506,450.71
北北基桃竹苗,2016,11,3.715,486.41
北北基桃竹苗,2016,12,3.811,546.86
北北基桃竹苗,2017,1,3.185,564.1
北北基桃竹苗,2017,2,2.872,626.35
北北基桃竹苗,2017,3,3.043,675.13
北北基桃竹苗,2017,4,2.559,698.27
北北基桃竹苗,2017,5,3.757,513.59
北北基桃竹苗,2017,6,8.29,370.13
北北基桃竹苗,2017,7,9.241,377.56
北北基桃竹苗,2017,8,3.528,439.94
北北基桃竹苗,2017,9,2.101,568.65
北北基桃竹苗,2017,10,2.14,473.27
北北基桃竹苗,2017,11,2.561,421.35
北北基桃竹苗,2017,12,4.662,544.1
北北基桃竹苗,2018,1,8.194,410.32
北北基桃竹苗,2018,2,7.55,677.44
北北基桃竹苗,2018,3,6.026,660.38
北北基桃竹苗,2018,4,2.411,743.08
北北基桃竹苗,2018,5,1.822,577.88
