region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,34.058,697.63
中彰投,2016,2,42.323,853.74
中彰投,2016,3,39.239,976.35
中彰投,2016,4,30.509,959.01
中彰投,2016,5,25.783,620.66
中彰投,2016,6,20.44,348.59
中彰投,2016,7,19.385,444.52
中彰投,2016,8,22.373,603.23
中彰投,2016,9,22.196,486.02
中彰投,2016,10,24.093,848.17
中彰投,2016,11,27.476,799.58
中彰投,2016,12,31.066,859.4
中彰投,2017,1,31.21,849.25
中彰投,2017,2,31.443,882.57
中彰投,2017,3,32.408,996.47
中彰投,2017,4,28.805,821.77
中彰投,2017,5,26.157,641.86
中彰投,2017,6,22.886,333.59
中彰投,2017,7,23.922,429.25
中彰投,2017,8,20.304,488.89
中彰投,2017,9,21.223,695.03
中彰投,2017,10,24.804,668.35
中彰投,2017,11,27.192,659.1
中彰投,2017,12,34.323,803.17
中彰投,2018,1,33.32,678.86
中彰投,2018,2,31.146,830.3
中彰投,2018,3,33.47,896.59
中彰投,2018,4,27.053,862.46
中彰投,2018,5,22.267,562.28
中彰投,2018,6,18.029,447.66
中彰投,2018,7,19.618,477.04
中彰投,2018,8,20.817,376.53
中彰投,2018,9,21.452,558.32
中彰投,2018,10,24.161,638.71
中彰投,2018,11,23.866,723.68
中彰投,2018,12,30.361,583.29
中彰投,2019,1,33.518,703.2
中彰投,2019,2,29.467,742.46
中彰投,2019,3,30.02,782.07
中彰投,2019,4,26.882,672.84
中彰投,2019,5,24.191,534.7
中彰投,2019,6,21.029,274.22
中彰投,2019,7,19.979,330.63
中彰投,2019,8,19.979,418.92
中彰投,2019,9,22.113,533.8
中彰投,2019,10,24.827,738.77
中彰投,2019,11,27.216,610.51
中彰投,2019,12,31.946,517.9
北北基桃竹苗,2016,1,34.276,594.55
北北基桃竹苗,2016,2,41.215,615.9
北北基桃竹苗,2016,3,38.387,759.87
北北基桃竹苗,2016,4,29.928,883.01
北北基桃竹苗,2016,5,25.797,596.73
北北基桃竹苗,2016,6,20.933,359.42
北北基桃竹苗,2016,7,19.727,415.13
北北基桃竹苗,2016,8,22.156,433.33
北北基桃竹苗,2016,9,21.228,383.91
北北基桃竹苗,2016,10,23.096,450.71
北北基桃竹苗,2016,11,28.806,486.41
北北基桃竹苗,2016,12,31.891,546.86
北北基桃竹苗,2017,1,31.367,564.1
北北基桃竹苗,2017,2,31.844,626.35
北北基桃竹苗,2017,3,32.861,675.13
北北基桃竹苗,2017,4,29.573,698.27
北北基桃竹苗,2017,5,27.982,513.59
北北基桃竹苗,2017,6,24.073,370.13
北北基桃竹苗,2017,7,23.736,377.56
北北基桃竹苗,2017,8,19.683,439.94
北北基桃竹苗,2017,9,21.339,568.65
北北基桃竹苗,2017,10,24.837,473.27
北北基桃竹苗,2017,11,28.815,421.35
北北基桃竹苗,2017,12,36.587,544.1
北北基桃竹苗,2018,1,34.825,410.32
北北基桃竹苗,2018,2,31.446,677.44
北北基桃竹苗,2018,3,34.576,660.38
北北基桃竹苗,2018,4,28.779,743.08
北北基桃竹苗,2018,5,23.555,577.88
北北基桃竹苗,2018,6,20.123,394.68
北北基桃竹苗,2018,7,19.648,383.65
北北基桃竹苗,2018,8,21.33,394.29
北北基桃竹苗,2018,9,22.828,464.04
北北基桃竹苗,2018,10,26.702,445.26
北北基桃竹苗,2018,11,25.743,457.63
北北基桃竹苗,2018,12,31.316,420.32
北北基桃竹苗,2019,1,35.638,494.81
北北基桃竹苗,2019,2,30.717,505.45
北北基桃竹苗,2019,3,31.853,588.53
北北基桃竹苗,2019,4,28.738,566.41
北北基桃竹苗,2019,5,26.939,433.53
北北基桃竹苗,2019,6,23.113,316.47
北北基桃竹苗,2019,7,21.707,317.95
北北基桃竹苗,2019,8,20.881,334.62
北北基桃竹苗,2019,9,22.79,361.6
北北基桃竹苗,2019,10,27.193,513.53
北北基桃竹苗,2019,11,28.737,415.32
北北基桃竹苗,2019,12,33.533,384.42
宜花東,2016,1,25.292,408.25
宜花東,2016,2,30.986,513.03
宜花東,2016,3,30.189,528.68
宜花東,2016,4,21.881,559.18
宜花東,2016,5,19.454,358.85
宜花東,2016,6,17.889,252.4
宜花東,2016,7,15.275,288.17
宜花東,2016,8,16.808,332.45
宜花東,2016,9,17.566,307.36
宜花東,2016,10,17.13,281.47
宜花東,2016,11,21.19,373.2
宜花東,2016,12,22.875,455.62
宜花東,2017,1,23.077,444.74
宜花東,2017,2,24.163,510.58
宜花東,2017,3,24.248,528.53
宜花東,2017,4,21.904,496.66
宜花東,2017,5,20.862,343.85
宜花東,2017,6,20.205,277.28
宜花東,2017,7,18.124,243.53
宜花東,2017,8,15.498,355.6
