region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,2.284,697.63
中彰投,2016,2,2.471,853.74
中彰投,2016,3,2.395,976.35
中彰投,2016,4,2.132,959.01
中彰投,2016,5,2.351,620.66
中彰投,2016,6,1.999,348.59
中彰投,2016,7,1.728,444.52
中彰投,2016,8,2.112,603.23
中彰投,2016,9,2.076,486.02
中彰投,2016,10,2.092,848.17
中彰投,2016,11,2.093,799.58
中彰投,2016,12,2.306,859.4
中彰投,2017,1,2.354,849.25
中彰投,2017,2,2.441,882.57
中彰投,2017,3,2.451,996.47
中彰投,2017,4,2.138,821.77
中彰投,2017,5,2.2,641.86
中彰投,2017,6,2.159,333.59
中彰投,2017,7,2.238,429.25
中彰投,2017,8,2.126,488.89
中彰投,2017,9,2.083,695.03
中彰投,2017,10,2.212,668.35
中彰投,2017,11,2.185,659.1
中彰投,2017,12,2.439,803.17
中彰投,2018,1,2.302,678.86
中彰投,2018,2,2.271,830.3
中彰投,2018,3,2.44,896.59
中彰投,2018,4,2.364,862.46
中彰投,2018,5,2.179,562.28
中彰投,2018,6,1.939,447.66
中彰投,2018,7,1.963,477.04
中彰投,2018,8,1.871,376.53
中彰投,2018,9,1.786,558.32
中彰投,2018,10,2.14,638.71
中彰投,2018,11,2.189,723.68
中彰投,2018,12,2.428,583.29
中彰投,2019,1,2.489,703.2
中彰投,2019,2,2.072,742.46
中彰投,2019,3,2.28,782.07
中彰投,2019,4,2.21,672.84
中彰投,2019,5,2.308,534.7
中彰投,2019,6,2.156,274.22
中彰投,2019,7,2.253,330.63
中彰投,2019,8,2.167,418.92
中彰投,2019,9,2.194,533.8
中彰投,2019,10,2.346,738.77
中彰投,2019,11,2.393,610.51
中彰投,2019,12,2.47,517.9
北北基桃竹苗,2016,1,1.373,594.55
北北基桃竹苗,2016,2,1.47,615.9
北北基桃竹苗,2016,3,1.561,759.87
北北基桃竹苗,2016,4,1.418,883.01
北北基桃竹苗,2016,5,1.473,596.73
北北基桃竹苗,2016,6,1.257,359.42
北北基桃竹苗,2016,7,1.284,415.13
北北基桃竹苗,2016,8,1.348,433.33
北北基桃竹苗,2016,9,1.254,383.91
北北基桃竹苗,2016,10,1.356,450.71
北北基桃竹苗,2016,11,1.426,486.41
北北基桃竹苗,2016,12,1.508,546.86
北北基桃竹苗,2017,1,1.359,564.1
北北基桃竹苗,2017,2,1.445,626.35
北北基桃竹苗,2017,3,1.573,675.13
北北基桃竹苗,2017,4,1.437,698.27
