region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,5.088,697.63
中彰投,2016,2,5.683,853.74
中彰投,2016,3,5.884,976.35
中彰投,2016,4,5.435,959.01
中彰投,2016,5,5.039,620.66
中彰投,2016,6,4.487,348.59
中彰投,2016,7,3.985,444.52
中彰投,2016,8,4.31,603.23
中彰投,2016,9,4.22,486.02
中彰投,2016,10,4.862,848.17
中彰投,2016,11,4.909,799.58
中彰投,2016,12,5.565,859.4
中彰投,2017,1,5.54,849.25
中彰投,2017,2,5.292,882.57
中彰投,2017,3,5.658,996.47
中彰投,2017,4,5.481,821.77
中彰投,2017,5,5.369,641.86
中彰投,2017,6,5.107,333.59
中彰投,2017,7,5.04,429.25
中彰投,2017,8,4.575,488.89
中彰投,2017,9,4.605,695.03
中彰投,2017,10,5.043,668.35
中彰投,2017,11,5.369,659.1
中彰投,2017,12,5.757,803.17
中彰投,2018,1,5.617,678.86
中彰投,2018,2,5.045,830.3
中彰投,2018,3,6.156,896.59
中彰投,2018,4,5.372,862.46
中彰投,2018,5,4.723,562.28
中彰投,2018,6,4.355,447.66
中彰投,2018,7,4.277,477.04
中彰投,2018,8,4.543,376.53
中彰投,2018,9,4.221,558.32
中彰投,2018,10,4.984,638.71
中彰投,2018,11,5.077,723.68
中彰投,2018,12,5.36,583.29
中彰投,2019,1,5.96,703.2
中彰投,2019,2,5.092,742.46
中彰投,2019,3,5.83,782.07
中彰投,2019,4,5.378,672.84
中彰投,2019,5,5.378,534.7
中彰投,2019,6,4.74,274.22
中彰投,2019,7,4.671,330.63
中彰投,2019,8,4.521,418.92
中彰投,2019,9,4.865,533.8
中彰投,2019,10,5.312,738.77
中彰投,2019,11,5.829,610.51
中彰投,2019,12,5.875,517.9
北北基桃竹苗,2016,1,6.655,594.55
北北基桃竹苗,2016,2,7.274,615.9
北北基桃竹苗,2016,3,7.546,759.87
北北基桃竹苗,2016,4,6.476,883.01
北北基桃竹苗,2016,5,6.046,596.73
北北基桃竹苗,2016,6,5.243,359.42
北北基桃竹苗,2016,7,4.977,415.13
北北基桃竹苗,2016,8,5.113,433.33
北北基桃竹苗,2016,9,4.782,383.91
北北基桃竹苗,2016,10,5.515,450.71
北北基桃竹苗,2016,11,6.304,486.41
北北基桃竹苗,2016,12,6.717,546.86
北北基桃竹苗,2017,1,6.62,564.1
北北基桃竹苗,2017,2,6.357,626.35
北北基桃竹苗,2017,3,7.161,675.13
北北基桃竹苗,2017,4,6.395,698.27
北北基桃竹苗,2017,5,6.459,513.59
北北基桃竹苗,2017,6,6.053,370.13
北北基桃竹苗,2017,7,5.723,377.56
北北基桃竹苗,2017,8,5.308,439.94
北北基桃竹苗,2017,9,5.297,568.65
北北基桃竹苗,2017,10,5.738,473.27
北北基桃竹苗,2017,11,6.366,421.35
北北基桃竹苗,2017,12,7.117,544.1
北北基桃竹苗,2018,1,6.834,410.32
北北基桃竹苗,2018,2,6.102,677.44
北北基桃竹苗,2018,3,7.007,660.38
北北基桃竹苗,2018,4,6.143,743.08
北北基桃竹苗,2018,5,5.798,577.88
北北基桃竹苗,2018,6,5.144,394.68
北北基桃竹苗,2018,7,5.071,383.65
北北基桃竹苗,2018,8,5.056,394.29
北北基桃竹苗,2018,9,4.92,464.04
北北基桃竹苗,2018,10,5.97,445.26
北北基桃竹苗,2018,11,5.922,457.63
北北基桃竹苗,2018,12,6.396,420.32
北北基桃竹苗,2019,1,7.298,494.81
北北基桃竹苗,2019,2,5.934,505.45
北北基桃竹苗,2019,3,6.764,588.53
北北基桃竹苗,2019,4,6.731,566.41
北北基桃竹苗,2019,5,6.412,433.53
北北基桃竹苗,2019,6,5.634,316.47
北北基桃竹苗,2019,7,5.76,317.95
北北基桃竹苗,2019,8,5.201,334.62
北北基桃竹苗,2019,9,5.455,361.6
北北基桃竹苗,2019,10,6.294,513.53
北北基桃竹苗,2019,11,6.394,415.32
北北基桃竹苗,2019,12,6.955,384.42
宜花東,2016,1,9.517,408.25
宜花東,2016,2,10.505,513.03
宜花東,2016,3,11.548,528.68
宜花東,2016,4,9.194,559.18
宜花東,2016,5,8.975,358.85
宜花東,2016,6,7.472,252.4
宜花東,2016,7,6.958,288.17
宜花東,2016,8,7.752,332.45
宜花東,2016,9,7.096,307.36
宜花東,2016,10,7.746,281.47
宜花東,2016,11,8.654,373.2
宜花東,2016,12,9.496,455.62
宜花東,2017,1,10.059,444.74
宜花東,2017,2,10.653,510.58
宜花東,2017,3,10.845,528.53
宜花東,2017,4,9.315,496.66
宜花東,2017,5,9.316,343.85
宜花東,2017,6,8.84,277.28
宜花東,2017,7,8.393,243.53
宜花東,2017,8,7.979,355.6
宜花東,2017,9,7.869,370.53
宜花東,2017,10,8.293,394.69
宜花東,2017,11,9.433,355.1
宜花東,2017,12,10.169,474.01
宜花東,2018,1,10.471,399.59
宜花東,2018,2,8.605,434.71
宜花東,2018,3,9.916,451.01
宜花東,2018,4,8.956,447.26
宜花東,2018,5,8.041,356.75
宜花東,2018,6,6.652,282.4
宜花東,2018,7,7.118,265.24
宜花東,2018,8,7.29,259.33
宜花東,2018,9,6.418,270.94
宜花東,2018,10,7.946,381.92
宜花東,2018,11,7.87,314.64
宜花東,2018,12,8.351,310.31
宜花東,2019,1,9.335,374.64
宜花東,2019,2,8.057,348.61
宜花東,2019,3,8.946,438.68
宜花東,2019,4,8.59,390.07
宜花東,2019,5,8.177,329.86
宜花東,2019,6,7.209,263.65
宜花東,2019,7,7.469,254.5
宜花東,2019,8,7.323,248.58
宜花東,2019,9,6.964,270.94
宜花東,2019,10,8.65,433.92
