region,year,month,case_per_capita(‰),PM2.5
中彰投,2016,1,21.437,697.63
中彰投,2016,2,22.323,853.74
中彰投,2016,3,22.62,976.35
中彰投,2016,4,21.301,959.01
中彰投,2016,5,19.969,620.66
中彰投,2016,6,17.581,348.59
中彰投,2016,7,17.886,444.52
中彰投,2016,8,18.5,603.23
中彰投,2016,9,17.766,486.02
中彰投,2016,10,19.897,848.17
中彰投,2016,11,20.845,799.58
中彰投,2016,12,22.46,859.4
中彰投,2017,1,22.303,849.25
中彰投,2017,2,20.684,882.57
中彰投,2017,3,22.34,996.47
中彰投,2017,4,21.051,821.77
中彰投,2017,5,20.29,641.86
中彰投,2017,6,18.736,333.59
中彰投,2017,7,18.656,429.25
中彰投,2017,8,17.717,488.89
中彰投,2017,9,17.746,695.03
中彰投,2017,10,19.962,668.35
中彰投,2017,11,20.663,659.1
中彰投,2017,12,22.721,803.17
中彰投,2018,1,20.068,678.86
中彰投,2018,2,18.41,830.3
中彰投,2018,3,21.168,896.59
中彰投,2018,4,19.48,862.46
中彰投,2018,5,18.149,562.28
中彰投,2018,6,15.975,447.66
中彰投,2018,7,16.375,477.04
中彰投,2018,8,16.534,376.53
中彰投,2018,9,16.79,558.32
中彰投,2018,10,19.256,638.71
中彰投,2018,11,18.572,723.68
中彰投,2018,12,20.84,583.29
中彰投,2019,1,22.262,703.2
中彰投,2019,2,17.865,742.46
中彰投,2019,3,20.431,782.07
中彰投,2019,4,19.757,672.84
中彰投,2019,5,18.719,534.7
中彰投,2019,6,17.583,274.22
中彰投,2019,7,17.833,330.63
中彰投,2019,8,17.35,418.92
中彰投,2019,9,17.934,533.8
中彰投,2019,10,19.829,738.77
中彰投,2019,11,19.959,610.51
中彰投,2019,12,20.9,517.9
北北基桃竹苗,2016,1,20.923,594.55
北北基桃竹苗,2016,2,21.421,615.9
北北基桃竹苗,2016,3,21.927,759.87
北北基桃竹苗,2016,4,19.657,883.01
北北基桃竹苗,2016,5,18.382,596.73
北北基桃竹苗,2016,6,16.644,359.42
北北基桃竹苗,2016,7,16.278,415.13
北北基桃竹苗,2016,8,17.039,433.33
北北基桃竹苗,2016,9,16.026,383.91
北北基桃竹苗,2016,10,18.304,450.71
北北基桃竹苗,2016,11,20.754,486.41
北北基桃竹苗,2016,12,21.994,546.86
北北基桃竹苗,2017,1,21.13,564.1
北北基桃竹苗,2017,2,19.787,626.35
北北基桃竹苗,2017,3,21.161,675.13
北北基桃竹苗,2017,4,19.939,698.27
北北基桃竹苗,2017,5,19.593,513.59
北北基桃竹苗,2017,6,18.278,370.13
北北基桃竹苗,2017,7,17.689,377.56
北北基桃竹苗,2017,8,16.481,439.94
北北基桃竹苗,2017,9,16.837,568.65
北北基桃竹苗,2017,10,18.579,473.27
北北基桃竹苗,2017,11,19.843,421.35
北北基桃竹苗,2017,12,22.675,544.1
北北基桃竹苗,2018,1,20.184,410.32
北北基桃竹苗,2018,2,17.94,677.44
北北基桃竹苗,2018,3,20.801,660.38
北北基桃竹苗,2018,4,18.841,743.08
北北基桃竹苗,2018,5,17.404,577.88
北北基桃竹苗,2018,6,15.481,394.68
北北基桃竹苗,2018,7,15.792,383.65
北北基桃竹苗,2018,8,15.963,394.29
北北基桃竹苗,2018,9,15.791,464.04
北北基桃竹苗,2018,10,18.947,445.26
北北基桃竹苗,2018,11,18.267,457.63
北北基桃竹苗,2018,12,20.351,420.32
北北基桃竹苗,2019,1,22.658,494.81
北北基桃竹苗,2019,2,17.869,505.45
北北基桃竹苗,2019,3,20.267,588.53
北北基桃竹苗,2019,4,19.433,566.41
北北基桃竹苗,2019,5,18.619,433.53
北北基桃竹苗,2019,6,16.874,316.47
北北基桃竹苗,2019,7,17.196,317.95
北北基桃竹苗,2019,8,16.211,334.62
北北基桃竹苗,2019,9,16.812,361.6
北北基桃竹苗,2019,10,19.403,513.53
北北基桃竹苗,2019,11,19.563,415.32
北北基桃竹苗,2019,12,20.832,384.42
宜花東,2016,1,19.927,408.25
宜花東,2016,2,19.76,513.03
宜花東,2016,3,21.824,528.68
宜花東,2016,4,18.316,559.18
宜花東,2016,5,17.83,358.85
宜花東,2016,6,16.274,252.4
宜花東,2016,7,16.336,288.17
宜花東,2016,8,17.166,332.45
宜花東,2016,9,16.109,307.36
宜花東,2016,10,16.646,281.47
宜花東,2016,11,19.387,373.2
宜花東,2016,12,20.541,455.62
宜花東,2017,1,20.311,444.74
宜花東,2017,2,18.81,510.58
宜花東,2017,3,20.185,528.53
宜花東,2017,4,20.258,496.66
宜花東,2017,5,19.634,343.85
宜花東,2017,6,18.588,277.28
宜花東,2017,7,17.707,243.53
宜花東,2017,8,16.135,355.6
宜花東,2017,9,15.879,370.53
宜花東,2017,10,18.624,394.69
宜花東,2017,11,19.788,355.1
宜花東,2017,12,21.71,474.01
宜花東,2018,1,19.192,399.59
宜花東,2018,2,15.609,434.71
宜花東,2018,3,17.538,451.01
宜花東,2018,4,17.032,447.26
宜花東,2018,5,16.276,356.75
宜花東,2018,6,14.096,282.4
宜花東,2018,7,14.786,265.24
宜花東,2018,8,14.46,259.33
宜花東,2018,9,14.227,270.94
宜花東,2018,10,17.35,381.92
