region,year,month,PM2.5
雲嘉南,2019,6,275.63
高屏,2019,6,253.59
中彰投,2019,7,330.63
北北基桃竹苗,2019,7,317.95
宜花東,2019,7,254.5
雲嘉南,2019,7,306.55
高屏,2019,7,284.1
中彰投,2019,8,418.92
北北基桃竹苗,2019,8,334.62
宜花東,2019,8,248.58
雲嘉南,2019,8,372.31
高屏,2019,8,322.56
中彰投,2019,9,533.8
北北基桃竹苗,2019,9,361.6
宜花東,2019,9,270.94
雲嘉南,2019,9,573.14
高屏,2019,9,546.32
中彰投,2019,10,738.77
北北基桃竹苗,2019,10,513.53
宜花東,2019,10,433.92
雲嘉南,2019,10,793.03
高屏,2019,10,746.58
中彰投,2019,11,610.51
北北基桃竹苗,2019,11,415.32
宜花東,2019,11,366.35
雲嘉南,2019,11,735.0
高屏,2019,11,773.16
中彰投,2019,12,517.9
北北基桃竹苗,2019,12,384.42
宜花東,2019,12,299.93
雲嘉南,2019,12,649.52
高屏,2019,12,676.84
