town,year,month,PM2.5
彰化縣鹿港鎮,2016,1,785.0
新北市三峽區,2016,1,625.71
新北市三芝區,2016,1,318.0
新北市三重區,2016,1,630.0
新北市中和區,2016,1,615.0
新北市五股區,2016,1,610.0
新北市八里區,2016,1,637.5
新北市土城區,2016,1,660.0
新北市坪林區,2016,1,543.0
新北市平溪區,2016,1,543.75
新北市新店區,2016,1,612.0
新北市新莊區,2016,1,670.0
新北市板橋區,2016,1,690.0
新北市林口區,2016,1,630.0
新北市樹林區,2016,1,650.0
新北市永和區,2016,1,540.0
新北市汐止區,2016,1,540.0
新北市淡水區,2016,1,520.0
新北市深坑區,2016,1,570.0
新北市烏來區,2016,1,580.0
新北市瑞芳區,2016,1,540.0
新北市石碇區,2016,1,572.31
新北市石門區,2016,1,444.0
新北市萬里區,2016,1,490.0
新北市蘆洲區,2016,1,600.0
新北市貢寮區,2016,1,540.0
新北市金山區,2016,1,435.0
新北市雙溪區,2016,1,535.38
新北市鶯歌區,2016,1,630.0
新竹市北區,2016,1,600.0
新竹市東區,2016,1,600.0
新竹市香山區,2016,1,606.0
新竹縣五峰鄉,2016,1,630.0
新竹縣北埔鄉,2016,1,630.0
新竹縣寶山鄉,2016,1,620.0
新竹縣尖石鄉,2016,1,630.0
新竹縣峨眉鄉,2016,1,630.0
新竹縣新埔鎮,2016,1,670.0
新竹縣新豐鄉,2016,1,684.0
新竹縣橫山鄉,2016,1,630.0
新竹縣湖口鄉,2016,1,712.5
新竹縣竹北市,2016,1,624.0
新竹縣竹東鎮,2016,1,630.0
新竹縣芎林鄉,2016,1,630.0
新竹縣關西鎮,2016,1,650.77
桃園市中壢區,2016,1,655.0
桃園市八德區,2016,1,630.0
桃園市大園區,2016,1,648.75
桃園市大溪區,2016,1,640.91
桃園市平鎮區,2016,1,654.0
桃園市復興區,2016,1,634.29
桃園市新屋區,2016,1,698.57
桃園市桃園區,2016,1,607.5
桃園市楊梅區,2016,1,673.33
桃園市蘆竹區,2016,1,630.0
桃園市觀音區,2016,1,696.0
桃園市龍潭區,2016,1,660.0
桃園市龜山區,2016,1,630.0
臺中市北屯區,2016,1,600.0
臺中市南屯區,2016,1,650.0
臺中市后里區,2016,1,535.0
臺中市外埔區,2016,1,528.0
臺中市大安區,2016,1,590.0
臺中市大甲區,2016,1,552.0
臺中市大肚區,2016,1,667.5
臺中市大里區,2016,1,660.0
臺中市大雅區,2016,1,630.0
臺中市太平區,2016,1,652.5
臺中市新社區,2016,1,594.0
臺中市東勢區,2016,1,570.0
臺中市東區,2016,1,660.0
臺中市梧棲區,2016,1,630.0
臺中市沙鹿區,2016,1,630.0
臺中市清水區,2016,1,626.67
臺中市潭子區,2016,1,615.0
臺中市烏日區,2016,1,660.0
臺中市石岡區,2016,1,570.0
臺中市神岡區,2016,1,590.0
臺中市西區,2016,1,630.0
臺中市西屯區,2016,1,645.0
臺中市豐原區,2016,1,570.0
臺中市霧峰區,2016,1,671.25
臺中市龍井區,2016,1,667.5
臺北市中山區,2016,1,600.0
臺北市中正區,2016,1,570.0
臺北市信義區,2016,1,570.0
臺北市內湖區,2016,1,570.0
臺北市北投區,2016,1,475.0
臺北市南港區,2016,1,570.0
臺北市士林區,2016,1,480.0
臺北市文山區,2016,1,585.0
臺北市松山區,2016,1,570.0
臺北市萬華區,2016,1,600.0
臺南市七股區,2016,1,1002.86
臺南市下營區,2016,1,960.0
臺南市中西區,2016,1,1050.0
臺南市仁德區,2016,1,1050.0
臺南市佳里區,2016,1,990.0
臺南市六甲區,2016,1,960.0
臺南市北區,2016,1,1050.0
臺南市北門區,2016,1,960.0
臺南市南化區,2016,1,960.0
臺南市南區,2016,1,1050.0
臺南市善化區,2016,1,960.0
臺南市大內區,2016,1,960.0
臺南市學甲區,2016,1,960.0
臺南市安南區,2016,1,1014.0
臺南市安定區,2016,1,980.0
臺南市官田區,2016,1,960.0
臺南市將軍區,2016,1,984.0
臺南市山上區,2016,1,960.0
臺南市左鎮區,2016,1,985.71
臺南市後壁區,2016,1,960.0
臺南市新化區,2016,1,982.5
臺南市新市區,2016,1,965.0
臺南市新營區,2016,1,960.0
臺南市東區,2016,1,1050.0
臺南市東山區,2016,1,960.0
臺南市柳營區,2016,1,960.0
臺南市楠西區,2016,1,960.0
臺南市歸仁區,2016,1,1038.0
臺南市永康區,2016,1,1027.5
臺南市玉井區,2016,1,964.29
臺南市白河區,2016,1,964.62
臺南市西港區,2016,1,990.0
臺南市關廟區,2016,1,1026.0
臺南市鹽水區,2016,1,960.0
臺南市麻豆區,2016,1,960.0
臺南市龍崎區,2016,1,1005.0
臺東縣卑南鄉,2016,1,335.45
臺東縣大武鄉,2016,1,870.0
臺東縣太麻里鄉,2016,1,637.5
臺東縣延平鄉,2016,1,317.14
臺東縣成功鎮,2016,1,270.0
臺東縣東河鄉,2016,1,270.0
臺東縣池上鄉,2016,1,270.0
臺東縣海端鄉,2016,1,270.0
臺東縣綠島鄉,2016,1,240.0
臺東縣臺東市,2016,1,248.18
臺東縣蘭嶼鄉,2016,1,210.0
臺東縣達仁鄉,2016,1,888.0
臺東縣金峰鄉,2016,1,815.45
臺東縣長濱鄉,2016,1,325.0
臺東縣關山鎮,2016,1,270.0
臺東縣鹿野鄉,2016,1,280.0
花蓮縣光復鄉,2016,1,462.5
花蓮縣卓溪鄉,2016,1,376.15
花蓮縣吉安鄉,2016,1,360.0
花蓮縣壽豐鄉,2016,1,380.0
花蓮縣富里鄉,2016,1,292.5
花蓮縣新城鄉,2016,1,360.0
花蓮縣玉里鎮,2016,1,361.36
花蓮縣瑞穗鄉,2016,1,440.77
花蓮縣秀林鄉,2016,1,401.54
花蓮縣花蓮市,2016,1,360.0
花蓮縣萬榮鄉,2016,1,465.0
花蓮縣豐濱鄉,2016,1,409.41
花蓮縣鳳林鎮,2016,1,414.0
苗栗縣三灣鄉,2016,1,630.0
苗栗縣三義鄉,2016,1,420.0
苗栗縣公館鄉,2016,1,621.43
苗栗縣卓蘭鎮,2016,1,498.0
苗栗縣南庄鄉,2016,1,630.0
苗栗縣大湖鄉,2016,1,480.0
苗栗縣後龍鎮,2016,1,646.67
苗栗縣泰安鄉,2016,1,600.0
苗栗縣獅潭鄉,2016,1,612.86
苗栗縣竹南鎮,2016,1,630.0
苗栗縣苑裡鎮,2016,1,468.0
苗栗縣苗栗市,2016,1,660.0
苗栗縣西湖鄉,2016,1,645.0
苗栗縣通霄鎮,2016,1,540.0
苗栗縣造橋鄉,2016,1,642.0
苗栗縣銅鑼鄉,2016,1,495.0
苗栗縣頭份市,2016,1,630.0
苗栗縣頭屋鄉,2016,1,652.5
雲林縣二崙鄉,2016,1,894.0
雲林縣元長鄉,2016,1,858.0
雲林縣北港鎮,2016,1,840.0
雲林縣口湖鄉,2016,1,873.33
雲林縣古坑鄉,2016,1,865.38
雲林縣四湖鄉,2016,1,840.0
雲林縣土庫鎮,2016,1,900.0
雲林縣大埤鄉,2016,1,870.0
雲林縣崙背鄉,2016,1,920.0
雲林縣斗六市,2016,1,876.0
雲林縣斗南鎮,2016,1,870.0
雲林縣東勢鄉,2016,1,846.0
雲林縣林內鄉,2016,1,825.0
雲林縣水林鄉,2016,1,870.0
雲林縣臺西鄉,2016,1,840.0
雲林縣莿桐鄉,2016,1,870.0
雲林縣虎尾鎮,2016,1,891.43
雲林縣褒忠鄉,2016,1,900.0
雲林縣西螺鎮,2016,1,855.0
雲林縣麥寮鄉,2016,1,847.5
高雄市三民區,2016,1,1140.0
高雄市仁武區,2016,1,1100.0
高雄市內門區,2016,1,960.0
高雄市六龜區,2016,1,943.85
高雄市前金區,2016,1,1170.0
高雄市前鎮區,2016,1,1150.0
高雄市大寮區,2016,1,1170.0
高雄市大樹區,2016,1,1050.0
高雄市大社區,2016,1,1035.0
高雄市小港區,2016,1,1176.0
