region,year,month,case_c,pop_total,case_per_capita(‰)
中彰投,2016,1,1595,290155,5.497
中彰投,2016,2,2326,302174,7.698
中彰投,2016,3,2214,304351,7.274
中彰投,2016,4,1760,294412,5.978
中彰投,2016,5,1526,295371,5.166
中彰投,2016,6,1152,284745,4.046
中彰投,2016,7,1048,268812,3.899
中彰投,2016,8,1153,277623,4.153
中彰投,2016,9,1094,275872,3.966
中彰投,2016,10,1235,277352,4.453
中彰投,2016,11,1184,269753,4.389
中彰投,2016,12,1363,287336,4.744
中彰投,2017,1,1483,287114,5.165
中彰投,2017,2,1388,275355,5.041
中彰投,2017,3,1578,284896,5.539
中彰投,2017,4,1440,286485,5.026
中彰投,2017,5,1468,283620,5.176
中彰投,2017,6,1418,286135,4.956
中彰投,2017,7,1433,284997,5.028
中彰投,2017,8,1165,270277,4.31
中彰投,2017,9,1078,271541,3.97
中彰投,2017,10,1121,261945,4.28
中彰投,2017,11,1156,276247,4.185
中彰投,2017,12,1347,276875,4.865
中彰投,2018,1,1667,318621,5.232
中彰投,2018,2,1807,327204,5.523
中彰投,2018,3,1916,329884,5.808
中彰投,2018,4,1528,305930,4.995
中彰投,2018,5,1415,312957,4.521
中彰投,2018,6,1179,301226,3.914
中彰投,2018,7,1337,308816,4.329
中彰投,2018,8,1310,304986,4.295
中彰投,2018,9,1232,306419,4.021
中彰投,2018,10,1288,303110,4.249
中彰投,2018,11,1283,310614,4.131
中彰投,2018,12,1451,312164,4.648
中彰投,2019,1,1637,316930,5.165
中彰投,2019,2,1577,312069,5.053
中彰投,2019,3,1578,312289,5.053
中彰投,2019,4,1635,321838,5.08
中彰投,2019,5,1571,315923,4.973
中彰投,2019,6,1362,309313,4.403
中彰投,2019,7,1321,311968,4.234
中彰投,2019,8,1263,305479,4.134
中彰投,2019,9,1352,305951,4.419
中彰投,2019,10,1462,314285,4.652
中彰投,2019,11,1379,306805,4.495
中彰投,2019,12,1516,310839,4.877
北北基桃竹苗,2016,1,3017,797541,3.783
北北基桃竹苗,2016,2,4174,812899,5.135
北北基桃竹苗,2016,3,4184,815216,5.132
北北基桃竹苗,2016,4,3479,816281,4.262
北北基桃竹苗,2016,5,3104,816858,3.8
北北基桃竹苗,2016,6,2610,800720,3.26
北北基桃竹苗,2016,7,2360,802137,2.942
北北基桃竹苗,2016,8,2428,801407,3.03
北北基桃竹苗,2016,9,2297,793326,2.895
北北基桃竹苗,2016,10,2413,798089,3.023
北北基桃竹苗,2016,11,2761,800586,3.449
北北基桃竹苗,2016,12,2869,802287,3.576
北北基桃竹苗,2017,1,2867,806906,3.553
北北基桃竹苗,2017,2,2870,805647,3.562
北北基桃竹苗,2017,3,3204,804614,3.982
北北基桃竹苗,2017,4,2925,803596,3.64
北北基桃竹苗,2017,5,3090,807855,3.825
北北基桃竹苗,2017,6,3178,808292,3.932
北北基桃竹苗,2017,7,3129,807395,3.875
北北基桃竹苗,2017,8,2560,804950,3.18
北北基桃竹苗,2017,9,2440,799260,3.053
北北基桃竹苗,2017,10,2480,799878,3.1
北北基桃竹苗,2017,11,2723,790529,3.445
北北基桃竹苗,2017,12,3049,801510,3.804
北北基桃竹苗,2018,1,3622,888975,4.074
北北基桃竹苗,2018,2,3486,888523,3.923
北北基桃竹苗,2018,3,4019,893043,4.5
北北基桃竹苗,2018,4,3408,892108,3.82
北北基桃竹苗,2018,5,3229,883714,3.654
北北基桃竹苗,2018,6,2730,875619,3.118
北北基桃竹苗,2018,7,2660,874779,3.041
北北基桃竹苗,2018,8,2710,876778,3.091
北北基桃竹苗,2018,9,2597,874958,2.968
北北基桃竹苗,2018,10,2835,881423,3.216
北北基桃竹苗,2018,11,2786,883199,3.154
北北基桃竹苗,2018,12,3104,884359,3.51
北北基桃竹苗,2019,1,3795,891917,4.255
北北基桃竹苗,2019,2,3409,885029,3.852
北北基桃竹苗,2019,3,3630,887606,4.09
北北基桃竹苗,2019,4,3728,896646,4.158
北北基桃竹苗,2019,5,3617,892511,4.053
北北基桃竹苗,2019,6,3244,880583,3.684
北北基桃竹苗,2019,7,3265,891239,3.663
北北基桃竹苗,2019,8,2996,885277,3.384
北北基桃竹苗,2019,9,3026,887362,3.41
北北基桃竹苗,2019,10,3328,881858,3.774
北北基桃竹苗,2019,11,3129,881191,3.551
北北基桃竹苗,2019,12,3393,889307,3.815
宜花東,2016,1,292,50814,5.746
宜花東,2016,2,400,53613,7.461
宜花東,2016,3,404,55234,7.314
宜花東,2016,4,323,51870,6.227
宜花東,2016,5,312,50814,6.14
宜花東,2016,6,260,51123,5.086
宜花東,2016,7,223,48275,4.619
宜花東,2016,8,251,50632,4.957
宜花東,2016,9,209,46593,4.486
宜花東,2016,10,231,48393,4.773
宜花東,2016,11,287,48784,5.883
宜花東,2016,12,329,50632,6.498
宜花東,2017,1,278,48986,5.675
宜花東,2017,2,322,48650,6.619
宜花東,2017,3,335,50348,6.654
宜花東,2017,4,312,51665,6.039
宜花東,2017,5,328,51231,6.402
宜花東,2017,6,334,49630,6.73
宜花東,2017,7,337,51528,6.54
宜花東,2017,8,256,49698,5.151
宜花東,2017,9,228,46341,4.92
宜花東,2017,10,244,43224,5.645
宜花東,2017,11,295,48581,6.072
宜花東,2017,12,332,49767,6.671
宜花東,2018,1,371,56686,6.545
宜花東,2018,2,359,57935,6.197
宜花東,2018,3,413,59201,6.976
宜花東,2018,4,377,58174,6.481
宜花東,2018,5,343,56736,6.046
