region,year,month,case_c,pop_total,case_per_capita(‰)
中彰投,2016,1,6770,315811,21.437
中彰投,2016,2,7050,315811,22.323
中彰投,2016,3,7106,314149,22.62
中彰投,2016,4,6712,315098,21.301
中彰投,2016,5,6290,314981,19.969
中彰投,2016,6,5523,314149,17.581
中彰投,2016,7,5606,313436,17.886
中彰投,2016,8,5827,314981,18.5
中彰投,2016,9,5566,313300,17.766
中彰投,2016,10,6253,314266,19.897
中彰投,2016,11,6583,315811,20.845
中彰投,2016,12,7093,315811,22.46
中彰投,2017,1,6963,312206,22.303
中彰投,2017,2,6426,310671,20.684
中彰投,2017,3,6956,311371,22.34
中彰投,2017,4,6551,311192,21.051
中彰投,2017,5,6310,310991,20.29
中彰投,2017,6,5805,309828,18.736
中彰投,2017,7,5812,311528,18.656
中彰投,2017,8,5505,310726,17.717
中彰投,2017,9,5552,312851,17.746
中彰投,2017,10,6227,311936,19.962
中彰投,2017,11,6451,312206,20.663
中彰投,2017,12,7090,312049,22.721
中彰投,2018,1,6998,348711,20.068
中彰投,2018,2,6346,344700,18.41
中彰投,2018,3,7340,346747,21.168
中彰投,2018,4,6761,347082,19.48
中彰投,2018,5,6246,344149,18.149
中彰投,2018,6,5521,345601,15.975
中彰投,2018,7,5678,346747,16.375
中彰投,2018,8,5752,347889,16.534
中彰投,2018,9,5801,345507,16.79
中彰投,2018,10,6699,347889,19.256
中彰投,2018,11,6415,345420,18.572
中彰投,2018,12,7267,348711,20.84
中彰投,2019,1,7742,347770,22.262
中彰投,2019,2,6193,346658,17.865
中彰投,2019,3,7101,347565,20.431
中彰投,2019,4,6867,347565,19.757
中彰投,2019,5,6510,347770,18.719
中彰投,2019,6,6054,344306,17.583
中彰投,2019,7,6198,347565,17.833
中彰投,2019,8,5975,344389,17.35
中彰投,2019,9,6180,344594,17.934
中彰投,2019,10,6857,345804,19.829
中彰投,2019,11,6896,345507,19.959
中彰投,2019,12,7264,347565,20.9
北北基桃竹苗,2016,1,17473,835110,20.923
北北基桃竹苗,2016,2,17867,834087,21.421
北北基桃竹苗,2016,3,18323,835619,21.927
北北基桃竹苗,2016,4,16370,832765,19.657
北北基桃竹苗,2016,5,15328,833854,18.382
北北基桃竹苗,2016,6,13843,831687,16.644
北北基桃竹苗,2016,7,13528,831074,16.278
北北基桃竹苗,2016,8,14182,832348,17.039
北北基桃竹苗,2016,9,13282,828767,16.026
北北基桃竹苗,2016,10,15235,832332,18.304
北北基桃竹苗,2016,11,17288,832978,20.754
北北基桃竹苗,2016,12,18339,833821,21.994
北北基桃竹苗,2017,1,17546,830377,21.13
北北基桃竹苗,2017,2,16433,830490,19.787
