region,year,month,case_c,pop_total,case_per_capita(‰)
中彰投,2016,1,1489,292648,5.088
中彰投,2016,2,1663,292611,5.683
中彰投,2016,3,1753,297905,5.884
中彰投,2016,4,1595,293476,5.435
中彰投,2016,5,1473,292297,5.039
中彰投,2016,6,1292,287954,4.487
中彰投,2016,7,1085,272302,3.985
中彰投,2016,8,1183,274454,4.31
中彰投,2016,9,1201,284616,4.22
中彰投,2016,10,1400,287965,4.862
中彰投,2016,11,1406,286385,4.909
中彰投,2016,12,1597,286993,5.565
中彰投,2017,1,1620,292425,5.54
中彰投,2017,2,1531,289287,5.292
中彰投,2017,3,1638,289521,5.658
中彰投,2017,4,1642,299583,5.481
中彰投,2017,5,1567,291861,5.369
中彰投,2017,6,1435,280980,5.107
中彰投,2017,7,1448,287290,5.04
中彰投,2017,8,1303,284788,4.575
中彰投,2017,9,1265,274703,4.605
中彰投,2017,10,1439,285371,5.043
中彰投,2017,11,1555,289626,5.369
中彰投,2017,12,1672,290414,5.757
中彰投,2018,1,1785,317769,5.617
中彰投,2018,2,1623,321730,5.045
中彰投,2018,3,2039,331218,6.156
中彰投,2018,4,1724,320906,5.372
中彰投,2018,5,1516,321000,4.723
中彰投,2018,6,1407,323054,4.355
中彰投,2018,7,1343,314032,4.277
中彰投,2018,8,1436,316066,4.543
中彰投,2018,9,1346,318900,4.221
中彰投,2018,10,1608,322661,4.984
中彰投,2018,11,1643,323590,5.077
中彰投,2018,12,1764,329135,5.36
中彰投,2019,1,1970,330518,5.96
中彰投,2019,2,1630,320094,5.092
中彰投,2019,3,1906,326924,5.83
中彰投,2019,4,1728,321282,5.378
中彰投,2019,5,1763,327793,5.378
中彰投,2019,6,1501,316690,4.74
中彰投,2019,7,1467,314040,4.671
中彰投,2019,8,1447,320069,4.521
中彰投,2019,9,1540,316545,4.865
中彰投,2019,10,1757,330750,5.312
中彰投,2019,11,1905,326794,5.829
中彰投,2019,12,1937,329705,5.875
北北基桃竹苗,2016,1,5413,813434,6.655
北北基桃竹苗,2016,2,5959,819183,7.274
北北基桃竹苗,2016,3,6179,818842,7.546
北北基桃竹苗,2016,4,5310,819942,6.476
北北基桃竹苗,2016,5,4936,816457,6.046
北北基桃竹苗,2016,6,4246,809903,5.243
北北基桃竹苗,2016,7,4016,806844,4.977
北北基桃竹苗,2016,8,4136,808889,5.113
北北基桃竹苗,2016,9,3858,806799,4.782
北北基桃竹苗,2016,10,4489,813914,5.515
北北基桃竹苗,2016,11,5113,811069,6.304
北北基桃竹苗,2016,12,5478,815522,6.717
北北基桃竹苗,2017,1,5411,817411,6.62
北北基桃竹苗,2017,2,5190,816426,6.357
北北基桃竹苗,2017,3,5888,822177,7.161
北北基桃竹苗,2017,4,5207,814234,6.395
北北基桃竹苗,2017,5,5233,810211,6.459
北北基桃竹苗,2017,6,4939,815910,6.053
北北基桃竹苗,2017,7,4659,814037,5.723
北北基桃竹苗,2017,8,4268,804036,5.308
北北基桃竹苗,2017,9,4286,809065,5.297
北北基桃竹苗,2017,10,4672,814166,5.738
北北基桃竹苗,2017,11,5150,808962,6.366
北北基桃竹苗,2017,12,5773,811171,7.117
北北基桃竹苗,2018,1,6158,901140,6.834
北北基桃竹苗,2018,2,5455,894026,6.102
北北基桃竹苗,2018,3,6296,898525,7.007
北北基桃竹苗,2018,4,5490,893753,6.143
北北基桃竹苗,2018,5,5208,898258,5.798
北北基桃竹苗,2018,6,4553,885083,5.144
北北基桃竹苗,2018,7,4528,892944,5.071
北北基桃竹苗,2018,8,4493,888687,5.056
北北基桃竹苗,2018,9,4372,888582,4.92
