region,year,month,case_c,pop_total,case_per_capita(‰)
中彰投,2016,1,11097,315811,35.138
中彰投,2016,2,15407,315811,48.786
中彰投,2016,3,14467,315183,45.9
中彰投,2016,4,11204,315811,35.477
中彰投,2016,5,9307,315811,29.47
中彰投,2016,6,7067,315811,22.377
中彰投,2016,7,6444,315183,20.445
中彰投,2016,8,7320,315183,23.225
中彰投,2016,9,7443,315811,23.568
中彰投,2016,10,8140,315183,25.826
中彰投,2016,11,9117,315183,28.926
中彰投,2016,12,10216,315811,32.348
中彰投,2017,1,9994,312252,32.006
中彰投,2017,2,9981,312851,31.903
中彰投,2017,3,10476,312851,33.486
中彰投,2017,4,9572,312851,30.596
中彰投,2017,5,8888,312252,28.464
中彰投,2017,6,8165,312252,26.149
中彰投,2017,7,8297,312851,26.521
中彰投,2017,8,6778,310517,21.828
中彰投,2017,9,6711,311395,21.551
中彰投,2017,10,7713,311450,24.765
中彰投,2017,11,8551,311450,27.455
中彰投,2017,12,10371,312252,33.214
中彰投,2018,1,12631,348711,36.222
中彰投,2018,2,12082,348711,34.648
中彰投,2018,3,12522,348711,35.909
中彰投,2018,4,10273,348711,29.46
中彰投,2018,5,8032,347983,23.082
中彰投,2018,6,6578,348711,18.864
中彰投,2018,7,7080,346928,20.408
中彰投,2018,8,7411,347656,21.317
中彰投,2018,9,7773,348711,22.291
中彰投,2018,10,8508,346855,24.529
中彰投,2018,11,8685,348711,24.906
中彰投,2018,12,10564,348711,30.294
中彰投,2019,1,11891,348585,34.112
中彰投,2019,2,10845,348585,31.111
中彰投,2019,3,10803,348585,30.991
中彰投,2019,4,10015,348585,28.73
中彰投,2019,5,9480,348585,27.196
中彰投,2019,6,8021,348585,23.01
中彰投,2019,7,7401,347527,21.296
中彰投,2019,8,7463,347468,21.478
中彰投,2019,9,8108,346812,23.379
中彰投,2019,10,9102,348585,26.111
中彰投,2019,11,9648,347555,27.76
中彰投,2019,12,10957,348585,31.433
北北基桃竹苗,2016,1,29030,836444,34.706
北北基桃竹苗,2016,2,38235,837091,45.676
北北基桃竹苗,2016,3,35077,837164,41.9
北北基桃竹苗,2016,4,26976,835821,32.275
北北基桃竹苗,2016,5,22431,835988,26.832
北北基桃竹苗,2016,6,17572,835061,21.043
北北基桃竹苗,2016,7,16113,834717,19.304
北北基桃竹苗,2016,8,17873,834717,21.412
北北基桃竹苗,2016,9,17785,835202,21.294
北北基桃竹苗,2016,10,19086,834984,22.858
北北基桃竹苗,2016,11,23264,836882,27.798
北北基桃竹苗,2016,12,25365,835939,30.343
北北基桃竹苗,2017,1,25270,833567,30.315
北北基桃竹苗,2017,2,25326,834397,30.352
北北基桃竹苗,2017,3,26602,833536,31.915
北北基桃竹苗,2017,4,24535,833839,29.424
北北基桃竹苗,2017,5,23914,832847,28.714
北北基桃竹苗,2017,6,21289,833590,25.539
北北基桃竹苗,2017,7,20475,832878,24.583
北北基桃竹苗,2017,8,16002,831472,19.245
北北基桃竹苗,2017,9,16927,831354,20.361
北北基桃竹苗,2017,10,19456,832727,23.364
北北基桃竹苗,2017,11,22505,832532,27.032
北北基桃竹苗,2017,12,28313,833957,33.95
北北基桃竹苗,2018,1,31701,918797,34.503
北北基桃竹苗,2018,2,29918,919373,32.542
北北基桃竹苗,2018,3,32513,920273,35.33
北北基桃竹苗,2018,4,26695,918919,29.05
北北基桃竹苗,2018,5,21697,917647,23.644
北北基桃竹苗,2018,6,18301,916730,19.963
北北基桃竹苗,2018,7,17450,915037,19.07
北北基桃竹苗,2018,8,18533,915938,20.234
北北基桃竹苗,2018,9,19999,916270,21.827
北北基桃竹苗,2018,10,22978,917905,25.033
北北基桃竹苗,2018,11,22470,917790,24.483
北北基桃竹苗,2018,12,27205,917790,29.642
北北基桃竹苗,2019,1,32252,921235,35.01
北北基桃竹苗,2019,2,28870,920560,31.361
北北基桃竹苗,2019,3,28940,919578,31.471
北北基桃竹苗,2019,4,26615,921635,28.878
北北基桃竹苗,2019,5,24821,918893,27.012
北北基桃竹苗,2019,6,20984,919687,22.816
北北基桃竹苗,2019,7,19368,917668,21.106
北北基桃竹苗,2019,8,18161,918318,19.776
北北基桃竹苗,2019,9,20040,920168,21.779
北北基桃竹苗,2019,10,23279,919687,25.312
北北基桃竹苗,2019,11,24851,920205,27.006
北北基桃竹苗,2019,12,29063,919929,31.593
宜花東,2016,1,2199,63196,34.797
宜花東,2016,2,2907,63805,45.561
宜花東,2016,3,2680,63927,41.923
宜花東,2016,4,1971,63726,30.929
宜花東,2016,5,1676,63510,26.39
宜花東,2016,6,1440,61419,23.446
宜花東,2016,7,1217,61636,19.745
宜花東,2016,8,1335,61441,21.728
宜花東,2016,9,1346,61824,21.771
宜花東,2016,10,1400,62540,22.386
宜花東,2016,11,1849,63131,29.288
宜花東,2016,12,1942,63510,30.578
宜花東,2017,1,1845,61377,30.06
宜花東,2017,2,1973,62189,31.726
宜花東,2017,3,2084,62189,33.511
宜花東,2017,4,1768,60874,29.044
宜花東,2017,5,1792,62191,28.814
宜花東,2017,6,1695,61377,27.616
宜花東,2017,7,1561,61495,25.384
宜花東,2017,8,1163,60268,19.297
宜花東,2017,9,1218,60874,20.009
宜花東,2017,10,1394,60786,22.933
宜花東,2017,11,1581,60283,26.226
宜花東,2017,12,2139,62364,34.299
宜花東,2018,1,2390,72910,32.78
宜花東,2018,2,2153,72691,29.619
宜花東,2018,3,2245,71873,31.236
宜花東,2018,4,1893,72431,26.135
宜花東,2018,5,1644,71188,23.094
宜花東,2018,6,1330,71681,18.554
宜花東,2018,7,1326,69312,19.131
宜花東,2018,8,1284,69519,18.47
宜花東,2018,9,1341,68985,19.439
宜花東,2018,10,1710,71873,23.792
宜花東,2018,11,1596,71407,22.351
