region,year,month,case_c,pop_total,case_per_capita(‰)
中彰投,2016,1,50155,315811,158.813
中彰投,2016,2,62390,315811,197.555
中彰投,2016,3,60715,315811,192.251
中彰投,2016,4,46488,315811,147.202
中彰投,2016,5,40273,315811,127.522
中彰投,2016,6,32910,315811,104.208
中彰投,2016,7,31546,315811,99.889
中彰投,2016,8,35710,315811,113.074
中彰投,2016,9,36024,315811,114.068
中彰投,2016,10,39585,315811,125.344
中彰投,2016,11,43760,315811,138.564
中彰投,2016,12,46370,315811,146.828
中彰投,2017,1,45270,312851,144.701
中彰投,2017,2,44990,312851,143.806
中彰投,2017,3,47215,312851,150.918
中彰投,2017,4,41623,312851,133.044
中彰投,2017,5,39109,312851,125.008
中彰投,2017,6,36460,312851,116.541
中彰投,2017,7,36081,312851,115.33
中彰投,2017,8,31384,312851,100.316
中彰投,2017,9,31706,312851,101.345
中彰投,2017,10,37422,312851,119.616
中彰投,2017,11,39813,312851,127.259
中彰投,2017,12,47129,312851,150.644
中彰投,2018,1,51547,348711,147.822
中彰投,2018,2,47650,348711,136.646
中彰投,2018,3,50106,348711,143.689
中彰投,2018,4,41636,348711,119.4
中彰投,2018,5,34568,348711,99.131
中彰投,2018,6,29465,348711,84.497
中彰投,2018,7,31645,348711,90.748
中彰投,2018,8,33726,348711,96.716
中彰投,2018,9,34614,348711,99.263
中彰投,2018,10,39101,348711,112.13
中彰投,2018,11,38872,348711,111.473
中彰投,2018,12,45605,348711,130.782
中彰投,2019,1,50094,348585,143.707
中彰投,2019,2,43023,348585,123.422
中彰投,2019,3,44681,348585,128.178
中彰投,2019,4,40670,348585,116.672
中彰投,2019,5,38330,348585,109.959
中彰投,2019,6,33106,348585,94.973
中彰投,2019,7,32144,348585,92.213
中彰投,2019,8,32182,348585,92.322
中彰投,2019,9,34883,348585,100.07
中彰投,2019,10,38722,348585,111.083
中彰投,2019,11,40897,348585,117.323
中彰投,2019,12,45690,348585,131.073
北北基桃竹苗,2016,1,125153,839496,149.081
北北基桃竹苗,2016,2,149629,839496,178.237
北北基桃竹苗,2016,3,144448,839496,172.065
北北基桃竹苗,2016,4,109961,839496,130.985
北北基桃竹苗,2016,5,96568,839496,115.031
北北基桃竹苗,2016,6,79392,839356,94.587
北北基桃竹苗,2016,7,74720,839356,89.021
北北基桃竹苗,2016,8,84144,839356,100.248
北北基桃竹苗,2016,9,83371,839308,99.333
北北基桃竹苗,2016,10,89234,839308,106.319
北北基桃竹苗,2016,11,107071,839496,127.542
北北基桃竹苗,2016,12,112031,839496,133.45
北北基桃竹苗,2017,1,108104,836691,129.204
北北基桃竹苗,2017,2,106680,836554,127.523
北北基桃竹苗,2017,3,113397,836691,135.53
北北基桃竹苗,2017,4,101246,836691,121.008
北北基桃竹苗,2017,5,99026,836691,118.354
北北基桃竹苗,2017,6,90059,836691,107.637
北北基桃竹苗,2017,7,86771,836691,103.707
北北基桃竹苗,2017,8,72046,836498,86.128
北北基桃竹苗,2017,9,76840,836691,91.838
北北基桃竹苗,2017,10,89308,836691,106.74
北北基桃竹苗,2017,11,99779,836691,119.254
北北基桃竹苗,2017,12,119205,836691,142.472
北北基桃竹苗,2018,1,126168,922693,136.739
北北基桃竹苗,2018,2,113905,922693,123.448
北北基桃竹苗,2018,3,124081,922693,134.477
北北基桃竹苗,2018,4,102064,922693,110.615
北北基桃竹苗,2018,5,86726,922693,93.992
北北基桃竹苗,2018,6,75093,922290,81.42
北北基桃竹苗,2018,7,73825,922467,80.03
北北基桃竹苗,2018,8,80266,922516,87.008
北北基桃竹苗,2018,9,84860,922467,91.992
北北基桃竹苗,2018,10,99209,922693,107.521
北北基桃竹苗,2018,11,93814,922516,101.694
北北基桃竹苗,2018,12,110566,922693,119.83
北北基桃竹苗,2019,1,126711,924645,137.037
北北基桃竹苗,2019,2,106770,924645,115.471
北北基桃竹苗,2019,3,110385,924645,119.381
北北基桃竹苗,2019,4,99973,924465,108.141
北北基桃竹苗,2019,5,95597,924645,103.388
北北基桃竹苗,2019,6,81952,924645,88.631
北北基桃竹苗,2019,7,79036,924645,85.477
北北基桃竹苗,2019,8,75595,924203,81.795
北北基桃竹苗,2019,9,82790,924465,89.554
北北基桃竹苗,2019,10,96156,924645,103.992
北北基桃竹苗,2019,11,101214,924645,109.463
北北基桃竹苗,2019,12,114491,924645,123.822
宜花東,2016,1,8816,65639,134.31
宜花東,2016,2,10875,65639,165.679
宜花東,2016,3,10692,65639,162.891
宜花東,2016,4,7559,65496,115.412
宜花東,2016,5,6515,64952,100.305
宜花東,2016,6,5666,64856,87.363
宜花東,2016,7,5198,64871,80.128
宜花東,2016,8,5996,65410,91.668
宜花東,2016,9,5904,65410,90.261
宜花東,2016,10,6196,65040,95.264
宜花東,2016,11,7545,65496,115.198
宜花東,2016,12,7969,65639,121.406
宜花東,2017,1,7484,63920,117.084
宜花東,2017,2,7714,63914,120.693
宜花東,2017,3,8048,63748,126.247
宜花東,2017,4,7072,63632,111.139
宜花東,2017,5,6916,63914,108.208
宜花東,2017,6,6552,63748,102.78
宜花東,2017,7,5954,63730,93.425
宜花東,2017,8,4945,63932,77.348
宜花東,2017,9,5102,63338,80.552
宜花東,2017,10,6067,63730,95.198
宜花東,2017,11,6633,64036,103.582
宜花東,2017,12,8234,64036,128.584
宜花東,2018,1,8827,75166,117.433
宜花東,2018,2,7855,75324,104.283
宜花東,2018,3,8277,75200,110.066
宜花東,2018,4,6971,75324,92.547
宜花東,2018,5,6016,74998,80.215
宜花東,2018,6,5189,74561,69.594
宜花東,2018,7,5345,75042,71.227
宜花東,2018,8,5376,74425,72.234
宜花東,2018,9,5525,74641,74.021
宜花東,2018,10,6590,75324,87.489
宜花東,2018,11,6132,74952,81.812
宜花東,2018,12,7318,75156,97.371
宜花東,2019,1,8114,75078,108.074
宜花東,2019,2,7044,74954,93.978
宜花東,2019,3,7402,75078,98.591
宜花東,2019,4,6599,74954,88.041
宜花東,2019,5,6345,74665,84.98
宜花東,2019,6,5546,74954,73.992
宜花東,2019,7,5465,74316,73.537
宜花東,2019,8,5332,74148,71.91
宜花東,2019,9,5655,74954,75.446
宜花東,2019,10,6277,74665,84.069
宜花東,2019,11,6388,74761,85.446
宜花東,2019,12,7671,74923,102.385
雲嘉南,2016,1,31080,212762,146.079
雲嘉南,2016,2,38563,212762,181.249
雲嘉南,2016,3,38099,212762,179.069
雲嘉南,2016,4,28231,212680,132.739
雲嘉南,2016,5,23905,212762,112.356
雲嘉南,2016,6,20074,212680,94.386
雲嘉南,2016,7,20344,212762,95.619
雲嘉南,2016,8,22552,212680,106.037
雲嘉南,2016,9,21943,212680,103.174
雲嘉南,2016,10,24777,212680,116.499
雲嘉南,2016,11,27614,212762,129.788
雲嘉南,2016,12,29450,212762,138.418
雲嘉南,2017,1,28909,209567,137.946
雲嘉南,2017,2,29095,209656,138.775
雲嘉南,2017,3,28824,209656,137.482
雲嘉南,2017,4,24921,209656,118.866
雲嘉南,2017,5,23665,209567,112.923
雲嘉南,2017,6,22378,209567,106.782
雲嘉南,2017,7,22352,209567,106.658
雲嘉南,2017,8,19993,209567,95.401
雲嘉南,2017,9,19634,209567,93.688
雲嘉南,2017,10,22849,209567,109.03
雲嘉南,2017,11,24856,209567,118.606
雲嘉南,2017,12,29940,209656,142.805
雲嘉南,2018,1,32454,241373,134.456
雲嘉南,2018,2,29925,241489,123.919
雲嘉南,2018,3,32037,241489,132.664
雲嘉南,2018,4,25943,241373,107.481
雲嘉南,2018,5,21067,241489,87.238
雲嘉南,2018,6,18676,241373,77.374
雲嘉南,2018,7,20216,241373,83.754
雲嘉南,2018,8,21028,241489,87.076
雲嘉南,2018,9,21870,241373,90.607
雲嘉南,2018,10,24071,241373,99.725
雲嘉南,2018,11,24068,241373,99.713
雲嘉南,2018,12,28170,241373,116.707
雲嘉南,2019,1,31062,240225,129.304
雲嘉南,2019,2,26107,240225,108.677
雲嘉南,2019,3,27093,240225,112.782
雲嘉南,2019,4,24507,240343,101.967
雲嘉南,2019,5,23283,240343,96.874
雲嘉南,2019,6,20261,240225,84.342
雲嘉南,2019,7,20827,240225,86.698
雲嘉南,2019,8,20207,240225,84.117
雲嘉南,2019,9,21815,240225,90.811
雲嘉南,2019,10,23043,240225,95.923
雲嘉南,2019,11,25295,240225,105.297
雲嘉南,2019,12,28721,240343,119.5
高屏,2016,1,35537,245680,144.648
高屏,2016,2,43710,245667,177.924
高屏,2016,3,42557,245680,173.221
高屏,2016,4,31144,245161,127.035
高屏,2016,5,26728,245485,108.878
高屏,2016,6,24358,245485,99.224
高屏,2016,7,24586,245133,100.297
高屏,2016,8,27158,245208,110.755
高屏,2016,9,25532,245467,104.014
高屏,2016,10,28432,245485,115.82
高屏,2016,11,31637,245550,128.841
高屏,2016,12,34427,245680,140.129
高屏,2017,1,33981,242028,140.401
高屏,2017,2,33496,242136,138.335
高屏,2017,3,32139,242053,132.777
高屏,2017,4,27475,242134,113.47
高屏,2017,5,26748,241750,110.643
高屏,2017,6,26621,241867,110.065
高屏,2017,7,27198,242134,112.326
高屏,2017,8,24480,241810,101.237
高屏,2017,9,23882,241945,98.708
高屏,2017,10,26847,241945,110.963
高屏,2017,11,29927,242028,123.651
高屏,2017,12,35244,242136,145.555
高屏,2018,1,37173,277604,133.907
高屏,2018,2,34629,277276,124.89
高屏,2018,3,35807,277471,129.048
高屏,2018,4,28618,277276,103.211
高屏,2018,5,24141,277053,87.135
高屏,2018,6,21830,276921,78.831
高屏,2018,7,24918,277018,89.951
高屏,2018,8,25785,277214,93.015
高屏,2018,9,26358,277104,95.12
高屏,2018,10,28537,277409,102.87
高屏,2018,11,29134,277409,105.022
高屏,2018,12,33936,277496,122.294
高屏,2019,1,36988,277118,133.474
高屏,2019,2,30363,276775,109.703
高屏,2019,3,30436,277038,109.862
高屏,2019,4,27542,276885,99.471
高屏,2019,5,26506,276453,95.879
高屏,2019,6,24003,276885,86.689
高屏,2019,7,25642,276531,92.727
高屏,2019,8,24617,276686,88.971
高屏,2019,9,26126,277010,94.314
高屏,2019,10,27280,277010,98.48
高屏,2019,11,30641,277103,110.576
高屏,2019,12,34289,276904,123.83
