region,year,month,case_c,pop_total,case_per_capita(‰)
中彰投,2016,1,2037,291681,6.984
中彰投,2016,2,5180,307906,16.823
中彰投,2016,3,5048,309329,16.319
中彰投,2016,4,2414,295585,8.167
中彰投,2016,5,1005,259685,3.87
中彰投,2016,6,595,233844,2.544
中彰投,2016,7,471,204149,2.307
中彰投,2016,8,664,232275,2.859
中彰投,2016,9,674,227717,2.96
中彰投,2016,10,922,237213,3.887
中彰投,2016,11,1210,256566,4.716
中彰投,2016,12,1366,274905,4.969
中彰投,2017,1,1394,270618,5.151
中彰投,2017,2,1215,265508,4.576
中彰投,2017,3,1255,260490,4.818
中彰投,2017,4,1014,246084,4.121
中彰投,2017,5,1454,274524,5.296
中彰投,2017,6,3243,301998,10.738
中彰投,2017,7,3639,305072,11.928
中彰投,2017,8,1615,276572,5.839
中彰投,2017,9,863,247100,3.493
中彰投,2017,10,801,231054,3.467
中彰投,2017,11,822,239601,3.431
中彰投,2017,12,1275,273189,4.667
中彰投,2018,1,2744,320579,8.56
中彰投,2018,2,3128,328661,9.517
中彰投,2018,3,2485,327146,7.596
中彰投,2018,4,1096,293909,3.729
中彰投,2018,5,649,254002,2.555
中彰投,2018,6,591,236298,2.501
中彰投,2018,7,946,287207,3.294
中彰投,2018,8,976,289018,3.377
中彰投,2018,9,839,272399,3.08
中彰投,2018,10,821,280904,2.923
中彰投,2018,11,862,263809,3.268
中彰投,2018,12,1319,298430,4.42
中彰投,2019,1,2171,306865,7.075
中彰投,2019,2,2042,314662,6.49
中彰投,2019,3,1643,303881,5.407
中彰投,2019,4,1186,303218,3.911
中彰投,2019,5,1363,299867,4.545
中彰投,2019,6,1477,309841,4.767
中彰投,2019,7,1429,306517,4.662
中彰投,2019,8,1285,291086,4.415
中彰投,2019,9,1366,295352,4.625
中彰投,2019,10,1272,296900,4.284
中彰投,2019,11,1236,301436,4.1
中彰投,2019,12,2003,314633,6.366
北北基桃竹苗,2016,1,4329,802352,5.395
北北基桃竹苗,2016,2,9462,826157,11.453
北北基桃竹苗,2016,3,8783,825238,10.643
北北基桃竹苗,2016,4,4346,811968,5.352
