ID1_CITY,year,month,case_c,case_per_capita(‰)
0101,2016,1,1359,36.221
0101,2016,2,1605,42.777
0101,2016,3,1550,41.311
0101,2016,4,1137,30.304
0101,2016,5,1016,27.079
0101,2016,6,846,22.548
0101,2016,7,767,20.442
0101,2016,8,904,24.094
0101,2016,9,864,23.028
0101,2016,10,878,23.401
0101,2016,11,1137,30.304
0101,2016,12,1271,33.875
0101,2017,1,1318,33.652
0101,2017,2,1276,32.579
0101,2017,3,1311,33.473
0101,2017,4,1148,29.311
0101,2017,5,1152,29.413
0101,2017,6,1028,26.247
0101,2017,7,986,25.175
0101,2017,8,838,21.396
0101,2017,9,882,22.52
0101,2017,10,975,24.894
0101,2017,11,1178,30.077
0101,2017,12,1500,38.299
0101,2018,1,1551,37.976
0101,2018,2,1385,33.911
0101,2018,3,1496,36.629
0101,2018,4,1266,30.998
0101,2018,5,1036,25.366
0101,2018,6,893,21.865
0101,2018,7,893,21.865
0101,2018,8,970,23.75
0101,2018,9,1013,24.803
0101,2018,10,1205,29.504
0101,2018,11,1149,28.133
0101,2018,12,1348,33.005
0101,2019,1,1642,40.031
0101,2019,2,1383,33.717
0101,2019,3,1428,34.814
0101,2019,4,1294,31.547
0101,2019,5,1220,29.743
0101,2019,6,1016,24.77
0101,2019,7,975,23.77
0101,2019,8,973,23.721
0101,2019,9,1005,24.501
0101,2019,10,1260,30.718
0101,2019,11,1331,32.449
0101,2019,12,1521,37.081
0102,2016,1,1427,32.495
0102,2016,2,1707,38.871
0102,2016,3,1499,34.135
0102,2016,4,1168,26.597
0102,2016,5,1078,24.548
0102,2016,6,874,19.903
0102,2016,7,869,19.789
0102,2016,8,861,19.607
0102,2016,9,822,18.718
0102,2016,10,915,20.836
0102,2016,11,1173,26.711
0102,2016,12,1296,29.512
0102,2017,1,1312,29.995
0102,2017,2,1306,29.858
0102,2017,3,1382,31.595
0102,2017,4,1139,26.04
0102,2017,5,1148,26.245
0102,2017,6,968,22.13
0102,2017,7,951,21.742
0102,2017,8,801,18.312
0102,2017,9,830,18.975
0102,2017,10,1027,23.479
0102,2017,11,1172,26.794
0102,2017,12,1558,35.619
0102,2018,1,1647,33.901
0102,2018,2,1477,30.402
0102,2018,3,1542,31.74
0102,2018,4,1352,27.829
0102,2018,5,1047,21.551
0102,2018,6,905,18.628
0102,2018,7,918,18.896
0102,2018,8,1021,21.016
0102,2018,9,1021,21.016
0102,2018,10,1199,24.68
0102,2018,11,1265,26.038
0102,2018,12,1443,29.702
0102,2019,1,1737,35.671
0102,2019,2,1486,30.516
0102,2019,3,1528,31.379
0102,2019,4,1351,27.744
0102,2019,5,1257,25.814
0102,2019,6,1091,22.405
0102,2019,7,1061,21.789
0102,2019,8,956,19.632
0102,2019,9,1043,21.419
0102,2019,10,1280,26.286
0102,2019,11,1398,28.709
0102,2019,12,1590,32.652
0109,2016,1,639,35.325
0109,2016,2,728,40.245
0109,2016,3,672,37.15
0109,2016,4,519,28.691
0109,2016,5,446,24.656
0109,2016,6,372,20.565
0109,2016,7,358,19.791
0109,2016,8,394,21.781
0109,2016,9,378,20.897
0109,2016,10,404,22.334
0109,2016,11,507,28.028
0109,2016,12,569,31.456
0109,2017,1,557,31.43
0109,2017,2,578,32.615
0109,2017,3,610,34.42
0109,2017,4,522,29.455
0109,2017,5,451,25.449
0109,2017,6,418,23.587
0109,2017,7,437,24.659
0109,2017,8,360,20.314
0109,2017,9,362,20.427
0109,2017,10,414,23.361
0109,2017,11,558,31.486
0109,2017,12,629,35.493
0109,2018,1,681,34.743
0109,2018,2,639,32.6
0109,2018,3,684,34.896
0109,2018,4,560,28.57
0109,2018,5,475,24.233
0109,2018,6,394,20.101
0109,2018,7,390,19.897
0109,2018,8,401,20.458
0109,2018,9,422,21.53
0109,2018,10,523,26.682
0109,2018,11,506,25.815
0109,2018,12,620,31.631
0109,2019,1,692,36.246
0109,2019,2,588,30.798
0109,2019,3,617,32.317
0109,2019,4,554,29.017
0109,2019,5,527,27.603
0109,2019,6,487,25.508
0109,2019,7,433,22.68
