ID1_CITY,year,week,case_c,case_per_capita(‰)
0101,2019,40,33,0.805
0101,2019,41,37,0.902
0101,2019,42,51,1.243
0101,2019,43,48,1.17
0101,2019,44,52,1.268
0101,2019,45,36,0.878
0101,2019,46,32,0.78
0101,2019,47,37,0.902
0101,2019,48,48,1.17
0101,2019,49,35,0.853
0101,2019,50,40,0.975
0101,2019,51,45,1.097
0101,2019,52,43,1.048
0101,2019,53,14,0.341
0102,2016,2,46,1.048
0102,2016,3,40,0.911
0102,2016,4,31,0.706
0102,2016,5,43,0.979
0102,2016,6,65,1.48
0102,2016,7,50,1.139
0102,2016,8,66,1.503
0102,2016,9,63,1.435
0102,2016,10,82,1.867
0102,2016,11,67,1.526
0102,2016,12,56,1.275
0102,2016,13,44,1.002
0102,2016,14,59,1.344
0102,2016,15,43,0.979
0102,2016,16,65,1.48
0102,2016,17,41,0.934
0102,2016,18,49,1.116
0102,2016,19,40,0.911
0102,2016,20,64,1.457
0102,2016,21,62,1.412
0102,2016,22,43,0.979
0102,2016,23,45,1.025
0102,2016,24,41,0.934
0102,2016,25,45,1.025
0102,2016,26,45,1.025
0102,2016,27,35,0.797
0102,2016,28,42,0.956
0102,2016,29,49,1.116
0102,2016,30,45,1.025
0102,2016,31,38,0.865
0102,2016,32,48,1.093
0102,2016,33,35,0.797
0102,2016,34,48,1.093
0102,2016,35,40,0.911
0102,2016,36,41,0.934
0102,2016,37,45,1.025
0102,2016,38,36,0.82
0102,2016,39,40,0.911
0102,2016,40,34,0.774
0102,2016,41,40,0.911
0102,2016,42,36,0.82
0102,2016,43,32,0.729
0102,2016,44,46,1.048
0102,2016,45,45,1.025
0102,2016,46,48,1.093
0102,2016,47,46,1.048
0102,2016,48,48,1.093
0102,2016,49,44,1.002
0102,2016,50,42,0.956
0102,2016,51,48,1.093
0102,2016,52,51,1.161
0102,2016,53,50,1.139
0102,2017,1,53,1.212
0102,2017,2,41,0.937
0102,2017,3,50,1.143
0102,2017,4,42,0.96
0102,2017,5,29,0.663
0102,2017,6,50,1.143
0102,2017,7,53,1.212
0102,2017,8,60,1.372
0102,2017,9,42,0.96
0102,2017,10,46,1.052
0102,2017,11,45,1.029
0102,2017,12,34,0.777
0102,2017,13,42,0.96
0102,2017,14,47,1.075
0102,2017,15,50,1.143
0102,2017,16,40,0.914
0102,2017,17,40,0.914
0102,2017,18,46,1.052
0102,2017,19,45,1.029
0102,2017,20,41,0.937
0102,2017,21,43,0.983
0102,2017,22,42,0.96
0102,2017,23,46,1.052
0102,2017,24,52,1.189
0102,2017,25,46,1.052
0102,2017,26,57,1.303
0102,2017,27,50,1.143
0102,2017,28,60,1.372
0102,2017,29,53,1.212
0102,2017,30,57,1.303
0102,2017,31,49,1.12
0102,2017,32,35,0.8
0102,2017,33,37,0.846
0102,2017,34,36,0.823
0102,2017,35,30,0.686
0102,2017,36,36,0.823
0102,2017,37,35,0.8
0102,2017,38,41,0.937
0102,2017,39,35,0.8
0102,2017,40,39,0.892
0102,2017,41,28,0.64
0102,2017,42,29,0.663
0102,2017,43,42,0.96
0102,2017,44,35,0.8
0102,2017,45,45,1.029
0102,2017,46,45,1.029
0102,2017,47,42,0.96
0102,2017,48,47,1.075
0102,2017,49,47,1.075
0102,2017,50,43,0.983
