ID1_CITY,year,week,case_c,case_per_capita(‰)
0101,2016,1,9,0.24
0101,2016,2,31,0.826
0101,2016,3,43,1.146
0101,2016,4,70,1.866
0101,2016,5,80,2.132
0101,2016,6,105,2.799
0101,2016,7,99,2.639
0101,2016,8,131,3.491
0101,2016,9,122,3.252
0101,2016,10,134,3.571
0101,2016,11,138,3.678
0101,2016,12,102,2.719
0101,2016,13,90,2.399
0101,2016,14,84,2.239
0101,2016,15,58,1.546
0101,2016,16,53,1.413
0101,2016,17,48,1.279
0101,2016,18,47,1.253
0101,2016,19,28,0.746
0101,2016,20,21,0.56
0101,2016,21,24,0.64
0101,2016,22,24,0.64
0101,2016,23,12,0.32
0101,2016,24,16,0.426
0101,2016,25,9,0.24
0101,2016,26,11,0.293
0101,2016,27,16,0.426
0101,2016,28,10,0.267
0101,2016,29,12,0.32
0101,2016,30,11,0.293
0101,2016,31,14,0.373
0101,2016,32,9,0.24
0101,2016,33,18,0.48
0101,2016,34,14,0.373
0101,2016,35,22,0.586
0101,2016,36,8,0.213
0101,2016,37,22,0.586
0101,2016,38,13,0.346
0101,2016,39,17,0.453
0101,2016,40,18,0.48
0101,2016,41,21,0.56
0101,2016,42,21,0.56
0101,2016,43,34,0.906
0101,2016,44,27,0.72
0101,2016,45,32,0.853
0101,2016,46,27,0.72
0101,2016,47,35,0.933
0101,2016,48,30,0.8
0101,2016,49,30,0.8
0101,2016,50,28,0.746
0101,2016,51,30,0.8
0101,2016,52,30,0.8
0101,2016,53,34,0.906
0101,2017,1,43,1.098
0101,2017,2,32,0.817
0101,2017,3,35,0.894
0101,2017,4,36,0.919
0101,2017,5,26,0.664
0101,2017,6,26,0.664
0101,2017,7,27,0.689
0101,2017,8,33,0.843
0101,2017,9,31,0.792
0101,2017,10,24,0.613
0101,2017,11,21,0.536
0101,2017,12,37,0.945
0101,2017,13,23,0.587
0101,2017,14,21,0.536
0101,2017,15,34,0.868
0101,2017,16,25,0.638
0101,2017,17,24,0.613
0101,2017,18,33,0.843
0101,2017,19,48,1.226
0101,2017,20,45,1.149
0101,2017,21,49,1.251
0101,2017,22,37,0.945
0101,2017,23,53,1.353
0101,2017,24,84,2.145
0101,2017,25,102,2.604
0101,2017,26,136,3.472
0101,2017,27,106,2.706
0101,2017,28,112,2.86
0101,2017,29,107,2.732
0101,2017,30,74,1.889
0101,2017,31,51,1.302
0101,2017,32,43,1.098
0101,2017,33,40,1.021
0101,2017,34,33,0.843
0101,2017,35,26,0.664
0101,2017,36,26,0.664
0101,2017,37,32,0.817
0101,2017,38,30,0.766
0101,2017,39,18,0.46
0101,2017,40,23,0.587
0101,2017,41,17,0.434
0101,2017,42,22,0.562
0101,2017,43,19,0.485
0101,2017,44,32,0.817
0101,2017,45,20,0.511
0101,2017,46,19,0.485
0101,2017,47,27,0.689
0101,2017,48,18,0.46
0101,2017,49,27,0.689
0101,2017,50,35,0.894
0101,2017,51,59,1.506
0101,2017,52,69,1.762
0101,2017,53,7,0.179
0101,2018,1,48,1.175
0101,2018,2,75,1.836
0101,2018,3,82,2.008
0101,2018,4,100,2.448
0101,2018,5,100,2.448
0101,2018,6,97,2.375
0101,2018,7,81,1.983
0101,2018,8,107,2.62
0101,2018,9,92,2.253
0101,2018,10,65,1.591
0101,2018,11,70,1.714
0101,2018,12,51,1.249
0101,2018,13,39,0.955
0101,2018,14,29,0.71
0101,2018,15,28,0.686
0101,2018,16,28,0.686
0101,2018,17,19,0.465
0101,2018,18,22,0.539
0101,2018,19,24,0.588
0101,2018,20,14,0.343
0101,2018,21,15,0.367
0101,2018,22,16,0.392
0101,2018,23,9,0.22
0101,2018,24,13,0.318
0101,2018,25,16,0.392
0101,2018,26,23,0.563
0101,2018,27,18,0.441
0101,2018,28,19,0.465
0101,2018,29,18,0.441
0101,2018,30,17,0.416
0101,2018,31,36,0.881
0101,2018,32,16,0.392
0101,2018,33,15,0.367
0101,2018,34,18,0.441
0101,2018,35,17,0.416
0101,2018,36,21,0.514
0101,2018,37,17,0.416
0101,2018,38,20,0.49
0101,2018,39,25,0.612
0101,2018,40,21,0.514
0101,2018,41,16,0.392
0101,2018,42,20,0.49
0101,2018,43,26,0.637
0101,2018,44,25,0.612
0101,2018,45,18,0.441
0101,2018,46,31,0.759
0101,2018,47,32,0.784
0101,2018,48,29,0.71
0101,2018,49,35,0.857
0101,2018,50,34,0.832
0101,2018,51,40,0.979
0101,2018,52,41,1.004
0101,2018,53,11,0.269
0101,2019,1,44,1.073
0101,2019,2,70,1.707
0101,2019,3,84,2.048
0101,2019,4,90,2.194
0101,2019,5,93,2.267
0101,2019,6,69,1.682
0101,2019,7,72,1.755
0101,2019,8,68,1.658
0101,2019,9,53,1.292
0101,2019,10,60,1.463
0101,2019,11,60,1.463
0101,2019,12,47,1.146
0101,2019,13,49,1.195
0101,2019,14,47,1.146
0101,2019,15,33,0.805
0101,2019,16,25,0.609
0101,2019,17,35,0.853
0101,2019,18,36,0.878
0101,2019,19,28,0.683
0101,2019,20,34,0.829
0101,2019,21,38,0.926
0101,2019,22,28,0.683
0101,2019,23,34,0.829
0101,2019,24,37,0.902
0101,2019,25,35,0.853
0101,2019,26,42,1.024
0101,2019,27,51,1.243
0101,2019,28,37,0.902
0101,2019,29,43,1.048
0101,2019,30,37,0.902
0101,2019,31,35,0.853
0101,2019,32,33,0.805
