平移量(週數),Spearman 係數,Pearson 係數,Kendall Tau
2,0.18574157441732783,0.1485649733972485,0.12422061208611321
104,0.17326376724821865,0.13238512202423086,0.11520290047959772
4,0.172359027828118,0.13718860306847583,0.11517916672668989
3,0.17027077466126359,0.1385003548744832,0.11322900784681796
1,0.1690018072782562,0.1348722881516772,0.1129500615406805
109,0.16811797704575213,0.1292685903599505,0.11236587940268483
5,0.1660858811772481,0.13534378838108524,0.11058703175913168
7,0.16450452478436964,0.13182289860281696,0.10987300616456387
112,0.16348143914962773,0.12210625431436471,0.10924973413734955
108,0.16198254411611981,0.12214725262628223,0.10792624830438587
195,0.1615320737952976,0.09820699781414462,0.10717596767355611
107,0.15994037265525732,0.12148919766772333,0.10665619017272297
53,0.15811456374196436,0.12526540679726764,0.1054133302928007
6,0.15802257259034488,0.1297471183014494,0.10535868666402934
197,0.1573497135189245,0.0994483442347502,0.10414255896872232
55,0.1541954173124347,0.12608645051456208,0.10247160462469337
51,0.15357495489683345,0.1218269464275235,0.10187350040831894
106,0.1531634991944815,0.113262370700527,0.10198258830069784
50,0.1528866108828974,0.12343170805852301,0.10165547560932019
105,0.15235368838385388,0.11467626840353447,0.10146880315337221
52,0.15213231374757086,0.12146740107687384,0.10131659943627916
57,0.15145673446796323,0.12264593108081051,0.10036269032558633
54,0.15057404262165208,0.12245134558332862,0.10016027530170023
8,0.1488446151712468,0.12324191282702185,0.09861758027436968
158,0.14876782686924292,0.12086409337034841,0.09887964254082299
58,0.14856331668007983,0.12105557265576904,0.09860575403907476
110,0.14760241616978148,0.11616054285181272,0.09806992973630863
9,0.14358088596193536,0.11446603368698305,0.09505233618112208
49,0.1434963676385952,0.11354052202351864,0.09536734110398053
111,0.14307790093116357,0.1079660368179856,0.0952221164057628
196,0.1430747620172708,0.06679174102741053,0.09430168632658138
161,0.14265537899027936,0.11450218161771393,0.09423747694835441
199,0.14236896931214707,0.06359541425518639,0.0926625616867784
160,0.14227808513342255,0.1081025684425738,0.09517158693856191
59,0.14131599666724903,0.1134729712946674,0.0940732739553602
103,0.14126216240404865,0.10885412098090136,0.09368332274596507
10,0.1411741492455833,0.11620230962864815,0.09372641954883756
102,0.1373623712256498,0.1125671321626958,0.09118043341047702
113,0.13721508631694954,0.10677026833310198,0.09130394108656929
56,0.1358282625549517,0.11248730963019579,0.09016233980328464
48,0.1336439167472367,0.10383917713121787,0.08863982360197076
101,0.13275862582917644,0.0985615140766515,0.08806108652664821
100,0.13268788916490865,0.09647212484120551,0.08810968894732121
60,0.1326506750361213,0.10224560468723422,0.08824145865612194
115,0.12934904932968705,0.10348101679144053,0.08640980178339387
62,0.1292751349273634,0.10078502633423614,0.08560018937702514
198,0.12797800728723172,0.0647190390269604,0.08399590612788632
163,0.124293188102325,0.09903837226865998,0.08275454869939396
164,0.12288404010417954,0.09670782212867222,0.08181962958430228
61,0.1223158001973715,0.09845032085302118,0.08080675597786824
47,0.12095478502775395,0.09374143269716113,0.0803138292102897
155,0.12021606505744789,0.09607666243917024,0.08020114604154405
12,0.11888686207725958,0.10160077465587421,0.07836074025012835
157,0.1183897072877007,0.09671656771620991,0.07861002907722141
156,0.11791664448928864,0.0972592835104352,0.07793784635068596
11,0.11524050747532676,0.09257845459095933,0.07577806003412027
13,0.11504028241902535,0.10005595288277937,0.0758640124741289
191,0.11494824272677927,0.06852383277944632,0.0752927921417466
116,0.11494805652992812,0.08788737549760095,0.07651052029094427
46,0.11458964471764405,0.088712309368736,0.07576644882631524
153,0.11183772944309048,0.0811967634937496,0.07334751868950487
165,0.11123667078380148,0.08832738694756209,0.07386866116509948
63,0.1109366117745682,0.09687876037978842,0.07315497667220049
166,0.10848277461077686,0.08839584618974146,0.07201717799755618
168,0.10786374769575519,0.08236212891240689,0.07180584524284606
162,0.10760173756605904,0.09304009780340045,0.07110950544549043
99,0.10743767011754249,0.07868916249398332,0.07104823483400598
152,0.1072360865186825,0.07950151119771089,0.07071466128580038
45,0.10681202984306463,0.08168028908447852,0.07037519307946771
114,0.10551418074242816,0.07624299102548988,0.07021759897377862
98,0.10543823149359625,0.07680799568757253,0.06948382371633328
193,0.10472488351961085,0.06212057408813512,0.06967018021833613
65,0.10257632472203827,0.08530233860057812,0.06771512688787742
154,0.10192513592961329,0.07221496692971566,0.06713792975801607
97,0.1015648602457087,0.08061316770511284,0.06674592454455504
96,0.09982139571466332,0.07329596722639642,0.06565758334753824
44,0.09864750800632578,0.07365698321615992,0.0652051752975173
167,0.09576598833027707,0.07158100298716766,0.06420574233597813
117,0.0949809609219985,0.08014224320858956,0.06277135000940202
194,0.09407575362345603,0.056434393428713106,0.06287381242905687
14,0.08899211960668263,0.07930175096053624,0.05848038326210813
64,0.088556777777319,0.07612509274842369,0.05808802792530999
66,0.08811943716898557,0.07236903953213848,0.0580411137069913
189,0.08752746670733424,0.06843529272012623,0.05761208502047719
149,0.08683757290494334,0.05871362786735027,0.05687309079798172
42,0.08680880101150545,0.0672614321072379,0.05719888938769811
15,0.0867341302077817,0.07793476253316763,0.05684250542201738
43,0.08277832864015985,0.06209394988328135,0.054665836365178445
169,0.0821486027470506,0.066508435523528,0.05417773931220686
118,0.08155691469102579,0.07020225143039738,0.05408783650526588
17,0.08080769932709109,0.07250208171169949,0.05271380592416491
92,0.07947952218416587,0.059033030468090004,0.05222204614429265
192,0.07762029719257559,0.045767518326049646,0.05124066057422072
159,0.07758356864376381,0.0534852604115777,0.05191625652484784
39,0.07664517693618897,0.058585274152183425,0.05040877549925272
41,0.07654293360096391,0.05653542808913421,0.050219435874415345
151,0.07293772663718481,0.0453916863017742,0.0477555548668745
70,0.07063239455299565,0.06469792789008627,0.04602887121868302
95,0.06913736437598843,0.05137561679085534,0.04552820676918893
94,0.06909603056776019,0.04797448674537113,0.045053181704653736
67,0.06892441371330092,0.05913502547013594,0.04478328538130839
150,0.068655944177346,0.059433454636152745,0.044266267376166506
190,0.06853917070952126,0.03308329455219504,0.04531074534940096
120,0.06826909536278745,0.05926907015792615,0.04480412225122873
148,0.06791826037548358,0.05081535913233968,0.04398582078116711
91,0.06700248058086032,0.05254110620013737,0.043886327083724815
16,0.06628601745573069,0.059364678462653274,0.042913424216612525
40,0.06465908128787616,0.043699637824712714,0.04252381134248299
119,0.06359992111904393,0.05033674881379835,0.041800402631394507
38,0.06255597772678236,0.045051024768440424,0.04107598018119465
93,0.062183003034179965,0.045595333613184505,0.04072414959708665
36,0.060875661504546076,0.03638191010026186,0.03998996853364566
68,0.05974225111353048,0.0558669851960299,0.03863917010940475
188,0.058318334130496384,0.03308120881757007,0.038666400956619155
37,0.0580285780697592,0.043071518709705055,0.037860831444559095
34,0.0574283788194488,0.04132898208155141,0.03796223264530828
90,0.057319312215694126,0.04217228684355703,0.037544280882654484
171,0.05515123792512539,0.05172339566412792,0.036526584329082956
18,0.05488534961966902,0.0516067155261492,0.03530362540628854
170,0.05475060241884828,0.05440433840532321,0.03582024394138974
121,0.05394437043781945,0.05374779684420397,0.03511320876843594
19,0.05367038697706612,0.05096917414858573,0.03450946703358332
20,0.05266294941834994,0.045492348104591365,0.034237580415441386
88,0.0524293111262998,0.03574252339769971,0.03441839124465878
87,0.052121308087867156,0.031093241643823526,0.03435994558731433
172,0.050772355708119284,0.056202741919800736,0.0332172069364062
146,0.05059067663767198,0.03282238736303597,0.03210567972908225
33,0.04954071650747326,0.03304876382035699,0.032634820325175
124,0.049394269520868755,0.04350835862051822,0.03200276843684858
71,0.048174068295745,0.04192632104844126,0.030934389148854
21,0.04816844958146565,0.03939409004730782,0.030751328310074055
35,0.047514305721085885,0.028348173074406083,0.03129889657652358
89,0.04745568381207252,0.0339510220851378,0.031008498677208923
73,0.046310482547810526,0.036515554488376505,0.029572144501925905
143,0.044155626451824435,0.03322151449531523,0.028766371181947116
69,0.04297716636961709,0.043907403800945495,0.027496388018808382
144,0.041745055693841314,0.027208705446079857,0.026611869169559467
75,0.04141358565022932,0.03162155717585852,0.026619148326196787
29,0.041148951703936974,0.020541762176749235,0.02679799336283424
31,0.04034951232663354,0.027013071401248395,0.026161145014466994
145,0.0398766823840123,0.020930385996183687,0.02557980313053423
84,0.03943369149402328,0.023922692879128606,0.025509436193819623
83,0.038582666935895536,0.025475525416160473,0.02506871794927501
132,0.03785888810489732,0.021914504782349135,0.024455897821050936
30,0.037360289551236346,0.023389247523606306,0.024338548248881042
72,0.03726088946354621,0.03241185336684311,0.023690679272691365
85,0.03601240968752922,0.021026614261251807,0.023522678237338737
137,0.035508465800251604,0.013696335039103422,0.022559257912024677
140,0.03504746945353225,0.014826510195773586,0.02294664443437936
26,0.034301715812031716,0.022660517194440635,0.022155101566562967
32,0.03264055587919931,0.020793629899312174,0.021161611156918024
187,0.032612949522900385,0.014012025437048136,0.021428914808162326
136,0.031853881331566275,0.01737947779078369,0.020535923832629463
25,0.03071653851359968,0.019518839461650502,0.019719070441299485
122,0.02971853002873492,0.03914981217393502,0.018475586208049233
76,0.029595361615432556,0.023765819605887705,0.01878303048367344
81,0.02931816731909094,0.018066694348504192,0.018862813520552205
123,0.02900061136184376,0.0319323518891835,0.018596382389231662
27,0.0285583698530064,0.02264130537085045,0.01824947297956809
22,0.027672458310615405,0.02614258606087873,0.017369690752677948
79,0.027644021964586908,0.022630786476108333,0.017580055103622944
141,0.026751625789381422,0.009641027837099666,0.017278178524094346
82,0.026653414895021314,0.015261909023975246,0.017170678236538187
74,0.026533371613819124,0.023350635579817765,0.016602927828353466
23,0.026448702423561586,0.027067260375481517,0.01636538987362152
86,0.024673681089762506,0.01504471779171402,0.015753190591115036
28,0.024600853989021315,0.013245642348951613,0.015454560771317386
80,0.023767610625402672,0.014574300254723987,0.015152340688257581
24,0.023698566255686424,0.01799914165085384,0.014643776221336967
129,0.022412634493457605,0.02306637316294414,0.013918383650787538
173,0.019929652677911427,0.018902368639028926,0.01208661000723932
77,0.01890964226911237,0.017125124766308494,0.011582744979539735
78,0.018589049864058176,0.01434534329209654,0.011608601167395899
142,0.017462242025878295,0.010295438806143722,0.011205473381759657
128,0.01635147798425319,0.007358808405443725,0.00991119965998481
147,0.014880421574646873,0.004086269402872884,0.008482090215772953
185,0.014137124275692166,0.014571181686179959,0.008581675785899068
135,0.014041110903342842,0.003354282487528501,0.008712734399069475
138,0.011980515915133329,-0.0019167611322524457,0.007151807113000669
126,0.01084534574663891,0.009514338243951138,0.006153792048746793
186,0.008454481523420541,0.006306709687539471,0.00499505160454837
174,0.0077155195885193015,0.026970212768588277,0.004502751418575832
133,0.0075003196974458945,-0.0009546851276467037,0.004278674653186929
125,0.005005438344895124,0.011782732781987292,0.0018506145879113322
134,0.003329104021341769,-0.0016326600929215266,0.0015819275308680473
176,0.0016706819383832474,0.011926025493999362,0.0002728579703911062
127,-0.0009133083454787108,-0.0036429607886449295,-0.001762083574383883
184,-0.0014404427654128788,0.004701147858209994,-0.00253238872290616
177,-0.004771254907090613,0.006455834600147411,-0.004342748775644185
175,-0.004996426674214276,0.014557886769329516,-0.004370684285409465
139,-0.005265410659280398,-0.010654283419496919,-0.004173203972063074
131,-0.008595193364157342,-0.010284647620202168,-0.00679730936658462
130,-0.017227096141786424,-0.005478563606460491,-0.01295011137277566
180,-0.018321588134776634,-0.0042100628006066605,-0.013387335478400398
183,-0.023780795409553065,-0.011001535737832677,-0.01769119124444164
182,-0.0325864723439583,-0.015714848311652863,-0.022608498418146016
181,-0.03273881220977193,-0.018039628442925483,-0.023300688398777806
178,-0.03368632523729047,-0.013159462770564557,-0.023918939870671976
179,-0.04821516271444593,-0.02565297063251448,-0.03406202212383715
