平移量(週數),Spearman 係數,Pearson 係數,Kendall Tau
2,0.14464292180079016,0.13807147719352847,0.09711835992829876
104,0.14311838419253844,0.1386819503923054,0.09626688176690266
160,0.1334001909610657,0.12005852695125362,0.08935868037285763
107,0.12953150380550923,0.11539805500305236,0.08718595305869144
53,0.1279152907213305,0.11943526106676138,0.0857711619572438
158,0.12751031127214585,0.13351142259429563,0.08576047829006364
1,0.1264771065181333,0.1169404927672901,0.0851199313231209
51,0.12638266659701117,0.12433555311194613,0.0848421415646399
103,0.12382986998480548,0.11153038499374644,0.08323841601842609
54,0.12337426341125733,0.11723243419454578,0.08275315080918366
108,0.12284381568544968,0.10895169496289743,0.08263263983420807
4,0.12148338604373977,0.11189080982577392,0.0816069992693231
109,0.12065488425583841,0.11210771570362933,0.08123974823491546
3,0.11703817115872572,0.11389405729591849,0.0785332819902039
55,0.1152689023634851,0.11501927486229797,0.07717795938436195
155,0.11493932366140132,0.10383324364765849,0.07712750782807316
50,0.11367263845249827,0.108875557021627,0.07636552424737858
5,0.11295317547122032,0.11440464651035141,0.07578720130375281
49,0.10934954391085533,0.10676778762741142,0.0732773243013199
156,0.10909963746732881,0.10739645262490141,0.0732764439768897
112,0.10820531264214622,0.10127425831423642,0.07305693599831778
106,0.10741571661495376,0.09059473369464112,0.07241216901361319
52,0.10681472714583878,0.09675495433713437,0.0717259243938202
105,0.10672200524987427,0.09835892655527313,0.07184940862026352
57,0.1061742795210302,0.10505992177756925,0.07119728808944346
163,0.10572754444695452,0.09703319864015618,0.07159391684067956
7,0.10459243752761067,0.10643046910646226,0.07034463288735453
102,0.10384360267149072,0.09347576056234363,0.06995744980481038
56,0.09789506298707903,0.08759651766274336,0.06568996373432882
6,0.09710914339307675,0.09552912169062498,0.06533169576986077
58,0.09658158457068593,0.09620924885106133,0.06469188691129893
157,0.09623797041373269,0.07818761785939089,0.06462616017215522
101,0.0915235085587037,0.0799191688241358,0.061707055991027035
111,0.09142101091153235,0.0768113161488749,0.061926598714049055
59,0.09035110906529831,0.09602195464858851,0.06069154560269661
162,0.08813702511367487,0.07295513709134964,0.058739952358744824
48,0.08722432648881319,0.07895239735561674,0.058505996244743695
110,0.08668394322307756,0.0877943687326829,0.058434013367295
161,0.08175377319856533,0.08020730842295815,0.0546071692428258
154,0.08065699664849582,0.0699823018517652,0.05495463138220992
100,0.08053076420637653,0.07376634197179124,0.054150119125674565
47,0.0792706631646799,0.07997914251456388,0.05306354562841035
153,0.07204385071279071,0.05942021834684975,0.04874620775217732
46,0.06967736108639871,0.06982537780086377,0.04664399434279823
113,0.06870988008129837,0.06939263369161991,0.04646201886526432
8,0.06416281400644891,0.06219582051740333,0.0432429186242426
164,0.05994275657044222,0.05325470488325132,0.04055954484042744
99,0.05846107399623777,0.054931497689542294,0.039389335792447425
152,0.057671822773407884,0.05533472529313763,0.03904956156182813
166,0.05689321364448983,0.04490541338549759,0.038210161319494076
60,0.0545306872947673,0.04482216247275124,0.036730611055005226
165,0.05302411623107435,0.05142887794988415,0.035605227841443716
96,0.05275348680048689,0.048362756758808544,0.03542988733827533
159,0.05187133750604037,0.02553526837232539,0.03532760226851976
97,0.051613576076614875,0.052831684261244995,0.0344847229503867
149,0.0510856944389274,0.040405754125103804,0.03425316900581865
98,0.05061049098353355,0.04869074953518713,0.03410348366336474
9,0.049262364435919956,0.04781877020630122,0.03314585304702454
150,0.04902693887129715,0.06259079566252286,0.03294568632935164
45,0.048743884161736334,0.05178459650347631,0.0325990095183302
115,0.04628224986647567,0.047920633074147324,0.031475075411351375
61,0.04543219421474451,0.043319629201669096,0.030632236947578936
10,0.04327580033320609,0.04585206464074747,0.02905369105109735
44,0.042057381293938705,0.04567571810776264,0.02814293939854342
43,0.037370362691767876,0.04321637113574669,0.025118564400545357
114,0.03644091475354302,0.02388973686889415,0.024714747701861273
151,0.03615625444977166,0.036681784263507225,0.024938477128585865
95,0.034013933845779984,0.03252931330679609,0.02283908387034585
62,0.032531734497246084,0.030140456654386177,0.021951170113613482
167,0.031066548458907054,0.01726755238713623,0.021204867525487458
42,0.030285003472951735,0.03778151849689339,0.020226245238926435
195,0.025799765687500368,0.02351559288338491,0.01733835118048332
196,0.024691494151953597,0.0224880724037142,0.01598420361400908
92,0.022517892677046583,0.025392799180297666,0.01504675628647505
148,0.022443532310645484,0.01870813665579249,0.015124221782294589
41,0.0197007032847073,0.025198664949424437,0.012994377516161691
11,0.018604980634252415,0.021746174185647223,0.01259327761397031
168,0.018505416407800835,0.009534588979232378,0.012712817419725561
12,0.017249318606844168,0.02363686743845148,0.011610874930838485
192,0.012897070539944856,0.01857637090209935,0.008550492127781415
116,0.01288830235932004,0.004312424914042308,0.008973997863677056
63,0.008670598724576394,0.014004512022815503,0.005827692884941684
94,0.007922809731778793,0.007333736548565619,0.00549744558458604
91,0.007380042123079161,0.00744137045056706,0.005002262084600408
39,0.0011760298048899935,0.0009225697147455404,0.0008264930923418572
90,0.0008211864170743264,0.0013888462831357596,0.0005980181848442141
146,0.000751712783286604,0.004800148756773688,0.0007921457913999214
191,-0.0023412537014013885,-0.0017092792220748721,-0.0011227107688069678
93,-0.002739789566025775,0.0003535550985287522,-0.0016848513514596607
143,-0.004533795109110222,-0.00638833342016837,-0.0030159012840637236
13,-0.006970856039877784,0.007363451669704707,-0.004655368838017279
117,-0.00726120345615153,-0.0014895232909116051,-0.0046513923198347965
169,-0.008565981579874848,-0.013106017740821868,-0.005602910821873184
38,-0.010133320443695444,-0.0057310722013698325,-0.006679788893951795
65,-0.01032618421473847,-0.004735999839613938,-0.006948797797695549
144,-0.011819795614373556,-0.01575433398545383,-0.00795702079867321
40,-0.013370401739847174,-0.013998694814014962,-0.008719321992755616
145,-0.013482540475907703,-0.019689381219151855,-0.00903906733248962
118,-0.02082978388940175,-0.010588010063596415,-0.013753186292105422
198,-0.022161289854327613,-0.01586502339785765,-0.015013985908624917
197,-0.022377667250881365,-0.019641189135586004,-0.015333518180380756
64,-0.022582760319415293,-0.021656034446975385,-0.015152076931144396
170,-0.024229384154482694,-0.028905041488232194,-0.01623320528257276
37,-0.025487078931404273,-0.019575696129901943,-0.016927827532235918
36,-0.025695459771038483,-0.025946450634202537,-0.017088614160940915
88,-0.03176566975152342,-0.03438081847141709,-0.021265934582245277
89,-0.03298874922893325,-0.033120239257113576,-0.021978567284786404
87,-0.033399918663075984,-0.037554966349444184,-0.02228914450885739
147,-0.034088731580401946,-0.041582751424505564,-0.0224280998220069
14,-0.034909775119589315,-0.02255375600021815,-0.023518412077714206
171,-0.038564961407096164,-0.04408735581942262,-0.02578669660048855
66,-0.03858103376261919,-0.03042774589074893,-0.025785739796849713
34,-0.04107178568511714,-0.04282662007200128,-0.02751180691433885
193,-0.04419782604880436,-0.03632679281030327,-0.02960412936107015
140,-0.048067464707579076,-0.05989066178420971,-0.032318561436385874
189,-0.04980221865579543,-0.05359148806780371,-0.03301848282398606
199,-0.04980696114538866,-0.04206613884359717,-0.032551149900540026
119,-0.049929978630605144,-0.05169673282705635,-0.0330881397529138
15,-0.05020309859413465,-0.03284764401738134,-0.0337949067238815
35,-0.05291564299006357,-0.05361771895748224,-0.03536190261990488
194,-0.057088844031322125,-0.05071149659859971,-0.038188123478220634
67,-0.05712082019341401,-0.04921586940885875,-0.03831450370426593
120,-0.05902554230788593,-0.043825807086363654,-0.03949301041917426
142,-0.06042136989836226,-0.06541995439301575,-0.040534102511518094
172,-0.06147607047929323,-0.06587363870989403,-0.041371747299366365
141,-0.06308756649124804,-0.06947220500685022,-0.042650623380460655
188,-0.063737485009759,-0.06254229273655043,-0.042787902087638746
86,-0.06566057127672165,-0.0687348183043564,-0.04404559671282911
33,-0.06686642839762298,-0.06609673334172082,-0.044950507470806936
85,-0.0698489099182391,-0.07367220798990608,-0.046870067643821844
17,-0.07357052867514295,-0.05407168616566803,-0.04946436654639313
16,-0.07664564902261874,-0.062369590291241714,-0.051495819645213305
121,-0.07860938894513712,-0.06790549212539757,-0.05277534681206767
84,-0.078768023286576,-0.08141871302657529,-0.052898747277036716
138,-0.08355148093517085,-0.08726383797750442,-0.0560923118433079
68,-0.08366950704889546,-0.06585961207295554,-0.05621763649666055
190,-0.08646614077798337,-0.08635245917220029,-0.05762883304953614
70,-0.08655630335020739,-0.07328580242114223,-0.058309983551420454
32,-0.0879963858223086,-0.08324827797723743,-0.05914941690578588
139,-0.08844644799426038,-0.09134279772543463,-0.05943127202263195
83,-0.09037906460843273,-0.08967019398180437,-0.06064761646076706
31,-0.09287946919246139,-0.08887883316468904,-0.06246159346621207
137,-0.0940149819593138,-0.09676290559640421,-0.06374611548255807
187,-0.09493362271599687,-0.09291440207829593,-0.06359957978363057
136,-0.09616646083614032,-0.10118368205504907,-0.06481429585486219
82,-0.09895088062502648,-0.09797166045648278,-0.06631247877166253
30,-0.10141110366046678,-0.09845097461557673,-0.06804445395419949
124,-0.1019665823086281,-0.08283848259819454,-0.06883510144944929
174,-0.10251968432919509,-0.09946330626377439,-0.0686184715069331
18,-0.10282493414307008,-0.08371894351109802,-0.06901149509740492
29,-0.10364218468339821,-0.09863237653600669,-0.06953430693470425
175,-0.10628180301343192,-0.09848552068734406,-0.07129666145763427
173,-0.1083499693885795,-0.10672652466720577,-0.07274917054190545
122,-0.10872917956833411,-0.08735601846118347,-0.07333141737717731
19,-0.11084352286285296,-0.09271616567763859,-0.07438803315166935
123,-0.11399538639549224,-0.11661121187279021,-0.07690176472007725
