ID1_CITY,year,week,case_c
0101,2016,1,3
0101,2016,2,46
0101,2016,3,53
0101,2016,4,53
0101,2016,5,60
0101,2016,6,83
0101,2016,7,22
0101,2016,8,67
0101,2016,9,57
0101,2016,10,71
0101,2016,11,62
0101,2016,12,61
0101,2016,13,41
0101,2016,14,69
0101,2016,15,28
0101,2016,16,47
0101,2016,17,45
0101,2016,18,55
0101,2016,19,46
0101,2016,20,68
0101,2016,21,59
0101,2016,22,54
0101,2016,23,41
0101,2016,24,46
0101,2016,25,43
0101,2016,26,53
0101,2016,27,35
0101,2016,28,46
0101,2016,29,50
0101,2016,30,60
0101,2016,31,47
0101,2016,32,48
0101,2016,33,32
0101,2016,34,40
0101,2016,35,39
0101,2016,36,37
0101,2016,37,37
0101,2016,38,39
0101,2016,39,53
0101,2016,40,24
0101,2016,41,49
0101,2016,42,43
0101,2016,43,47
0101,2016,44,34
0101,2016,45,50
0101,2016,46,52
0101,2016,47,52
0101,2016,48,58
0101,2016,49,47
0101,2016,50,52
0101,2016,51,51
0101,2016,52,46
0101,2016,53,61
0101,2018,1,44
0101,2018,2,57
0101,2018,3,65
0101,2018,4,58
0101,2018,5,57
0101,2018,6,72
0101,2018,7,45
0101,2018,8,54
0101,2018,9,56
0101,2018,10,56
0101,2018,11,58
0101,2018,12,51
0101,2018,13,70
0101,2018,14,43
0101,2018,15,71
0101,2018,16,64
0101,2018,17,73
0101,2018,18,44
0101,2018,19,52
0101,2018,20,54
0101,2018,21,52
0101,2018,22,48
0101,2018,23,55
0101,2018,24,55
0101,2018,25,41
0101,2018,26,57
0101,2018,27,62
0101,2018,28,36
0101,2018,29,47
0101,2018,30,44
0101,2018,31,47
0101,2018,32,44
0101,2018,33,45
0101,2018,34,45
0101,2018,35,38
0101,2018,36,42
0101,2018,37,36
0101,2018,38,41
0101,2018,39,47
0101,2018,40,46
0101,2018,41,39
0101,2018,42,49
0101,2018,43,37
0101,2018,44,49
0101,2018,45,43
0101,2018,46,41
0101,2018,47,47
0101,2018,48,41
0101,2018,49,62
0101,2018,50,55
0101,2018,51,52
0101,2018,52,49
0101,2018,53,9
0101,2019,1,38
0101,2019,2,59
0101,2019,3,38
0101,2019,4,46
0101,2019,5,83
0101,2019,6,15
0101,2019,7,59
0101,2019,8,62
0101,2019,9,50
0101,2019,10,49
0101,2019,11,57
0101,2019,12,58
0101,2019,13,66
0101,2019,14,43
0101,2019,15,61
0101,2019,16,56
0101,2019,17,55
0101,2019,18,49
0101,2019,19,52
0101,2019,20,59
0101,2019,21,38
0101,2019,22,55
0101,2019,23,41
0101,2019,24,67
0101,2019,25,53
0101,2019,26,56
0101,2019,27,38
0101,2019,28,45
0101,2019,29,41
0101,2019,30,43
0101,2019,31,36
0101,2019,32,42
0101,2019,33,33
0101,2019,34,54
0101,2019,35,39
0101,2019,36,43
0101,2019,37,33
0101,2019,38,41
0101,2019,39,46
0101,2019,40,48
0101,2019,41,36
0101,2019,42,46
0101,2019,43,54
0101,2019,44,60
0101,2019,45,50
0101,2019,46,45
0101,2019,47,41
0101,2019,48,51
0101,2019,49,65
0101,2019,50,57
0101,2019,51,49
0101,2019,52,46
0101,2019,53,23
0102,2016,1,11
0102,2016,2,78
0102,2016,3,66
0102,2016,4,72
0102,2016,5,68
0102,2016,6,114
0102,2016,7,36
0102,2016,8,85
0102,2016,9,88
0102,2016,10,91
0102,2016,11,79
0102,2016,12,69
0102,2016,13,65
0102,2016,14,81
0102,2016,15,57
0102,2016,16,81
0102,2016,17,80
0102,2016,18,83
0102,2016,19,65
0102,2016,20,67
0102,2016,21,69
0102,2016,22,55
0102,2016,23,71
0102,2016,24,45
0102,2016,25,46
0102,2016,26,60
0102,2016,27,49
0102,2016,28,43
0102,2016,29,69
0102,2016,30,62
0102,2016,31,56
0102,2016,32,51
0102,2016,33,55
0102,2016,34,67
0102,2016,35,62
0102,2016,36,64
0102,2016,37,56
0102,2016,38,43
0102,2016,39,47
0102,2016,40,53
0102,2016,41,64
0102,2016,42,55
0102,2016,43,53
0102,2016,44,62
0102,2016,45,52
0102,2016,46,50
0102,2016,47,47
