ID1_CITY,C_NAME,year,total_pop
0522,臺南市山上區,2016,765
0523,臺南市玉井區,2016,858
0524,臺南市楠西區,2016,605
0525,臺南市南化區,2016,500
0526,臺南市左鎮區,2016,304
0527,臺南市仁德區,2016,6896
0528,臺南市歸仁區,2016,3709
0529,臺南市關廟區,2016,2028
0530,臺南市龍崎區,2016,271
0531,臺南市永康區,2016,16162
0532,臺南市東區,2016,9929
0533,臺南市南區,2016,8115
0534,臺南市中西區,2016,12936
0535,臺南市北區,2016,7940
0537,臺南市安南區,2016,8153
0538,臺南市安平區,2016,5202
0701,高雄市鳳山區,2016,24096
0702,高雄市岡山區,2016,7126
0703,高雄市旗山區,2016,2130
0704,高雄市美濃區,2016,2207
0705,高雄市林園區,2016,3044
0706,高雄市大寮區,2016,7468
0707,高雄市大樹區,2016,2358
0708,高雄市仁武區,2016,6377
0709,高雄市大社區,2016,2378
0710,高雄市鳥松區,2016,3947
0711,高雄市橋頭區,2016,1994
0712,高雄市燕巢區,2016,3125
0713,高雄市田寮區,2016,469
0714,高雄市阿蓮區,2016,1532
0715,高雄市路竹區,2016,3599
0716,高雄市湖內區,2016,1626
0717,高雄市茄萣區,2016,1449
0718,高雄市永安區,2016,1240
0719,高雄市彌陀區,2016,938
0720,高雄市梓官區,2016,1880
0721,高雄市六龜區,2016,801
0722,高雄市甲仙區,2016,527
0723,高雄市杉林區,2016,672
0724,高雄市內門區,2016,894
0725,高雄市茂林區,2016,83
0726,高雄市桃源區,2016,130
0727,高雄市那瑪夏區,2016,112
0728,高雄市鹽埕區,2016,1769
0729,高雄市鼓山區,2016,7083
0730,高雄市左營區,2016,10643
0731,高雄市楠梓區,2016,10731
0732,高雄市三民區,2016,21176
0733,高雄市新興區,2016,8571
0734,高雄市前金區,2016,5097
0735,高雄市苓雅區,2016,13233
0736,高雄市前鎮區,2016,21548
0737,高雄市旗津區,2016,593
0738,高雄市小港區,2016,10949
1101,基隆市中正區,2016,4063
1102,基隆市七堵區,2016,2329
1103,基隆市暖暖區,2016,969
1104,基隆市仁愛區,2016,7797
1105,基隆市中山區,2016,1451
1106,基隆市安樂區,2016,2542
1107,基隆市信義區,2016,2678
1200,新竹市,2016,48479
2200,嘉義市,2016,20262
3101,新北市板橋區,2016,36277
3102,新北市三重區,2016,28691
3103,新北市永和區,2016,9490
3104,新北市中和區,2016,30998
3105,新北市新店區,2016,19836
3106,新北市新莊區,2016,21548
3107,新北市樹林區,2016,12630
3108,新北市鶯歌區,2016,4014
3109,新北市三峽區,2016,4943
3110,新北市淡水區,2016,8584
3111,新北市汐止區,2016,14826
3112,新北市瑞芳區,2016,3398
3113,新北市土城區,2016,13125
3114,新北市蘆洲區,2016,7896
3115,新北市五股區,2016,9763
3116,新北市泰山區,2016,4436
3117,新北市林口區,2016,5441
3118,新北市深坑區,2016,1768
3119,新北市石碇區,2016,296
3120,新北市坪林區,2016,309
3121,新北市三芝區,2016,1005
3122,新北市石門區,2016,393
3123,新北市八里區,2016,2116
3124,新北市平溪區,2016,197
3125,新北市雙溪區,2016,188
