平移量(月數),Spearman 係數,Pearson 係數,回歸斜率
1,0.031011536628218334,0.055441026512713425,0.0002757520001839753
0,0.023145831280714048,0.06649537407169645,0.00033141459452804836
2,0.000649721470446989,0.003874451047149684,1.841962562380543e-05
24,-0.00037155487032264535,-0.009490560452560129,-4.14820520517839e-05
25,-0.014235015850686284,-0.017663682998710264,-7.675215878338654e-05
14,-0.03691237463425013,-0.042218085308101505,-0.0001899976378849352
26,-0.04577248105974044,-0.0611355790990859,-0.0002639758337413944
13,-0.04665813553309634,-0.04040810203408087,-0.00018262957753853126
3,-0.051726798978324606,-0.05980402975499052,-0.000272950247668352
15,-0.06021432988856103,-0.07684775793187412,-0.0003417411882901457
12,-0.06928828932654425,-0.05894823637054298,-0.0002666462071145223
23,-0.07681129588760023,-0.0805498013295816,-0.0003541096753702584
27,-0.1096623202945843,-0.12930032039479925,-0.0005389260879820462
38,-0.1196158463385354,-0.09891797461660815,-0.00043463492487350546
37,-0.12406428689404439,-0.09732120537460362,-0.00042348199680456995
36,-0.12570333015008814,-0.11203990992896767,-0.0004714748201136573
11,-0.12897475686789178,-0.11722083733272343,-0.0005279302936528457
16,-0.1376628056704947,-0.1536285519658288,-0.0006780434494570639
39,-0.14281949934123844,-0.14672622724646095,-0.000628173700153038
4,-0.15308790154568752,-0.15544340276557803,-0.0007026832562291196
22,-0.16629522810759453,-0.17066922328547998,-0.0007466208790492891
28,-0.17895643251335422,-0.18438973262401012,-0.0007524468992090705
35,-0.1908237633829318,-0.17287889774702492,-0.000705230009479441
10,-0.20395360992759595,-0.1939678747123126,-0.0008755549048025761
29,-0.2195486406390845,-0.22270180946395046,-0.0009011737219604566
17,-0.24806040420966788,-0.25574810412963556,-0.0011335571929666712
34,-0.2511088365841568,-0.23653566996176506,-0.0009593927158047668
5,-0.2533040119663043,-0.244220325698085,-0.00110278151436994
21,-0.2766102736577187,-0.2762276608472133,-0.0012111782356433664
30,-0.28098234754465884,-0.2752275208138759,-0.001110626144215777
9,-0.298250291820942,-0.281642081329553,-0.0012789837417837358
33,-0.2988641455562474,-0.2913075560177828,-0.0011641675975365233
6,-0.32728945471669224,-0.3157503605148762,-0.0014394676278428268
32,-0.3294909135717243,-0.3334819825214253,-0.0013596850860156493
31,-0.3431715026985588,-0.3345417455491243,-0.001380628949317328
20,-0.3507059777970332,-0.35292247324223036,-0.00155621597984524
8,-0.35369300550014465,-0.3404770010438058,-0.001562395908359093
18,-0.3567080433945695,-0.35204652797191915,-0.001561879980789263
7,-0.3649962477827401,-0.34934084934080323,-0.0016101500177905857
19,-0.39380883681551004,-0.38573043790344463,-0.0017090288356152508
