平移量(月數),Spearman 係數,Pearson 係數,Kendall Tau,Mutual Info,R² (2次),R² (3次)
24,0.7129106187929717,0.6899444114394682,0.515126050420168,0.32973400994125157,0.48743388282095046,0.48986665712220867
36,0.687024173381495,0.6454636687286621,0.48022598870056493,0.21056846739251744,0.4557167258944984,0.4569204378541518
0,0.648516314743448,0.6337137179929802,0.459151295372921,0.26663066533852886,0.4021142090180998,0.40887695634193955
12,0.638270028020511,0.6483091117985881,0.457680251004148,0.2639380053553624,0.42042348334173685,0.423968874886708
35,0.6153409090909091,0.5933473129162088,0.42500000000000004,0.19421005528466173,0.36767993894083584,0.36978945665771845
37,0.6127705627705629,0.5849546796384599,0.41683501683501684,0.30812444229194735,0.37830484454871083,0.38737730799658143
1,0.6023799099281117,0.5647116673781847,0.4231832399796319,0.24587064966328276,0.31958994531086293,0.31971651267179335
25,0.6011283831768326,0.5876750917080521,0.4196796338672769,0.25163915472575926,0.3543128174410476,0.3544605059474576
13,0.5855970586639178,0.5951282056636249,0.40934020843777247,0.19819939927846475,0.35418300498489075,0.35418356001431894
23,0.5830046082949308,0.5827643523206605,0.4028387096774193,0.21823106811281878,0.34815298239579806,0.34864093770793336
11,0.5558984476984286,0.563630343512833,0.3879667441963294,0.24670265486787946,0.3179822812551828,0.3195244755231691
2,0.44887695692955004,0.42601293423650927,0.30603022708285865,0.13862695659148416,0.19356606423174938,0.1936095874370276
34,0.42657685241886095,0.43283742799041963,0.2927536231884058,0.02084403706343796,0.18734873745550162,0.18739425095621032
14,0.4130372921513669,0.4016787448297343,0.2824225548207449,0.09230247329421504,0.1737506344479196,0.17428332258439294
22,0.3883898455529913,0.4021177815201936,0.26201550387596895,0.19067178591605716,0.16169890748965865,0.16184302647084237
26,0.3696819421590064,0.33881471241660305,0.2560467055879899,0.1364110947426358,0.1570558090828863,0.1571561487598483
10,0.3340114395987843,0.3414900580051067,0.2240106937848212,0.1154073333624499,0.11670149842844713,0.1180016797293183
38,0.3273469387755102,0.2805684394046542,0.20979591836734693,0.05284960635953784,0.14545629583978437,0.1495533033031229
3,0.19304529764290856,0.18241210003058658,0.1296083177903885,0.0,0.056128242048258836,0.057789418622961164
33,0.15473684210526314,0.17441918380036694,0.10774774774774776,0.0,0.031161609052758554,0.04200745359572622
15,0.1510218256618492,0.13286954077287452,0.10140428677014043,0.0,0.03484894343777056,0.03530123615079561
21,0.09727831431079896,0.11141920985933432,0.06932006633499171,0.07401238250671982,0.01807611764865724,0.03528392210154474
9,0.04111008476836212,0.057951165000186856,0.03066430517341991,0.041467694887763695,0.007106346971622157,0.012042762590665723
27,0.026881608957080656,0.009245742009317492,0.020146520146520144,0.014364751110631513,0.03487044667703554,0.03493929924085837
4,-0.1217313247638499,-0.11201001678072786,-0.07484588722839303,0.041782826488613534,0.01380385082114588,0.016478971438821044
39,-0.12450592885375492,-0.1773143107485971,-0.08484848484848484,0.0,0.059416973278163754,0.06404168042706782
32,-0.15780590717299578,-0.16710290435990005,-0.09873417721518987,0.1347056977293417,0.0283372816293348,0.03691428059003543
20,-0.16199077212394222,-0.17712746658960385,-0.10421377183967112,0.06147834449734502,0.03274320778546569,0.041756601021842865
16,-0.1626508848001875,-0.15458406521758009,-0.10125786163522012,0.0,0.026516615019744005,0.026841349355540278
8,-0.22018608722197877,-0.21327382185402055,-0.13965175008805406,0.029358943807894278,0.049977015752349696,0.05185298615944445
28,-0.28411641164116413,-0.2765997866691168,-0.18181818181818185,0.055659830853564074,0.07702535085522,0.08835730659632779
5,-0.362463583539701,-0.3437950139955588,-0.23125910153476917,0.04709424424461517,0.12535189226126509,0.12561520267192516
17,-0.39061583577712605,-0.37930975679004025,-0.2507750314201927,0.0740357159185927,0.1439039957008802,0.14392904966224807
31,-0.39212429157709594,-0.41387587199387005,-0.261624649859944,0.19516547943804152,0.19035936695135836,0.20297176425420882
7,-0.4052981589956365,-0.4024327341951808,-0.26786867221126076,0.23357366852445782,0.1734557647284818,0.17353947650822388
29,-0.410946248600224,-0.3959575254291625,-0.25912653975363936,0.13969356747268513,0.16109837168223584,0.16413289411661802
19,-0.41468272712958587,-0.43841594377504683,-0.2800766283524904,0.23161949936780868,0.20835668394655438,0.21106960542171782
6,-0.4652552747407133,-0.44999795732758646,-0.3096903552946777,0.20544985206524125,0.22333892223548812,0.22367801194517134
30,-0.49623410297567594,-0.48787208470301835,-0.3268414481897628,0.25663245936104007,0.2829053348717675,0.2930856340844945
18,-0.514716209609316,-0.5173516282051887,-0.35033557046979863,0.25204385735728074,0.28286818782778733,0.2890395178643981
