平移量(月數),Spearman 係數,Pearson 係數,Kendall Tau,Mutual Info,R² (2次),R² (3次)
1,-0.1567900860705927,-0.2887890399896664,-0.10119491521026418,0.19059936766010388,0.08502490013913622,0.0950983143081614
24,-0.15702908377053645,-0.28439759010761423,-0.10940674052561174,0.2489417417034736,0.08149715785915723,0.09169799614565499
0,-0.1616588681254265,-0.2738484483593948,-0.09844297633001758,0.31359073113150604,0.07914176145133023,0.09361092724463915
13,-0.18814081536279895,-0.3233464007799918,-0.13078893892025684,0.24930573141545365,0.1069285008009665,0.10733388132163157
25,-0.19152247804216502,-0.31299244556286215,-0.13305867442456462,0.16975143380699054,0.09840690381432016,0.10291917853087762
36,-0.1948346045562374,-0.31642888655352014,-0.14410851098052027,0.10528751589458007,0.10116568296822492,0.10160079911997244
37,-0.20267320842417602,-0.32121277710015067,-0.14550354479750668,0.2440083903257526,0.10561310193305606,0.10595353295956578
12,-0.2110172351357598,-0.32296531308203463,-0.13993047041060555,0.2502784895231831,0.10743010437055056,0.11096875028170006
2,-0.23547539281053448,-0.3523627107934236,-0.1701384281257005,0.26489108091504754,0.1266134177129945,0.1319763659513863
38,-0.245047900380365,-0.36583845437421486,-0.19109842344450986,0.15332176651792073,0.13429193769844705,0.1349423534072417
26,-0.2636758725806052,-0.37701863882972775,-0.19602936542411287,0.2734806456819179,0.14243001505777741,0.14659960935720862
14,-0.27143525365767224,-0.3881649197152567,-0.20100257801218,0.17830865629249226,0.15220571806869965,0.15274740347074456
23,-0.2738599409857389,-0.3463456883941958,-0.19552171754374129,0.1297913257988328,0.11996114249529133,0.12232848131704954
11,-0.29258816143367394,-0.3634472073013592,-0.19797267732361468,0.18555644015270856,0.13691942462011197,0.13791952281405662
35,-0.3046799025520883,-0.3818535693589607,-0.21303198499902928,0.17681781526779616,0.1460174203287613,0.14667420226276906
22,-0.3721519021944769,-0.40867152096361054,-0.2526391165864126,0.1332284018707255,0.17228776351682762,0.1760106725514642
3,-0.3815009140612237,-0.4465824532776886,-0.2762685307191177,0.22079207345824603,0.20517825162985914,0.211345768594137
15,-0.3975914235886909,-0.47288976799247295,-0.2900650534361071,0.2049030426827616,0.22765796410310168,0.22790364166680555
10,-0.4090323777145686,-0.43847646572495974,-0.2770164922816007,0.1540981408144524,0.2043372161033129,0.20592009078788542
27,-0.4161435628480271,-0.4839820625357063,-0.3048177372996566,0.27106600020933325,0.23478821865072674,0.23685269469572878
34,-0.4216115966533184,-0.4560600611831324,-0.2841168004592603,0.19399178548621077,0.21034728957959736,0.21513099113858336
39,-0.4258374784088199,-0.4643725475394123,-0.31227896861959475,0.11312544345483566,0.21565165059256075,0.21585356492703356
33,-0.5071871066067586,-0.5045197638023474,-0.3503333990930358,0.06081377070708438,0.2573807513983146,0.2575599060361464
21,-0.5081181401292661,-0.486138558239487,-0.3438934088328531,0.16530440460843332,0.24985351596892658,0.24994123929706014
9,-0.5500555520955666,-0.5161593944921872,-0.38044628228241184,0.16281991148521557,0.29569056877483757,0.2967968209140557
4,-0.5569497139406829,-0.5496732221140692,-0.39589820542046744,0.30935285509074495,0.32251647129099137,0.3235309795793594
20,-0.5603788252380583,-0.5424511809432154,-0.3976974914929933,0.2102461467546033,0.29874138258109095,0.3000499572436779
16,-0.5643708671384445,-0.5651235450340144,-0.4054096606190975,0.31852903060388327,0.33274967477561823,0.3329116941052618
32,-0.5897596680813184,-0.5701248184492589,-0.4149390778339379,0.282927488911346,0.32531636781557116,0.3338783431750567
28,-0.592358790042408,-0.5901044986650738,-0.42109517933793933,0.32399324562163256,0.3652070257568002,0.3676024471043289
8,-0.6331650037479549,-0.5833823129948086,-0.45222898438348774,0.3701667310086929,0.36778561937916143,0.36855549633064555
29,-0.6593481197538292,-0.6441840573786044,-0.4863351376507667,0.41537837882022144,0.433113172044306,0.43339389100789005
17,-0.6894412590041221,-0.6456450340469243,-0.5111660492050835,0.4412350822472928,0.44277728394018967,0.44437658851647577
19,-0.6911097399349317,-0.6368769094152206,-0.5105139680049995,0.40114804588648534,0.42374169889976043,0.42385406341638165
5,-0.6924968469972846,-0.6288987923072566,-0.5025215241418521,0.4005128987145796,0.42975010446657413,0.43012184133904674
31,-0.7038861040604167,-0.6668975180805696,-0.5133090703032143,0.3558566448742648,0.4703777392654791,0.47052023642460894
7,-0.722567012371538,-0.6454632391741818,-0.5320706038418854,0.42257598188830725,0.4526557894001755,0.4536598841626518
6,-0.7370748356630412,-0.6591376049365655,-0.5487649308424063,0.4613017272762283,0.4716943280057887,0.47208067499465656
30,-0.7385252379164301,-0.6807808777098318,-0.54970031684413,0.4461712933846407,0.48212790463779265,0.482219370073965
18,-0.7532248185941322,-0.6866399945723479,-0.572783824018485,0.47021698319109007,0.5026526010489965,0.5089673692724404
